Deleted Feature,Description
h_reg5,5개 권역별 지역구분(h17_reg5)
h_reg7,7개 권역별 지역구분(h17_reg7)
h_flag,가처분소득 및 경상소득 -Imputation 여부(무응답 대체법 적용 여부)(h17_flag)
h_hc,균등화소득에 따른 가구구분(공공부조 이전의 균등화 경상소득의 중위 60% 기준)(원표본)(h17_hc)
h_g2,가구주와의 관계(h17_g2)
h_g7,교육수준2(h17_g7)
h01_11aq5,의료급여 수급형태1(h1701_11aq5)
h01_11aq6,의료급여 수급형태2(h1701_11aq6)
h01_11aq8,주거급여 수급형태(h1701_11aq8)
h01_11aq10,교육급여 수급자 수(h1701_11aq10)
h_eco3,근로무능력사유(h17_eco3)
h_eco4_1,경제활동 참여상태(12월 31일기준)(h17_eco4_1)
h_eco5_1,고용관계(h17_eco5_1)
h_eco6,근로시간형태(h17_eco6)
h_eco_7_1,근로계약기간 설정여부(h17_eco_7_1)
h_eco_7_2,근로지속가능성(h17_eco_7_2)
h_eco_7_3,근로지속불가능 사유(h17_eco_7_3)
h_eco8,업종(h17_eco8)
h_eco9,직종(h17_eco9)
h_eco10,사업장규모(h17_eco10)
h_eco11,비경제활동사유(h17_eco11)
h_soc_2,공적연금가입형태(h17_soc_2)
h_soc_3,공적연금에 가입하고 있는 연금제도(h17_soc_3)
h_soc_4,국민연금 가입종별(h17_soc_4)
h_soc_5,국민연금 납입여부(h17_soc_5)
h_soc_6,국민연금 미납유형(h17_soc_6)
h_soc_7,국민연금 납부예외 사유(h17_soc_7)
h_soc_8,국민연금 납부예외 기간(h17_soc_8)
h_soc_9,국민연금 미납이유(h17_soc_9)
h_soc_10,국민연금 미납기간(h17_soc_10)
h_soc_11,국민연금 미가입 이유(h17_soc_11)
h_inc2_2,(상용)일한 개월수(月)(h17_inc2_2)
h_inc3_1,(임시ㆍ일용)해당여부(h17_inc3_1)
h_inc3_2,(임시ㆍ일용)일한 개월수(月)(h17_inc3_2)
h_inc4_2,(고용주ㆍ자영자)일한 개월수(月)(h17_inc4_2)
h_inc5_1,(농림축산업)해당여부(h17_inc5_1)
h_inc5_2,(농림축산업)일한 개월수(月)(h17_inc5_2)
h_inc6_1,(어업)해당여부(h17_inc6_1)
h_inc6_2,(어업)일한 개월수(月)(h17_inc6_2)
h_inc7_1,(무급가족종사자)해당여부(h17_inc7_1)
h_inc7_2,(무급가족종사자)일한 개월수(月)(h17_inc7_2)
h_inc2_3,상용-가구원번호(h17_inc2_3)
h_inc2,상용-연간총급여액(h17_inc2)
h_inc3_6,임시일용-가구원번호(h17_inc3_6)
h_inc3,임시일용-연간총급여액(h17_inc3)
h_inc4_7,고용주및자영자-가구원번호(h17_inc4_7)
h_inc4,고용주및자영자-연간순소득(h17_inc4)
h_inc4_8,고용주및자영자-가구원번호(h17_inc4_8)
h_inc4_9,고용주및자영자-연간 전입소득(h17_inc4_9)
h_inc7_3,기타-가구원번호(h17_inc7_3)
h_pers_income1,상용근로자 소득(개인)(h17_pers_income1)
h_pers_income2,"임시, 일용근로자 소득(개인)(h17_pers_income2)"
h_pers_income3,"고용주, 자영자 소득(농림축어업제외)(개인)(h17_pers_income3)"
h_pers_income5,농림축어업 경영주 소득(개인)(h17_pers_income5)
h05_3aq1,가입자의 해당종류(h1705_3aq1)
h05_2,미가입자의 혜택종류(h1705_2)
h05_3,의료급여서비스 문제점(h1705_3)
h05_5,건강보험료 미납이유(h1705_5)
h05_6,건강보험료 미납기간(h1705_6)
h05_7,건강보험 문제점(h1705_7)
nh05_8,건강보험의 보험료에 합당한 보장정도(nh1705_8)
nh05_9,의료기관 진료 및 진료 서비스의 만족도(nh1705_9)
h06_14aq1,이사 사유(h1706_14aq1)
h06_3_16aq1,임대주택 유형(h1706_3_16aq1)
h06_11,"(가)주택의 구조, 성능 및 환경_내열,내화,방열,방습(h1706_11)"
h06_12,"(나)주택의 구조, 성능 및 환경_방음, 환기, 채광, 난방(h1706_12)"
h06_13,"(다)주택의 구조, 성능 및 환경_소음, 진동, 악휘, 대기오염(h1706_13)"
h06_14,"(라)주택의 구조, 성능 및 환경_해일, 홍수, 산사태 등 자연재해(h1706_14)"
h06_15,"(마)주택의 구조, 성능 및 환경_안전한 전기시설, 화재시 피난설비(h1706_15)"
h06_14aq2,(바)주거복지사업 이용경험_전세임대 또는 매입입대(h1706_14aq2)
h06_3aq1,(사)기타_이용경험(h1706_3aq1)
h07_sub1,월세-지대(h1707_sub1)
h07_13aq1,기타소비-비영리단체 이전지출(h1707_13aq1)
h08_107,임시ㆍ일용근로자 수 합계(h1708_107)
h08_155,농림축산업 경영주-논(h1708_155)
h08_156,농림축산업 경영주-밭(h1708_156)
h08_157,농림축산업 경영주-임야(산)(h1708_157)
h08_158,농림축산업 경영주-기타(특용작물 등)(h1708_158)
