,,Non-donation,Donation,Statistics
Financial Assets - Savings,0.0,129466 (97.43%),3419 (2.57%),"$\chi^2$=18879.98, $p$=0.00"
Financial Assets - Savings,2.0,17 (94.44%),1 (5.56%),
Financial Assets - Savings,3.0,14 (93.33%),1 (6.67%),
Financial Assets - Savings,4.0,29 (90.62%),3 (9.38%),
Financial Assets - Savings,5.0,23 (92.00%),2 (8.00%),
Financial Assets - Savings,6.0,37 (97.37%),1 (2.63%),
Financial Assets - Savings,8.0,40 (97.56%),1 (2.44%),
Financial Assets - Savings,10.0,143 (95.33%),7 (4.67%),
Financial Assets - Savings,11.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,12.0,42 (97.67%),1 (2.33%),
Financial Assets - Savings,13.0,9 (81.82%),2 (18.18%),
Financial Assets - Savings,14.0,28 (96.55%),1 (3.45%),
Financial Assets - Savings,15.0,52 (98.11%),1 (1.89%),
Financial Assets - Savings,16.0,28 (93.33%),2 (6.67%),
Financial Assets - Savings,18.0,18 (90.00%),2 (10.00%),
Financial Assets - Savings,20.0,210 (95.45%),10 (4.55%),
Financial Assets - Savings,21.0,12 (92.31%),1 (7.69%),
Financial Assets - Savings,24.0,212 (95.50%),10 (4.50%),
Financial Assets - Savings,25.0,22 (78.57%),6 (21.43%),
Financial Assets - Savings,26.0,18 (94.74%),1 (5.26%),
Financial Assets - Savings,28.0,29 (93.55%),2 (6.45%),
Financial Assets - Savings,30.0,319 (96.37%),12 (3.63%),
Financial Assets - Savings,34.0,29 (90.62%),3 (9.38%),
Financial Assets - Savings,35.0,15 (88.24%),2 (11.76%),
Financial Assets - Savings,36.0,122 (96.06%),5 (3.94%),
Financial Assets - Savings,38.0,5 (83.33%),1 (16.67%),
Financial Assets - Savings,40.0,238 (92.97%),18 (7.03%),
Financial Assets - Savings,42.0,13 (92.86%),1 (7.14%),
Financial Assets - Savings,44.0,22 (91.67%),2 (8.33%),
Financial Assets - Savings,45.0,51 (96.23%),2 (3.77%),
Financial Assets - Savings,46.0,12 (92.31%),1 (7.69%),
Financial Assets - Savings,48.0,269 (93.08%),20 (6.92%),
Financial Assets - Savings,50.0,333 (94.87%),18 (5.13%),
Financial Assets - Savings,52.0,30 (96.77%),1 (3.23%),
Financial Assets - Savings,53.0,13 (92.86%),1 (7.14%),
Financial Assets - Savings,55.0,21 (91.30%),2 (8.70%),
Financial Assets - Savings,56.0,38 (95.00%),2 (5.00%),
Financial Assets - Savings,59.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,60.0,584 (93.89%),38 (6.11%),
Financial Assets - Savings,62.0,26 (92.86%),2 (7.14%),
Financial Assets - Savings,64.0,14 (93.33%),1 (6.67%),
Financial Assets - Savings,65.0,39 (97.50%),1 (2.50%),
Financial Assets - Savings,68.0,26 (96.30%),1 (3.70%),
Financial Assets - Savings,70.0,156 (95.12%),8 (4.88%),
Financial Assets - Savings,72.0,237 (92.22%),20 (7.78%),
Financial Assets - Savings,75.0,47 (95.92%),2 (4.08%),
Financial Assets - Savings,78.0,25 (96.15%),1 (3.85%),
Financial Assets - Savings,79.0,9 (90.00%),1 (10.00%),
Financial Assets - Savings,80.0,278 (93.92%),18 (6.08%),
Financial Assets - Savings,82.0,20 (95.24%),1 (4.76%),
Financial Assets - Savings,84.0,65 (92.86%),5 (7.14%),
Financial Assets - Savings,85.0,13 (92.86%),1 (7.14%),
Financial Assets - Savings,88.0,19 (95.00%),1 (5.00%),
Financial Assets - Savings,90.0,276 (96.84%),9 (3.16%),
Financial Assets - Savings,96.0,160 (94.67%),9 (5.33%),
Financial Assets - Savings,98.0,5 (62.50%),3 (37.50%),
Financial Assets - Savings,100.0,553 (93.89%),36 (6.11%),
Financial Assets - Savings,104.0,39 (97.50%),1 (2.50%),
Financial Assets - Savings,106.0,5 (83.33%),1 (16.67%),
Financial Assets - Savings,107.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,108.0,77 (95.06%),4 (4.94%),
Financial Assets - Savings,110.0,88 (92.63%),7 (7.37%),
Financial Assets - Savings,112.0,27 (93.10%),2 (6.90%),
Financial Assets - Savings,116.0,13 (92.86%),1 (7.14%),
Financial Assets - Savings,118.0,1 (50.00%),1 (50.00%),
Financial Assets - Savings,120.0,1457 (95.42%),70 (4.58%),
Financial Assets - Savings,121.0,6 (66.67%),3 (33.33%),
Financial Assets - Savings,124.0,15 (88.24%),2 (11.76%),
Financial Assets - Savings,125.0,23 (95.83%),1 (4.17%),
Financial Assets - Savings,126.0,22 (95.65%),1 (4.35%),
Financial Assets - Savings,130.0,142 (92.81%),11 (7.19%),
Financial Assets - Savings,132.0,62 (96.88%),2 (3.12%),
Financial Assets - Savings,135.0,40 (90.91%),4 (9.09%),
Financial Assets - Savings,136.0,11 (91.67%),1 (8.33%),
Financial Assets - Savings,140.0,150 (95.54%),7 (4.46%),
Financial Assets - Savings,144.0,251 (95.80%),11 (4.20%),
Financial Assets - Savings,145.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,150.0,395 (93.60%),27 (6.40%),
Financial Assets - Savings,153.0,11 (84.62%),2 (15.38%),
Financial Assets - Savings,156.0,82 (97.62%),2 (2.38%),
Financial Assets - Savings,157.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,158.0,3 (60.00%),2 (40.00%),
Financial Assets - Savings,160.0,244 (92.08%),21 (7.92%),
Financial Assets - Savings,161.0,12 (92.31%),1 (7.69%),
Financial Assets - Savings,162.0,19 (95.00%),1 (5.00%),
Financial Assets - Savings,164.0,16 (94.12%),1 (5.88%),
Financial Assets - Savings,165.0,45 (95.74%),2 (4.26%),
Financial Assets - Savings,166.0,15 (93.75%),1 (6.25%),
Financial Assets - Savings,168.0,136 (95.10%),7 (4.90%),
Financial Assets - Savings,169.0,9 (81.82%),2 (18.18%),
Financial Assets - Savings,170.0,83 (94.32%),5 (5.68%),
Financial Assets - Savings,175.0,56 (94.92%),3 (5.08%),
Financial Assets - Savings,179.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,180.0,646 (94.17%),40 (5.83%),
Financial Assets - Savings,182.0,10 (83.33%),2 (16.67%),
Financial Assets - Savings,184.0,15 (93.75%),1 (6.25%),
Financial Assets - Savings,187.0,20 (95.24%),1 (4.76%),
Financial Assets - Savings,188.0,14 (93.33%),1 (6.67%),
Financial Assets - Savings,190.0,51 (94.44%),3 (5.56%),
Financial Assets - Savings,192.0,120 (88.24%),16 (11.76%),
Financial Assets - Savings,198.0,26 (96.30%),1 (3.70%),
Financial Assets - Savings,200.0,598 (92.86%),46 (7.14%),
Financial Assets - Savings,202.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,204.0,54 (94.74%),3 (5.26%),
Financial Assets - Savings,205.0,16 (94.12%),1 (5.88%),
Financial Assets - Savings,208.0,20 (95.24%),1 (4.76%),
Financial Assets - Savings,210.0,161 (94.71%),9 (5.29%),
Financial Assets - Savings,211.0,9 (81.82%),2 (18.18%),
Financial Assets - Savings,216.0,124 (89.86%),14 (10.14%),
Financial Assets - Savings,218.0,5 (83.33%),1 (16.67%),
Financial Assets - Savings,220.0,163 (92.61%),13 (7.39%),
Financial Assets - Savings,224.0,17 (89.47%),2 (10.53%),
Financial Assets - Savings,225.0,33 (86.84%),5 (13.16%),
Financial Assets - Savings,227.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,230.0,72 (98.63%),1 (1.37%),
Financial Assets - Savings,231.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,236.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,238.0,9 (90.00%),1 (10.00%),
Financial Assets - Savings,240.0,1733 (93.63%),118 (6.37%),
Financial Assets - Savings,245.0,22 (95.65%),1 (4.35%),
Financial Assets - Savings,248.0,5 (83.33%),1 (16.67%),
Financial Assets - Savings,249.0,18 (94.74%),1 (5.26%),
Financial Assets - Savings,250.0,255 (95.15%),13 (4.85%),
Financial Assets - Savings,252.0,88 (93.62%),6 (6.38%),
Financial Assets - Savings,254.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,255.0,17 (89.47%),2 (10.53%),
Financial Assets - Savings,258.0,9 (81.82%),2 (18.18%),
Financial Assets - Savings,260.0,111 (90.98%),11 (9.02%),
Financial Assets - Savings,264.0,85 (95.51%),4 (4.49%),
Financial Assets - Savings,270.0,179 (94.21%),11 (5.79%),
Financial Assets - Savings,272.0,21 (87.50%),3 (12.50%),
Financial Assets - Savings,276.0,35 (87.50%),5 (12.50%),
Financial Assets - Savings,280.0,163 (93.68%),11 (6.32%),
Financial Assets - Savings,284.0,5 (83.33%),1 (16.67%),
Financial Assets - Savings,286.0,33 (94.29%),2 (5.71%),
Financial Assets - Savings,288.0,200 (95.24%),10 (4.76%),
Financial Assets - Savings,289.0,7 (77.78%),2 (22.22%),
Financial Assets - Savings,290.0,50 (89.29%),6 (10.71%),
Financial Assets - Savings,297.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,298.0,20 (95.24%),1 (4.76%),
Financial Assets - Savings,299.0,16 (88.89%),2 (11.11%),
Financial Assets - Savings,300.0,1295 (94.11%),81 (5.89%),
Financial Assets - Savings,302.0,17 (89.47%),2 (10.53%),
Financial Assets - Savings,303.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,306.0,22 (88.00%),3 (12.00%),
Financial Assets - Savings,308.0,21 (91.30%),2 (8.70%),
Financial Assets - Savings,310.0,86 (94.51%),5 (5.49%),
Financial Assets - Savings,312.0,68 (93.15%),5 (6.85%),
Financial Assets - Savings,313.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,315.0,32 (91.43%),3 (8.57%),
Financial Assets - Savings,318.0,24 (92.31%),2 (7.69%),
Financial Assets - Savings,320.0,166 (94.86%),9 (5.14%),
Financial Assets - Savings,322.0,19 (90.48%),2 (9.52%),
Financial Assets - Savings,324.0,79 (96.34%),3 (3.66%),
Financial Assets - Savings,325.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,330.0,155 (95.68%),7 (4.32%),
Financial Assets - Savings,332.0,5 (71.43%),2 (28.57%),
Financial Assets - Savings,336.0,97 (96.04%),4 (3.96%),
Financial Assets - Savings,338.0,13 (92.86%),1 (7.14%),
Financial Assets - Savings,340.0,110 (94.83%),6 (5.17%),
Financial Assets - Savings,342.0,13 (92.86%),1 (7.14%),
Financial Assets - Savings,343.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,345.0,36 (94.74%),2 (5.26%),
Financial Assets - Savings,346.0,15 (83.33%),3 (16.67%),
Financial Assets - Savings,348.0,25 (92.59%),2 (7.41%),
Financial Assets - Savings,350.0,181 (95.26%),9 (4.74%),
Financial Assets - Savings,358.0,6 (66.67%),3 (33.33%),
Financial Assets - Savings,360.0,1990 (94.22%),122 (5.78%),
Financial Assets - Savings,361.0,5 (71.43%),2 (28.57%),
Financial Assets - Savings,366.0,21 (95.45%),1 (4.55%),
Financial Assets - Savings,368.0,20 (95.24%),1 (4.76%),
Financial Assets - Savings,370.0,48 (92.31%),4 (7.69%),
Financial Assets - Savings,372.0,45 (93.75%),3 (6.25%),
Financial Assets - Savings,374.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,378.0,41 (95.35%),2 (4.65%),
Financial Assets - Savings,379.0,8 (80.00%),2 (20.00%),
Financial Assets - Savings,380.0,93 (96.88%),3 (3.12%),
Financial Assets - Savings,384.0,118 (95.93%),5 (4.07%),
Financial Assets - Savings,390.0,135 (93.75%),9 (6.25%),
Financial Assets - Savings,392.0,19 (95.00%),1 (5.00%),
Financial Assets - Savings,396.0,78 (91.76%),7 (8.24%),
Financial Assets - Savings,398.0,3 (60.00%),2 (40.00%),
Financial Assets - Savings,400.0,624 (93.27%),45 (6.73%),
Financial Assets - Savings,403.0,10 (83.33%),2 (16.67%),
Financial Assets - Savings,407.0,12 (92.31%),1 (7.69%),
Financial Assets - Savings,408.0,71 (89.87%),8 (10.13%),
Financial Assets - Savings,410.0,28 (90.32%),3 (9.68%),
Financial Assets - Savings,413.0,12 (92.31%),1 (7.69%),
Financial Assets - Savings,414.0,17 (89.47%),2 (10.53%),
Financial Assets - Savings,416.0,22 (95.65%),1 (4.35%),
Financial Assets - Savings,418.0,17 (77.27%),5 (22.73%),
Financial Assets - Savings,420.0,308 (92.49%),25 (7.51%),
Financial Assets - Savings,421.0,4 (66.67%),2 (33.33%),
Financial Assets - Savings,424.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,432.0,179 (92.75%),14 (7.25%),
Financial Assets - Savings,434.0,9 (90.00%),1 (10.00%),
Financial Assets - Savings,435.0,21 (91.30%),2 (8.70%),
Financial Assets - Savings,436.0,15 (88.24%),2 (11.76%),
Financial Assets - Savings,437.0,10 (83.33%),2 (16.67%),
Financial Assets - Savings,438.0,12 (92.31%),1 (7.69%),
Financial Assets - Savings,440.0,175 (95.11%),9 (4.89%),
Financial Assets - Savings,444.0,14 (87.50%),2 (12.50%),
Financial Assets - Savings,445.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,448.0,17 (94.44%),1 (5.56%),
Financial Assets - Savings,449.0,5 (71.43%),2 (28.57%),
Financial Assets - Savings,450.0,276 (94.52%),16 (5.48%),
Financial Assets - Savings,452.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,458.0,5 (83.33%),1 (16.67%),
Financial Assets - Savings,460.0,57 (91.94%),5 (8.06%),
Financial Assets - Savings,461.0,9 (90.00%),1 (10.00%),
Financial Assets - Savings,462.0,14 (87.50%),2 (12.50%),
Financial Assets - Savings,464.0,13 (86.67%),2 (13.33%),
Financial Assets - Savings,465.0,15 (93.75%),1 (6.25%),
Financial Assets - Savings,468.0,92 (92.00%),8 (8.00%),
Financial Assets - Savings,472.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,474.0,1 (33.33%),2 (66.67%),
Financial Assets - Savings,475.0,33 (94.29%),2 (5.71%),
Financial Assets - Savings,479.0,7 (87.50%),1 (12.50%),
