,word(TF-IDF),score(TF-IDF)
1,abuse_neglect,48
200,neglect_abuse,48
103,elder_neglect,11
201,neglect_elder,10
202,neglect_andor,7
203,neglect_caregiver,5
204,neglect_communication,5
315,care_neglect,5
1373,caregiver_neglect,5
205,neglect_abusive,4
206,neglect_abandonment,3
207,neglect_exploitation,3
208,neglect_older,3
209,neglect_potential,3
412,older_neglect,3
1664,exploitation_neglect,3
2229,potential_neglect,3
49,abuse_neglected,2
210,neglect_identified,2
211,neglect_related,2
212,neglect_pervasive,2
213,neglect_cases,2
214,neglect_nursing,2
215,neglect_ageism,2
216,neglect_environmental,2
217,neglect_indicators,2
218,neglect_culture,2
219,neglect_assist,2
220,neglect_compared,2
221,neglect_ed,2
222,neglect_frequently,2
553,nursing_neglect,2
795,cases_neglect,2
2109,reported_abuseneglect,2
2274,identified_neglect,2
74,abuse_neglectrelated,1
223,neglect_crosssectional,1
224,neglect_defined,1
225,neglect_95,1
226,neglect_higher,1
227,neglect_physical,1
228,neglect_scarcity,1
229,neglect_caregivers,1
230,neglect_categorised,1
231,neglect_burnout,1
232,neglect_appraised,1
233,neglect_economic,1
234,neglect_identification,1
235,neglect_5item,1
236,neglect_factor,1
237,neglect_32,1
238,neglect_patients,1
239,neglect_active,1
240,neglect_suggesting,1
241,neglect_prevented,1
242,neglect_inflicts,1
243,neglect_measured,1
244,neglect_frequentlyp0011,1
245,neglect_link,1
246,neglect_measures,1
247,neglect_relationship,1
248,neglect_victims,1
249,neglect_mainly,1
250,neglect_occurs,1
251,neglect_promotes,1
252,neglect_mediator,1
253,neglect_shadow,1
254,neglect_societal,1
255,neglect_mentioned,1
256,neglect_suspicious,1
257,neglect_constellation,1
258,neglect_includes,1
259,neglect_promote,1
260,neglect_study,1
261,neglect_remaining,1
262,neglect_elders,1
263,neglect_self,1
264,neglect_continence,1
265,neglect_vigil,1
266,neglect_perspective,1
267,neglect_service,1
268,neglect_added,1
269,neglect_excluding,1
270,neglect_104,1
271,neglect_researchers,1
272,neglect_349,1
273,neglect_perpetrators,1
274,neglect_construct,1
275,neglect_aps,1
276,neglect_distinct,1
277,neglect_tools,1
278,neglect_125,1
279,neglect_basic,1
280,neglect_normalized,1
281,neglect_realityhow,1
282,neglect_distallyrelated,1
283,neglect_routine,1
284,neglect_22,1
285,neglect_issue,1
286,neglect_care,1
287,neglect_current,1
288,neglect_different,1
289,neglect_expansion,1
290,neglect_characteristics,1
291,neglect_identifying,1
292,neglect_aggression,1
293,neglect_everyday,1
294,neglect_constitute,1
295,neglect_unsubstantiated,1
296,neglect_considering,1
297,neglect_violence,1
298,neglect_problem,1
299,neglect_found,1
691,study_neglect,1
727,caregivers_neglect,1
1228,physical_mistreatmentneglect,1
1233,physical_neglect,1
1461,financial_neglect,1
1467,financial_neglectful,1
1486,elders_neglect,1
1620,problem_neglect,1
1649,reporting_neglect,1
1784,scale_neglect,1
1804,tool_neglect,1
1856,perception_abuseneglect,1
1905,associated_neglect,1
1959,different_neglect,1
2006,types_mistreatmentneglect,1
2060,resident_neglect,1
2122,reported_neglect,1
2157,related_neglect,1
2190,victims_neglect,1
2213,mistreatment_neglect,1
2225,mistreatment_neglectful,1
2315,characteristics_neglect,1
2387,higher_neglect,1
2514,patients_neglect,1
2874,measures_neglect,1
