username,date,rating,review,likes,dislikes
alwl****,2010.04.25. 20:55,10,정말..내가 본 일본영화중 최고인것 같다..마음을 울리는 영화,40,4
okre****,2011.12.26. 11:09,8,알츠하이머병은 사랑하는 사람들을 너무 가슴아프고 슬프게 만드는병이다.,27,3
ohg5****,2014.11.22. 23:58,10,마지막에 아내가 자신의 운명을 받아들이고 나서 진한 감동이..,26,3
huku****,2015.02.17. 14:12,10,역시 와타나베켄! 이라는 생각이 들게하는 영화.,20,0
miri****,2012.04.08. 23:29,10,기억이란 것에 대해 생각해볼 수 있었어요. 눈물이 멈추지 않았던 영화.,19,2
fina****,2015.05.28. 22:37,10,소중한 기억을 잃어간다는 것은 참 슬픈 일이다.,14,0
cool****,2013.07.05. 09:41,10,30~40대 남자가 보면 너무나도 슬픈영화 그리고 와다나베켄의 연기에 박수를~~,19,5
174c****,2014.08.14. 07:27,10,영화 보면서 잘안우는데연출과 배우의 연기에 점점 빠져들다가아이고...정말 펑펑 울었네...,11,0
dado****,2015.01.10. 02:10,10,남일같지않아 너무 감정이입했네요. 정말최고중최고의 영화,10,0
leeo****,2008.11.30. 11:05,10,너무 슬프다 정말 알츠하이머 어서 치료제가 나왔으면,9,0
nala****,2017.05.11. 14:23,7,마지막까지 지키고 싶었던 아내의 이름을 손에 쥔채 아내를 못알아보는 엔딩이 무척이나 인상적이다,8,1
iihj****,2014.10.06. 21:13,10,와타나베 켄 연기에 보는 나까지 눈물남 ㅠㅠ 밥먹다 우는장면 보고 울컥했다 진짜,6,0
harv****,2015.02.28. 16:11,10,ㅠㅠㅠㅠ좋은 영화였다,5,0
idon****,2015.01.05. 00:12,9,변하지 않는 사랑...,5,0
carm****,2015.02.07. 18:45,8,꾸밈없이 담담하게 흐르는 이야기가 감정을 더 극대화시킨다. 영화가 끝난후에도 진하게 남는 여운.. 알츠하이머는 진짜 슬픈 병이다.ㅠㅠ,6,1
zlem****,2017.09.30. 05:06,10,"여태껏 살아오면서 영화나 드라마를 보고 울어본 적이 없는데, 정말 눈물, 콧물까지 쏟아내면서 오열하게 만들어준 영화입니다. 오늘로 벌써 4번째 보는데, 처음 본 것 마냥 여전히 가슴이 저리고 아픕니다. 많은 사람들이 보면 좋겠습니다.",4,0
lott****,2007.10.24. 03:33,10,병이 쉽게 고쳐지는 세상이 하루빨리 오길.. ^^;,4,0
void****,2007.09.16. 18:59,7,일본의 전통적인 부부상. 서양애들이 보기엔 부러움을 느낄까 비웃을까.,4,0
ikic****,2017.11.17. 15:00,10,처음으로 술을 끊어야겠다는 생각을 해봄. 결국 나라는건 내 기억과 곁에 있는이의 기억이 전부일텐데..,3,0
chlr****,2014.12.21. 12:59,10,보면서 펑펑울었습니다,3,0
praj****,2021.11.05. 13:11,10,와 진짜... 과제 때문에 봤는데 펑펑 울었다 ㅠㅠㅠㅜ 알츠하이머를 앓는 환자의 삶에 대한 이야기에요,2,0
lymo****,2021.07.13. 08:39,9,슬픈 감정을 자극하지만 유치하거나 신파적이지 않은 영화. 와타나베의 연기가 좋았고 알츠하이머에 대해 생각하게 함.  아이러니한 건 워커홀릭으로 살던 주인공이 치매에 걸려 기억과 일을 잃고 나서야 비로소 가정과 아내에게로 돌아와 자신을 돌아보게 되는 아이러니 함이라니... 소중한 것은 곁에 있는 가족과 소소한 일...,2,0
jin1****,2020.11.04. 21:36,10,일본 최고의 영화임 그러고 점수 너무 낮음 최소 9점이상,2,0
gmp8****,2014.07.21. 02:51,10,뭐 하나 빠질 게 없는 최고의 영화,2,0
hun4****,2009.04.15. 00:33,9,슬프고 아름답고 또 다시 슬프고 아름다운영화.. 결국..그는 다리를 함께 건넜다..,2,0
lmg3****,2023.02.15. 23:36,10,누구에게나 닥칠수 있는 알츠하이머.. 세상에 이 병을 앓고 있는 모든 분들이 회복되기를 바라며.. 깊은 여운을 남기는 슬픈 영화였다..,1,0
dych****,2022.08.01. 20:58,10,다시봐도 같은 감동이 몰려오는 영화. 배우들의 미묘한 표정연기가 마음을 흔드는 영화입니다. 한번 보시는걸 추천드립니다,1,0
sktj****,2021.09.21. 15:12,10,사랑하는 사람과 결혼해야 하는 이유,1,0
msle****,2021.08.01. 15:39,10,내 남편이라면 난 어떻게 할까?,1,0
4kiz****,2021.07.25. 16:58,9,정보 없음,1,0
kimg****,2021.07.13. 10:35,8,인간에게 기억은 전부이다.,1,0
olds****,2021.07.11. 22:07,10,이때까진 일본영화 볼만했다,1,0
ppkk****,2021.05.16. 21:48,6,평점이 너무 높아서 기대가 컸던것 같다이제는 어느정도 진부해진 소재와 많이 보던 클리셰 결말이 눈에 보이는 전개,1,0
