username,date,rating,review,likes,dislikes
wlgp****,2013.07.12. 19:26,10,오늘 감성문과생들은 눈물을 흘렸다,834,25
didl****,2013.07.12. 20:39,10,나도울고 내시험지도울었다,706,35
ligh****,2013.07.12. 21:41,10,안그래도 오늘 아침 집을 나올떄 박카스 한병 주시면서 격려 해주시던 어머니 지문을 읽으면서 바로 엄마가 떠오르더라... 안그래도 못난 고3 뒷바라지 한다고 고생하시는 엄마...,461,24
s__o****,2013.07.12. 20:13,10,"오늘 모의고사 푸는데 세상에서 가장 아름다운 이별 지문 보고 눈물날뻔했다. 굉장히 짧은 지문이었음에도 불구하고 너무 슬펐고, 뒤 내용이 궁금해지는 지문이었다. 시험을 본 뒤 애들은 마지막 지문 슬퍼서 울뻔했다고 했다. 남편의 대사가 감동의 절정이었다.",428,20
ohju****,2013.07.13. 15:02,10,2년 전에 좋아하는 여자랑 보러갔다가 매너로 챙겨간 티슈를 제가 한통 다썼더랬죠..,360,24
rlaw****,2013.07.13. 14:57,9,그냥 슬픈영화이다.. 스토리가 뻔히보이는 슬픈영화인데.. 눈물이 멈추지않는다 그냥울었다 가슴이먹먹하고 숨도못쉴정도로 울었다 그냥... 너무너무슬펐다,305,12
fooo****,2013.07.12. 17:25,10,국어 모의고사 마지막지문...눈물로 시험지를 적셨다...만약 이 지문이 중간에 나왔다면...모의고사 사상 초유의사태가 나왔을 것이다,280,15
ex_t****,2013.07.12. 21:40,10,글이 사람의 마음을 울릴 수 있다는 것을 알게 해준 명작,188,8
qorl****,2013.07.12. 10:17,10,세상에서 가장 아름다운 모의고사였다....ㅜㅡㅜ,180,11
trac****,2013.07.12. 21:44,10,집중력 흐려질 마지막 이 지문은 그무엇보다도 집중있게봤네 덕분에 다맞았음 ㄳㄳ,176,19
alql****,2013.07.12. 22:52,10,진짜 우리반애들 거의다 울음..... 종쳤는데 애들 답매기지도 않고 슬펐단 얘기만ㅋㅋㅋㅋ,122,5
kal0****,2013.07.15. 14:26,10,"진부하고 지루하다고 하지만, 그 진부함으로 이런 감동을 끌어내는 것 자체가 대단한것 아닌가? 배종옥이 엄마를 부르며 기어다니는 장면ㅠㅠ 무적인거 같은 우리엄마도 아프고 절박한 상황엔 엄마를 찾게됨을 깨닫게 해준 영화, 미안해 엄마 앞으로 더잘할께 내가",117,2
dlgj****,2013.07.12. 21:28,10,"와 내 재수생 친구들, 그리고 고3들 얼마나 슬펐을까.. 솔직히 지금 집에서 그냥 읽어도 슬픈데, 고3이라는 허울 안에서,, 대학 진학을 위해, 애들 학원 보내주기 위해 열심히 일하셨던 부모님 생각하니 눈물이 앞을 가리네. 다들 같은 마음이였겠지?",90,4
kcok****,2013.07.12. 18:36,10,저희 학교는 남고였는데도 불구하고 시험보다가 정말 울음바다가 됐습니다...처음에는 비염이 그렇게 심한가 했는데 보니까 다 울더군요..ㅠ 저도 시험보다가 울어버린건 이번이 처음입니다ㅠ,94,11
dldy****,2013.07.12. 21:45,10,모의고사 지문에 이런 훈훈한 지문이 나온거 보고 사실 좀 놀랐다. 사실 우리 주변에 흔히 일어날 수 있는 일이기도 하고.... 와.... 대사 하나하나에 감정 이입한거는 처음이다.,76,2
alst****,2014.07.10. 04:22,10,올해 21살인 남자입니다. 중학생인 여동생하고 둘이 살구 있구요.어머니는 작년 10월 16일 경에 암투병 하시다 돌아가셨습니다.시간인만큼 많이 찾아뵈지도못하고 혼자 사는게 힘들다고 투정부렸던 저를 돌아보게 하네요..따뜻한 영화를 만들어주셔서 감사합니다,75,4
asen****,2013.07.12. 23:03,9,레알 시험치다 울었음  ㅠㅠ 이런거 내지 마요 ㅠㅠ 시험도 못쳤는데 눈물까지 나고 어헝헝,69,2
kimh****,2013.07.12. 22:38,10,눈물없는 남자앤데 보면서 반 전체가 7번 울었음............,72,5
alst****,2013.07.13. 14:43,10,"밤에 보고 울고 자서 그런지 아침에 눈이 퉁퉁분 영화""다 잊어도 되는데 엄마뱃속에서 나온건 잊으면 안돼..."" 이 대사가 가장 마음을 울렸던...ㅠㅠ 가족에 대해 생각해보는 영화ㅠ",58,1
thym****,2013.07.12. 22:38,10,모의고사보고 고삼임에도 불구하고 본 영화~와우 시간안아깝당,52,1
zkh8****,2013.07.12. 18:29,9,이지문 인터넷수능에 나왓는데 웰케 몰라하지,43,2
wjde****,2013.07.13. 13:45,10,우느라 지칩니다.,41,2
