"writer","date","comment"
"충무공쭈니","2021.04.06","재미있는 영화 보고 갑니다 ㅎㅎ"
"sh**897","2019.12.07","엄청 감동적이었습니다~~~!"
"ev**028","2019.11.27","기억안남 잘몰겠음 보세요"
"ji**1219","2019.05.04","감동적이였어요ㅡ 슬프고요"
"ka**m0428","2019.01.30","좋았어요.좋았어요."
"극장가쟈","2019.01.22","차아내느낭내어우우아나난나"
"sw**low606","2018.12.06","눈물을 쏙 빼는 영화..
어머니가 생각나는.."
"eu**ie27","2018.09.07","제목만 봐도 눈물이 나는 소재..."
"so**dla8989","2018.07.14","슲요오오옹ㅠㅠㅠㅠㅠㅠ"
"케이버미","2018.05.27","너무나 슬프고 공감이 갑니다"
"시노자키_아이","2017.11.12","현재 여자친구와 사귀기 직전에 같이 봤다가, 여친보다 더 울어버려서 1일을 늦춰버릴정도로 슬펐던 영화."
"승승지민 ^^","2017.08.04","책으로도 
뮤지컬도 
봤지만..
영화가 제일 별로였어요"
"ex**ct02","2017.05.05","친정엄마랑함께손잡고봤어요~
많이웃고울고~
감동이었어요~"
"울산댁","2016.09.18","영화보면서 엄마생각나서 펑펑 울었어요 맘이 넘 짠해요~~"
"수요일의 영화","2016.03.24","너무 잔잔하네요..."
"je**235","2016.03.18","영화내내 아내가 울음...감동적인듯."
"아가짱","2016.03.04","엄마는 항상 옳다
틀렸을때도 옳다"
"yunbabo","2016.02.27","잼있게보았습니다 엄마랑보았는데... 넘 슬포"
"수지니","2016.02.23","영화를 보는 내내 울었어요 감동적이었어요"
"sb**es","2016.02.22","엄마랑 함께 보고 많이 울었던 영화"
"km**825","2016.02.22","엄마가 보고싶어요.."
"hanna~sh","2016.02.21","엄마 생각 많이 났어요."
"하늘색크레용","2016.02.19","오랜만에 본 감동 가족영화"
"09**kiss","2016.02.18","마음 따뜻해지는 영화.!"
"똥아똥아","2016.02.07","엄마가 생각나는 영화예요 ㅠㅠ"
"yh**231","2016.01.23","세상에 없으면 안되는 친정엄마 아직 결혼하고 애가없어도 펑펑울면서 본영화"
"19**sea","2015.12.07","너무울어서다시볼엄두도안나는영화임."
"le**e2457","2014.11.25","친정엄마의 딸을 향한 사랑이 전해져 눈물 짓게한 영화"
"ey**i17","2014.09.19","엄마에 소중함을 느끼게 해주는 영화"
"혜슈슈","2014.06.28","지루하지만 감동은있음"
"he**103","2014.06.27","보는내내 눈물나게 했던 영화.."
"su**hinebin","2014.06.23","세상에서 가장 아름다운 단어, 엄마."
"고미이야기","2012.03.24","엄마와 함께 봤던 영화.. 가족과 부모님과 함께 볼 수 있는 영화가 많지 않은데.. 재밌게 엄마와 봤던 영화!!"
