"isSubArticle","parentTitle","press","date","title","excerpt","link","naverNewsLink","type","journalist","naverDate","fullContent","category","commentCount"
false,,"","","","","","","external",,,,,
false,,"","","","","","","external",,,,,
false,,"","","","","","","external",,,,,
false,,"","","","","","","external",,,,,
false,,"","","","","","","external",,,,,
false,,"","","","","","","external",,,,,
false,,"","","","","","","external",,,,,
false,,"헤럴드경제언론사 선정","2주 전","“수백억 날리고 길거리 나앉게 생겼다” AI 교과서에 초상집됐다 [세상...","사진은 ‘AI 디지털교과서 상설 전시회’에서 교원, 학생 등이 AI 디지털교과서를 살펴보고 있는 모습. [연합] [헤럴드경제=김용재·박지영 기자] 정부의 인공지능 디지털교과서(AIDT) ‘자율 선택’ 결정으로 에듀테크 업계에 구조조정 후폭풍이 불어닥쳤다. 신학기 AIDT 도입률이 30% 밑으로 저조하고, 에듀테크...","https://biz.heraldcorp.com/article/10453301?ref=naver","https://n.news.naver.com/mnews/article/016/0002449774?sid=102","naver","김용재 기자, 박지영 기자","2025-03-30 18:01:13","AIDT 도입→각 학교 자율 선택 변경 후폭풍
에듀테크 업체 초기비용 수백억, 경영 악화
에듀테크 업계 전반 권고이직·사직 논란 점화
“회사 분위기 살얼음판, 나가라는 분위기”




정부의 인공지능 디지털교과서(AIDT) ‘자율 선택’ 후폭풍이 에듀테크 업체에 구조조정 칼바람으로 다가왔다. 사진은 ‘AI 디지털교과서 상설 전시회’에서 교원, 학생 등이 AI 디지털교과서를 살펴보고 있는 모습. [연합]


[헤럴드경제=김용재·박지영 기자] 정부의 인공지능 디지털교과서(AIDT) ‘자율 선택’ 결정으로 에듀테크 업계에 구조조정 후폭풍이 불어닥쳤다. 신학기 AIDT 도입률이 30% 밑으로 저조하고, 에듀테크 업계가 구독료 협상에서 정부의 방침에 맞추어 한발 물러나면서 수백억을 AIDT 개발에 투입한 에듀테크 업계는 몸집을 줄여야 하는 처지. 업계 소속 직원들은 ‘이러다 전부 거리에 나앉을 판’이라며 울분을 토하고 있다.

30일 헤럴드경제 취재를 종합하면 올해 들어 아이스크림에듀·비상교육에 이어 천재교과서·웅진씽크빅이 구조조정에 돌입한 것으로 파악됐다. 이 4개 업체는 모두 지난해 AIDT 개발에 참여한 업체다. 업계에 따르면 이 4개 업체 외에도 대다수의 에듀테크 업체가 수익성 악화로 구조조정을 진행할 예정이라고 알려졌다.

앞서 100% 교과서 도입을 확신하고 AIDT 개발에 착수한 에듀테크 업체들은 AIDT 교과서 자율 선택 변경으로 수백억의 적자를 떠안은 상황이라 전해진다. 앞서 AIDT 교과서 도입은 야당의 반대 속에 각 학교 자율 선택으로 변경됐다.

에듀테크 업체에 다니는 직원들은 한숨을 내쉬었다. 에듀테크 기업에 다니는 직원 A씨는 “회사에서 일찍 나가야 이직 자리 찾기가 쉬울거다라는 식으로 압박을 주고 있다”라며 “직원들 사이에서는 ‘빠른 시간 안에 다같이 일용직 아르바이트라도 구해야 하는 것 아니냐’라는 우스갯소리도 나온다”라고 말했다.

다른 에듀테크 기업에 다니는 직원 B씨는 “지금 구조조정 이야기가 나오고 있는 회사 이외에도 업계 전반에 구조조정이 있을 예정이라는 소문이 돌고 있다”라며 “구조조정을 진행하고 싶은 회사가 대부분이고, 현재 불확실성을 안고 계속 AIDT 개발을 이어가야 하는 것이 너무 큰 부담”이라고 전했다.

특히 에듀테크 업계에서 구조조정이 집중되고 있는 곳은 디지털 교과서 관련 부서인 것으로 전해진다. 지난 21일부터 사실상 구조조정에 돌입한 천재교과서의 경우 구조조정이 디지털 학습지 ‘밀크티’ 중심인 셈이다. 이들 부서의 경우 대부분이 1~5년차 이내의 ‘주니어’ 직원인 것으로 파악됐다.

에듀테크 기업에 다니는 직원 C씨는 “사업이 적자가 나는 이유가 기업 직원의 잘못이 아닌데, 왜 우리가 구조조정을 강요당하는지 모르겠다”라며 “‘권고 이직’이라는 꼼수를 사용하니, 회사 분위기는 완전 살얼음판”이라고 토로했다.

다른 직원 D씨는 “잘나가던 밀크티 사업을 무리하게 리뉴얼 하다가 적자를 봐놓고 직원보고 책임지라는 행태가 화나는 것”이라며 “무리한 사업 확장 탓을 주니어 직원들에게 모는 것이 말이 안되는 것 아니냐”라고 지적했다.



AI 디지털교과서를 활용해 교사와 학생이 수업하는 모습. [연합]


실제로 비상교육은 초중등 스마트 학습 브랜드인 ‘온리원’ 사업부를 축소하고 AIDT 사업부 인력을 재배치하는 방식으로 구조조정을 진행했다. 아이스크림에듀 역시 전체 인력의 30%를 줄인다는 목표로 지난 달부터 희망퇴직을 단행했다.

천재교과서 내부에서는 전체 직원의 절반에 달하는 700명 수준을 감축한다는 이야기도 나왔다. 직장인 익명 커뮤니티 ‘블라인드’에 글을 올린 작성자는 “천재교육이 700명 이상의 권고사직을 진행하고 있다”라면서 “면담 시 ‘권고이직’이라는 말장난으로 실업급여 및 위로금을 지급하지 않고 직원들을 내보내려는 분위기”라고 지적하기도 했다.

다만 천재교육 관계자는 권고사직과 관련해 “700명 사직은 사실이 아니다”라며 “AIDT로 인해 큰 비용을 투자한 상황에서 사업 축소를 논의 중인 것”이라고 반박했다. 이어 “여러 가지 방안의 협의를 직원들과 진행하는 것이지 구체적인 인원을 언급하지 않았다”라고 했다.

업계 관계자는 “AIDT에 총력을 다한 기업들은 고용 한파가 닥칠 수밖에 없는 현실”이라면서 “구조조정은 앞으로 더 심하게 올 것”이라고 했다.

한편, 에듀테크 기업들은 AIDT 피해와 관련해 교육부에 행정소송을 예고하기도 했으나 실제 소송이 진행된 건은 없는 것으로 확인됐다.","사회",20
false,,"지디넷코리아언론사 선정","2주 전","엘리스그룹, AI 경쟁력 극대화한 ‘엘리스 AI 에코시스템’ 공개","엘리스그룹은 개발 중인 AI 디지털교과서를 위한 인프라 도입을 시작으로 공교육 클라우드 사업에서 입지를 확대해 나갈 계획이다. 국내 기업 AI 도입에 최적화된 AI 모델 라이브러리와 한국어 특화 AI 모델 엘리스그룹 기자 간담회 별도의 설치 없이 원클릭으로 세계 최고 성능의 다양한...","https://zdnet.co.kr/view/?no=20250328104317","https://n.news.naver.com/mnews/article/092/0002368475?sid=105","naver","백봉삼 기자","2025-03-28 14:18:14","엔비디아 B200 탑재한 600KW AI PMDC 출시
엘리스그룹(대표 김재원)이 'Empowering AI'라는 슬로건을 내세우고, 국내·외 기업, 학교, 정부 기관의 AI 경쟁력을 극대화할 수 있는 모듈형 데이터센터 '엘리스 AI PMDC' 중심의 AI 인프라 구축을 가속화 한다.

AI 교육 솔루션 기업 엘리스그룹은 28일 서울 강남구 보코서울에서 기자간담회 'Elice IMPACT: Empowering AI'를 열었다. 이 자리에서 회사는 엘리스 AI PMDC를 토대로 시너지를 발휘할 엘리스 AI 에코 시스템을 소개했다.

김재원 엘리스그룹 대표는 “최근 정부, 기업, 학교 모든 곳에서 생성형 AI 도입이 급증하고 있고 양질의 AI 교육을 찾는 수요도 빠른 속도로 늘어나고 있다”며 “이를 위해 엘리스그룹은 AI 인프라, 플랫폼, AI 모델, 콘텐츠가 유기적으로 이어지는 AI 에코시스템을 구성했다”고 설명했다.


김재원 엘리스그룹 대표


엔비디아 최신 GPU B200 탑재 포함해 기업 수요에 맞춘 AI PMDC 사업 모델 발표


AI PMDC 기반의 고성능 GPU·NPU 서비스 '엘리스클라우드'는 2023년 서비스를 시작한 이후 다수의 스타트업, 대학 연구시설 등에서 활발히 활용돼 왔다. 지난해에는 국내 서비스형 소프트웨어(SaaS) 산업 활성화에 기여한 공로를 인정받아 우수CSP 기업으로도 선정된 바 있다.

엘리스그룹은 올해부터 AI PMDC, 서버, AI 클라우드 플랫폼까지 통합된 IaaS 서비스로 맞춤형 AI 클라우드를 제공하는 사업 모델을 추가해 기업의 AI 도입을 이끌 계획이다. AI를 도입하려는 각 기업의 수요에 따라 엔비디아의 최신 GPU B200, H200을 비롯해 국산 NPU까지 탑재 가능한 맞춤형 AI PMDC를 제공한다. 약 4개월 내에 설계 및 구축을 마치고, 고객 대상 클라우드 서비스를 개시할 수 있기 때문에 빠르고 효율적으로 AI를 도입하려는 기업들에게 유용하다.


엘리스 AI PMDC.

김재원 대표는 ""보안과 안전성에 대한 우려로 AI 활용에 어려움을 겪는 공공영역 역시 높은 보안 수준의 AI PMDC를 중심으로 공략하겠다""고 강조했다.

엘리스그룹은 지난해 CSAP SaaS 표준등급, 정보보안 국제인증인 ISO27001·27701을 획득한데 이어, 올해 2월 AI PMDC로는 처음으로 CSAP IaaS 인증을 획득했다. 이로써 보안에 대한 국내외 신뢰성을 입증하고, 교육, 금융, 의료 등 국내 기업, 공공 분야의 다양한 영역으로 확장을 본격화한다.

또 AI PMDC는 이동이 가능한 모듈형 데이터센터로 물리적 격리가 가능해 공교육, 기술 기반 산업 등의 민감한 데이터를 각각 안전하게 보호할 수 있다. 엘리스그룹은 개발 중인 AI 디지털교과서를 위한 인프라 도입을 시작으로 공교육 클라우드 사업에서 입지를 확대해 나갈 계획이다.


국내 기업 AI 도입에 최적화된 AI 모델 라이브러리와 한국어 특화 AI 모델



엘리스그룹 기자 간담회

별도의 설치 없이 원클릭으로 세계 최고 성능의 다양한 AI모델을 활용할 수 있는 AI 모델 라이브러리도 소개됐다. 거대언어모델(LLM), 시각적 질의응답(VQA), 텍스트 음성 변환(TTS) 등 다양한 AI 기능을 애플리케이션 프로그램 인터페이스(API)로 제공해 AI 전환을 추진하는 기업들의 개발 부담을 줄여준다.

엘리스그룹은 ▲Helpy Edu ▲Helpy Pro ▲Helpy Reasoning ▲Helpy-V Reasoning 등 생성형 AI 모델 'Helpy' 4종도 새롭게 선보였다. Helpy Edu는 교육 환경에 최적화한 텍스트 LLM으로 할루시네이션 억제, 욕설 필터 기능 등이 적용돼 안전하고 신뢰할 수 있는 답변을 제공한다. Helpy Pro는 비즈니스 목적의 범용 텍스트 LLM으로 한국어 문맥 이해를 비롯해 영어와 한국어로 혼합된 언어 처리에서 강점을 갖고 있다. Helpy Reasoning은 심층 추론형 텍스트 LLM으로 논리적 문제나 수학 퍼즐을 해결하는데 뛰어난 모델이다.


엘리스 AI헬피

Helpy-V Reasoning은 다양한 이미지를 이해하고 답변할 수 있는 멀티모달 VQA 모델이다. 특히, 난이도가 높은 과제로 꼽히는 다국어 텍스트 중심 VQA(MTVQA, Multilingual Text-Centric Visual Question Answering) 한국어·베트남어 분야 벤치마크에서 세계 최고 성능을 달성했다. 또 다른 언어에 대해서도 글로벌 빅테크의 AI 모델들을 능가하는 높은 성능을 기록했다.

엘리스그룹이 개발한 고도화된 AI 모델은 현재 공교육 분야에서 혁신 사례를 만들어 내고 있다. 욕설 모더레이터, 팩트 체커, 학생 연령대를 고려한 친화적 톤 변경 에이전트들로 구성된 멀티-에이전트 안전 AI 챗봇이 대표 사례다. 이 모델은 AI 디지털교과서 적용을 위해 국사편찬위원회 및 한국어 문화 지식를 습득했으며, 현재 엘리스그룹이 개발하고, 검정을 통과한 중학교 정보 AI 디지털교과서에 AI 챗봇으로 적용돼 있다.


엘리스클라우드 모듈형 데이터 센터

김재원 대표는 ""고밀도의 전력 효율, 발열을 관리할 수 있는 액체 냉각 기술, 강력한 보안 성능 등 업계 최고의 기술력을 바탕으로 AI PMDC를 개발했고, 이를 사업 모델로 새롭게 선보이고자 이 자리를 마련했다""며 ""빠르고 효율적인 AI 전환을 희망하는 기업이라면 엔비디아 B200 AI PMDC를 비롯한 엘리스 AI PMDC 도입이 최고의 선택이기에 많은 문의 주시기 바란다""고 말했다. 또 ""AI 시대에 공공·기업 전 영역의 AI 전환을 이끌어 국내 AI 생태계 조성과 국가 산업 경쟁력을 높이는데 기여하겠다""고 덧붙였다.","IT",0
true,"엘리스그룹, AI 경쟁력 극대화한 ‘엘리스 AI 에코시스템’ 공개","뉴시스","2주 전","엘리스그룹, '엔비디아 B200 AI PMDC' 출시…""AX 선도""","","https://www.newsis.com/view/NISX20250328_0003117759","https://n.news.naver.com/mnews/article/003/0013149582?sid=101","naver","이승주 기자","2025-03-28 15:29:20","엘리스 AI PMDC 중심의 'AI 에코시스템' 구축
AI 모델 라이브러리·생성형 AI '헬피' 4종 선봬
[서울=뉴시스] 김재원 엘리스그룹 대표가 28일 기자간담회에서 엘리스 AI PMDC를 토대로 시너지를 발휘할 엘리스 AI 에코 시스템을 소개했다. (사진=엘리스그룹 제공) 2025.03.28. photo@newsis.com *재판매 및 DB 금지


[서울=뉴시스]이승주 기자 = 인공지능(AI) 교육 솔루션 기업 엘리스그룹이 국내 최초 엔비디아 최신 그래픽처리장치(GPU) B200을 탑재한 600㎾ AI 이동형 모듈러 데이터센터(PMDC)를 출시했다.

엘리스그룹은 28일 서울 강남구 보코서울에서 기자간담회를 열고 '엘리스 AI PMDC'를 토대로 시너지를 발휘할 'AI 에코 시스템'을 소개했다.

김재원 엘리스그룹 대표는 ""최근 정부, 기업, 학교 모든 곳에서 생성형 AI 도입이 급증하고 있고 양질의 AI 교육을 찾는 수요도 빠른 속도로 늘어나고 있다""며 ""이를 위해 엘리스그룹은 AI 인프라, 플랫폼, AI 모델, 콘텐츠가 유기적으로 이어지는 AI 에코시스템을 구성했다""고 설명했다.

엘리스 AI PMDC는 콘테이너 내부에 서버랙과 냉각장치를 설치하고, GPU와 신경망처리장치(NPU)를 탑재한 일체형 구조다. 효율적인 비용으로 빠르게 AI 데이터센터를 확장하는데 적합하다.

엘리스그룹은 올해부터 AI PMDC, 서버, AI 클라우드 플랫폼까지 통합된 서비스형 인프라(IaaS)로 맞춤형 AI 클라우드를 제공하는 사업 모델을 추가한다.

특히 AI를 도입하려는 각 기업의 수요에 따라 엔비디아의 최신 GPU B200, H200을 비롯해 국산 NPU까지 탑재 가능한 맞춤형 AI PMDC를 제공한다. 약 4개월 내에 설계 및 구축을 마치고, 고객 대상 클라우드 서비스를 개시할 수 있어 빠르고 효율적이다.

김 대표는 ""보안과 안전성에 대한 우려로 AI 활용에 어려움을 겪는 공공영역 역시 높은 보안 수준의 AI PMDC를 중심으로 공략하겠다""고 강조했다. AI PMDC는 이동이 가능해 물리적 격리함으로써 공교육, 기술 기반 산업 등의 민감한 데이터를 각각 안전하게 보호할 수 있다.

또한 엘리스그룹은 개발 중인 AI 디지털교과서를 위한 인프라 도입을 시작으로 공교육 클라우드 사업에서 입지를 확대해 나갈 계획이다.

이날 별도의 설치 없이 원클릭으로 AI 모델을 활용할 수 있는 AI 모델 라이브러리도 소개됐다.

거대언어모델(LLM), 시각적 질의응답(VQA), 텍스트 음성 변환(TTS) 등 다양한 AI 기능을 애플리케이션 프로그램 인터페이스(API)로 제공해 AI 전환을 추진하는 기업들의 개발 부담을 줄여준다.

엘리스그룹은 생성형 AI 모델 'Helpy(헬피)' 4종도 새로 선보였다.

헬피 에듀는 교육 환경에 최적화한 텍스트 LLM으로 욕설 필터 기능 등이 적용됐다. 헬피 프로는 비즈니스 목적의 범용 텍스트 LLM으로 한국어 문맥 이해 및 영어와 한국어로 혼합 언어 처리에 강하다.

헬피 리즈닝은 심층 추론형 텍스트 LLM으로, 논리적 문제나 수학 퍼즐을 해결하는데 뛰어난 모델이다. 헬피-V 리즈닝은 다양한 이미지를 이해하고 답변할 수 있는 멀티모달 VQA모델로, 한국어·베트남어 분야 벤치마크에서 세계 최고 성능을 달성했다.

김 대표는 ""빠르고 효율적인 AI 전환을 희망하는 기업이라면 국내 최초로 선보이는 엔비디아 B200 AI PMDC를 비롯한 엘리스 AI PMDC 도입이 최고의 선택이기에 많은 문의 주시기 바란다""며 ""AI 시대에 공공·기업 전 영역의 AI 전환을 이끌어 국내 AI 생태계 조성과 국가 산업 경쟁력을 높이는 데 기여하겠다""고 전했다.","경제",0
