"url","username","reviewDate","year","review","rating","likes"
"https://pedia.watcha.com/ko-KR/comments/Vw8MLb3dbZEel","이동진 평론가","1개월 전",2024,"함께 살아간다는 것의 의미에 대해 온유하고도 선명하게.","3.0","129"
"https://pedia.watcha.com/ko-KR/comments/droQ09ALgGEyN","점심","1년 전",2023,"이 영화의 모든 것이 어색해지는 날이 왔으면","4.0","103"
"https://pedia.watcha.com/ko-KR/comments/6GWQ1b7znKEJ5","창민","1개월 전",2024,"가족은 혈연이나 법적 관계로만 정의되는 게 아니다.","4.0","71"
"https://pedia.watcha.com/ko-KR/comments/droQ0BP6v72yN","오리","4개월 전",2024,"끝까지 딸의 이름이 나오지 않아서 좋았다 그들이 엔딩크레딧까지 온전히 선택한 이름, 그린과 레인이어서.","4.0","64"
"https://pedia.watcha.com/ko-KR/comments/xkPEm75XmJMK3","🕳️","1년 전",2023,"그린과 엄마는 서로 너무나도 닮아서, 너무나도 사랑해서 아주 가끔은 서로를 미워하게 돼 - 231008, 부산국제영화제","4.0","56"
"https://pedia.watcha.com/ko-KR/comments/GO6MZgnexgQNx","성유","1개월 전",2024,"""부당한 일이니까요. 그냥 싫은 거겠죠. 동성애자니까요.""  대전광역시에서 대전여성영화제 초정작인 딸에 대하여 상영이 일주일도 남지 않은 상황에 퀴어 소재가 나온다는 것만으로 일방적으로 철회를 요구할 수 있었던 이유는 단 하나뿐이라고 생각한다. 그냥 싫은 것이다. 쫓아내고 싶었던 것이다. 하지만 자신의 삶과 떼어놓고는 생각할 수 없었던 수많은 이들의 응원과 연대가 존재했기에, 이 영화는 무사히 상영될 수 있었다.","4.5","50"
"https://pedia.watcha.com/ko-KR/comments/6GWQ1b7rRLEJ5","simple이스","2개월 전",2024,"이해란 누가 더 아픈지를 토로하는 게 아닌 서로의 상처를 덧대보는 것.","3.5","50"
"https://pedia.watcha.com/ko-KR/comments/jxZQRVO1WYQbq","불온","1년 전",2023,"누군가는 뻔한 소재, 뻔한 이야기라고 하겠지만 그럼에도 불구하고 말해야 하는 것들에 대하여","3.5","48"
"https://pedia.watcha.com/ko-KR/comments/0ezQyJxKYnEpq","elihpenic","11개월 전",2023,"어떻게 남의 일이야. 내 일이 될 수도 있는데.  그러므로 결국엔 “우리”에 대하여","4.5","45"
"https://pedia.watcha.com/ko-KR/comments/y4ZMOmWd3WEOp","JY","1개월 전",2024,"아주 좋은 의미로 원작이 궁금해지는 작품  오민애 배우 손에 뭐라도 쥐여주고픈 심정","3.5","44"
"https://pedia.watcha.com/ko-KR/comments/NXnE5g7elAMzG","뭅먼트","1개월 전",2024,"길이와 넓이를 정확히 측정할 수 없는 마음의 폐부를 깊숙하게 찌르는 '이해'의 시선과 '동행'의 삶.","3.0","34"
"https://pedia.watcha.com/ko-KR/comments/y4ZMOmWbYZEOp","황재윤","1개월 전",2024,"다름을 온전히 이해하기보다 함께 살아감에 대한 숙고. 🍉  240905 CGV 아트하우스에서.","3.0","34"
"https://pedia.watcha.com/ko-KR/comments/P7kEWyn07xMJ9","goneji","1개월 전",2024,"정의로운 건 다른 딸들이 하고 내 딸은 적당히 좋은 곳 취직하고 적당한 남자 만나서 결혼하고 그렇게 “평범”하게 살았으면 좋겠다고 생각하는 엄마가 우리 엄마 말고도 또 있구나","4.0","32"
"https://pedia.watcha.com/ko-KR/comments/69oMvdkqK3Eal","RAW","1개월 전",2024,"올해 극장에서 들은 가장 묵직한 한 마디 ‘너는 내 딸이니까’ 3.15/5점  임새미, 하윤경 배우 예쁩니다","3.0","25"
"https://pedia.watcha.com/ko-KR/comments/1Vl2boajenMrR","샌드","11개월 전",2023,"너는 절대 혼자가 아니야라는 말을, 나는 절대 당신을 혼자 두지 않을 것이라는 굳은 일념을 가진 인물의 말과 행동으로 전달하는 작품은 얼마나 단단한가. <딸에 대하여>는 그런 강인한 소신을 마음에 품은 인물을 차분하고 섬세한 톤의 촬영과 연출 방식으로 그려내 보는 사람에게 하여금 무한한 신뢰감을 선사해 감명 깊은 지점을 만드는 작품입니다.  하루하루 주어진 일에 최선을 다하며 열심히 살아가는 어머니가 법적 제도의 테두리 내에서 이어질 수 없는 여러 관계 속에 놓이게 되며 겪는 그 얼굴과 행동을 담습니다. 처음엔 딸에 관해 모르는 것을 알아가는 어머니에 대한 작품으로 보이다 나중에 가면 오히려 딸보다 다른 인물이 더 비중 있게 그려지는데, 이렇게 다양한 관계가 한데 모여 만들어진 독특한 유사 가족의 형태가 흥미롭습니다. =  영화에서 카메라는 거의 모든 장면에서 어머니 옆을 따라다니거나 같은 공간에 존재해 있는데, 이때 연출가는 화면에 인물을 어떻게 담아낼 것인가에 대한 고민이 고스란히 느껴집니다. 영화는 이를 원작 책이 아닌 영화만이 할 수 있을 시간과 여백이 만드는 정서를 각색의 핵심으로 삼아 섬세한 연출 방식으로 풀어갑니다. 제겐 여기서 이 영화의 장단점이 동시에 드러났습니다.  단지 영화의 템포가 느리다는 것은 단점이 아니라 생각합니다. 다만 그런 방식을 선택한 것에 대해 충분히 설득하지 못했다면 그건 단점이 될 수도 있다곤 생각합니다. 그런 면에서 <딸에 대하여>는 제겐 무엇을 보여주고 어떤 방식으로 감정을 만들 것인가에 대한 그 각색의 의도는 알겠고 동의하지만, 동시에 전반적으로 이야기의 동력이 부족해 축 처지는 느낌도 있습니다. 마치 여백을 다루는 영화가 여백이 아닌 공백을 보여줬을 때 다소 늘어진다는 게 그렇습니다. =  어머니라는 중심 캐릭터를 훌륭하게 만들었지만 주변 인물로부터 제도적 장치의 난관과 사회의 편견에 저항하는 모습이 나올 때의 연출과 대사는 그때 꼭 해야 할 것을 딱딱 짚어주는 인상이라 다소 단순하게 느껴진다는 것도 아쉬운 면입니다. 다만 이 영화는 분명 강인한 의지가 있고, 끝까지 지지하고 싶은 캐릭터도 여럿 있으며, 모든 배우의 연기가 다 좋은 데다가 오민애 배우의 연기는 그 환경과 그 상황이 닥쳤을 때 할 수 있는 최상의 완벽한 연기를 보여준다는 점에서 영화가 아주 단단합니다.  지극히 평범한 사람의 일상에 찾아온 평범하지 않은 인연에 대한 영화로 시작해 평범한 일상을 선사해 주는 영화로 끝난다는 점, 어머니와 딸의 이야기를 단지 세대론으로만 풀지 않고 각자의 입장에서 할 만한 최선의 이야기를 한다는 점, 어머니에 대하여, 가족에 대하여, 혹은 제겐 세 명의 딸로 보이는 딸에 대하여로 다양하게 읽어낼 수 있는 제목을 계속 곱씹어 보게 된다는 점 등 끝난 후에도 계속 생각나는 특별한 힘이 있습니다.","3.0","20"
"https://pedia.watcha.com/ko-KR/comments/NXnE5g7Yz9MzG","벵말리아","1개월 전",2024,"책으로 읽는 것보다 영상으로 영화로 보는 게 심적으로 더 힘든 시간이었다. 엄마와 딸 모두를 응원합니다.","3.5","18"
"https://pedia.watcha.com/ko-KR/comments/POkEwo01gpEql","22","1년 전",2023,"엄마에 대하여","4.0","17"
"https://pedia.watcha.com/ko-KR/comments/6aLMPGWBJK2Ow","임판호","1개월 전",2024,"혼자가 아닌 함께 나아가기 위한 공존의 필요에 대하여. 덧! 아직은, 내 일은 아니라는 회피에서 벗어나 앞으로를 더욱 생각하게 만들 현 시대에 꼭 필요한 이야기.","3.5","15"
"https://pedia.watcha.com/ko-KR/comments/nd3M3g7DeBMNg","주방장의 잡기술","1개월 전",2024,"세대 차이에서 오는 갈등을 조금 가라앉히는 과정.","3.0","14"
"https://pedia.watcha.com/ko-KR/comments/OAxM7wmNkyMbm","OLSTA","1개월 전",2024,"3개의 이야기가 서로 알맞게 맞아들어가진 않지만 저릿한 마음은 오롯이 전달된다","3.5","12"
"https://pedia.watcha.com/ko-KR/comments/nd3M3g7jVLMNg","카이","1개월 전",2024,"- 가족의  모양(겉모습)은 중요하지 않다.  - 이해라는 관점에서 보면 엄마는 딸을 온전히 받아들일 수 있을까... 딸은 엄마를 온전히 받아들일 수 있을까... 다름을 받아들이는 시간.. 머리로 생각하는것이 아닌 서서히 가족의 구성원으로 ..  두 모녀는 달라 보였지만 너무도 닮아 있다. 그래서인지 '모'는 이 외로운길을(?) 가지 않았으면 하는 '모'의 바램도 느껴지는 동시에 딸의 입장도 충분히 공감되는 ...  가족의 의미에 대해 생각할 수 있는 영화.  '경아의 딸'을 보고 이 영화를 보면 조금 더 흥미롭다.","3.5","12"
"https://pedia.watcha.com/ko-KR/comments/jxZQRz4GAvQbq","조항빈","11개월 전",2023,"'딸에 대하여'는 요양보호사로 일하는 주인공의 집에 경제적 어려움을 겪고 있는 딸이 연인과 함께 들어오게 되는 영화다. 오민애 배우의 열연을 중심으로 영화는 가족의 의미를 깊게 고찰한다.  영화의 주인공은 훌륭한 인생을 살았지만 치매로 무기력해지는 환자를 열심히 돌보는 훌륭한 요양보호사지만, 집에서는 딸과 원만한 관계를 갖지 못하는 듯하며, 이웃 가족을 부럽게 바라보며 더욱 외로워하는 중년 엄마다. 그 고독함은 요양보호사로서 보고 겪는 일들로 인해 점차 두려움으로 진화하고, 그 두려움은 주인공을 잠식해가기도 하지만, 모성애라는 전선을 타고 그의 딸에게까지 투영되기 시작한다. 그렇게 영화는 딸과 어머니의 갈등을 통해 우리 모두가 가진 외로움에 대한, 특히 외로운 노년에 대한 두려움을 파고 든다. 지원과 부양의 측면에서, 서로 언제나 돕고 도는 관계로서의 가족을 바라보며, 마치 고레에다 히로카즈 영화처럼 이 작품 또한 전통적인 가족상에서 벗어난 새로운 형태의 가족의 가능성과 아름다움을 제시한다. 또한, '환절기'를 연상시키기도 하지만, 삶, 그리고 늙어가는 것에 대한 보편적인 소재를 통해 색다른 깊이를 보여주기도 한다. 사랑이 넘치는 부드러운 어머니상부터 차갑고 딱딱한 보호 본능으로 무장한 어머니상을 자유자재로 오가는 오민애 배우의 연기가 일품이며, 누구나 이해할 수 있지만 가슴 아픈 고집과 갈등의 연속인 주인공의 여정을 완벽하게 묘사해준다.","4.0","12"
"https://pedia.watcha.com/ko-KR/comments/boY2l1zz5OMWO","차칸수니리","1개월 전",2024,"이야기는 딸의 동성애와 독거 노인 복지 문제가 서로 이어지며 진행되는데 적절하게 이어졌다고 볼 수 있는지는 사람마다 관점이 다른 것 같다. 그래도 배우들 연기는 많이 좋았다. 하윤경이 ""들어오세요"" 하는 장면은 대단히 탁월했다.","4.0","11"
