"writer","date","comment"
"농은","2021.03.21","아빠 생각나서 많이 슬펐던 영화!!"
"JHrock","2020.12.02","관계의 단절과 싸우는 모든 이에게 보내는 따뜻한 위로.

비단 치매노인 뿐 아니라 소원한 부부, 이혼한 남녀, 사춘기 소년, 그리고 일본 사회 전체 등 다양한 층위의 느린 단절을 다루며, 끝내 그 모두에게 하나하나 응원을 건넨다."
"co**nyc74","2020.10.09","강동감동 최고였어요!!!"
"seozart","2020.07.28","남의 일이 아니니 더 공감이 되네..."
"zpdlxk123","2020.07.18","말그대로조금씩 천천히 
따뜻해지는"
"히야.lee","2020.07.10","포인트가 잘 없어서 그냥 저냥 햇어요"
"Bb A+","2020.07.04","아오이 유우 때문에 봤지만
내용이 치매 관련 이야기라
잔잔 감동"
"Rossetta","2020.06.30","실버세대가 된 지금, 미래를 생각하게 하는 영화였읍니다."
"한량아닌건달","2020.06.29","언제나 모든 것의 답은 가족.."
"sa**12777","2020.06.28","이런 감성의 일본영화 좋네요!!"
"구연공","2020.06.28","잔잔하고 좋았습니다 우리도 다가올 인생인것 같네요"
"ph**72","2020.06.27","치매를 어떻게하면 슬기롭게대체할수 있는 지 가르쳐준  솔직히 고마워요"
"n1**51","2020.06.21","가족애가 느껴지는 영화."
"효향","2020.06.19","과연 부모님이 치매라면 천천히
안녕할수 있을까?
요즘 사회문제로 뜨는 치매문제!
누구나 생각해봐야하는 문제이다."
"no**l07","2020.06.19","가족 각자의 고된 삶이 공감된 영화.."
"서감독","2020.06.18","슬픈 아름다움과 절제미. 그래도 살아간다"
"고라니삼촌","2020.06.18","슬프지만 누구에게나 다가오는 이별"
"si**tjy1984","2020.06.18","지루 일본연대기보여줌"
"처음생각나는사람","2020.06.18","일본영화 특유의 잔잔함이 있네요"
"슈오룽","2020.06.16","안녕....!! 좋았어요...!!"
"구름위에두둥실","2020.06.16","몰입해서 잘 봤습니다. 나의 가까운 미래 이야기 같아요."
"wh**eangelty","2020.06.13","아오이유우나와서봤는데 스토리는 빈약해보여요"
"annie&jimmy","2020.06.12","모두에게 일어날 수 있는일에,, 
미리 마음의 연습을 주는 영화,,"
