category(SoyNLP),word(SoyNLP),score(SoyNLP),category(TF-IDF),word(TF-IDF),score(TF-IDF),category(KeyBERT),word(KeyBERT),score(KeyBERT)
1991,기적_짧은,6.0,1991,로버트_드,34,1991,감동적인_아무리,2.0
1991,기적_순간의,4.0,1991,로버트_드니로의,22,1991,감동적인_바탕의,2.0
1991,기적_감사한,2.0,1991,로버트_드니로,14,1991,감동적인_스토리에,2.0
1991,기적_누군가를,2.0,1991,로버트_윌리엄스와,6,1991,감동적인_그냥,2.0
1991,기적_많은,2.0,1991,로버트_드니로를,4,1991,감동적인_명연기와,2.0
1991,기적_가장,2.0,1991,로버트_드니로가,4,1991,감동적인_봤는데,2.0
1991,기적_행복했던,2.0,1991,로버트_있지만,2,1991,감동적인_실화이기에,2.0
1991,기적_있는,2.0,1991,로버트_없는,2,1991,감동적인_잔잔하면서,2.0
1991,기적_짧았던,2.0,1991,로버트_있었다,2,1991,감동적인_영화네요,2.0
1991,기적_사랑의,2.0,1991,로버트_간만에,2,1991,감동적인_따뜻하고,2.0
1991,기적_이에게는,2.0,1991,로버트_387,2,1991,감동적인_강의,2.0
1991,기적_윌리엄스의,2.0,1991,로버트_드니로란,2,1991,감동적인_실화,2.0
1991,기적_보여준,2.0,1991,로버트_드니로는,2,1991,감동적인_뜨겁게,2.0
1991,기적_나타난,2.0,1991,로버트_연기력,2,1991,감동적인_영화라도,2.0
1991,기적_이여만,2.0,1991,로버트_영화에서,2,1991,감동적인_윌리엄스의,2.0
1991,기적_매일,2.0,1991,로버트_드네로의,2,1991,감동적인_연기에,2.0
1991,기적_겪는,2.0,1991,로버트_보여준,2,1991,감동적인_정도다너무도,2.0
1991,기적_긴,2.0,1991,로버트_외치는,2,1991,감동적인_영화라고,2.0
1991,기적_안에서,2.0,1991,로버트_셈이다,2,1991,기적_짧은,6.0
1991,기적_기간동안,2.0,1991,로버트_역의,2,1991,기적_순간의,4.0
1991,기적_을,2.0,1991,로버트_봤을,2,1991,기적_감사한,2.0
1991,기적_누군가에게는,2.0,1991,로버트_보인다,2,1991,기적_누군가를,2.0
1991,기적_속에서,2.0,1991,로버트_로빈윌리엄스,2,1991,기적_많은,2.0
1991,기적_마지막,2.0,1991,로버트_감동적입니다,2,1991,기적_가장,2.0
1991,기적_들인지,2.0,1991,로버트_살아난,2,1991,기적_행복했던,2.0
1991,기적_있다는,2.0,1991,로버트_밥,2,1991,기적_있는,2.0
1991,기적_찰나의,2.0,1991,로버트_그렇듯,2,1991,기적_짧았던,2.0
1991,기적_삶이라는,2.0,1991,로버트_영화였다,2,1991,기적_사랑의,2.0
1991,사랑_필요한,2.0,1991,로버트_소화하는,2,1991,기적_이에게는,2.0
1991,사랑_모두가,2.0,1991,로버트_드니로이기에,2,1991,기적_윌리엄스의,2.0
1991,사랑_산책,2.0,1991,로버트_캬,2,1991,기적_보여준,2.0
1991,사랑_누군가를,2.0,1991,로버트_짜낸다,2,1991,기적_나타난,2.0
1991,사랑_할,2.0,1991,로버트_드니로로빈윌리엄스를,2,1991,기적_이여만,2.0
1991,사랑_단순하면서도,2.0,1991,로버트_점이다,2,1991,기적_매일,2.0
