username,date,rating,review,likes,dislikes
robi****,2023.03.11. 22:33,10,제 29년 인생에 이렇게 여운이 진하게 남는 영화는 처음이에요ㅠ 로맨스나 드라마 장르만 보면 코를 고는 저였지만 이 영화만큼은 처음부터 끝까지 몰입해서 봤습니다. 연출과 ost가 제 눈물샘을 계속 자극하는 바람에 잠이 올틈이 없었어요. 좋은 영화 만들어주셔서 감사합니다.,19,1
yoon****,2023.03.11. 21:36,10,지금이순간 무엇을 선택해야 삶에 끝에서 후회가 적을까요?아이러니 하게도 죽음을 깊이 생각하니 지금 이순간 더 좋은 삶의 선택이 보이는듯 합니다.. 강추합니다.,17,0
wild****,2023.03.12. 11:08,10,지인이 괜찮다고 해서 기대감 없이 봤는데 생각보다 재밌어서 놀랐네요 여운이 오래 남아서 아직도 생각나네요;,16,0
geni****,2023.03.12. 09:07,7,치매 걸린 가족들이 겪어야 하는 리얼한 얘기였습니다.,16,0
hwia****,2023.03.12. 00:38,10,너무 아름다운 영화...울기도 했지만 정말 가족의 소중함을 알 수 있었던 영화입니다... 치매 가족의 현실을 보여줘서 슬프지만 가족의 사랑 또한 잘 담아낸 영화라고 생각합니다. 슬프지만 아름다운 영화. 영화제에서 51관왕이나 수상받을 만한 대단한 영화라고 생각해 적극 추천드립니다!!!,16,1
yun2****,2023.03.12. 09:37,10,"상영관이 많이 없었지만 언론평이 좋아 오랜만에 관람 했습니다. 선동혁 배우님을 비롯한 배우들의 훌륭한 연기와 완성도 높은 스토리, 그리고 감독님의 탁월한 연출력이 큰 감동으로 이어져 아직까지 마음속에 깊은 울림이 있네요. 내 부모님이나 나의 이야기가 될수 있어 더 감동해서 본거 같아요. 이 울컥함이 길게 가네요.",14,0
ye4u****,2023.03.08. 10:58,10,눈물이 계속 나서 혼났다.,15,1
yyk1****,2023.03.12. 10:20,10,부모님 생각에 가슴아프고 나자신을 돌아보게하는 감동적인 영화였습니다. 배우분들 연기가 실제같았어요. 따뜻한 영화네요.,13,0
doun****,2023.03.11. 19:38,10,휴지 필수.. 생각해본적 없던 죽음에 관하여...부모님 모시고 보면 좋을듯,13,0
ksit****,2023.03.12. 21:55,10,지인추천으로 봤는데 나의 삶과 죽음을 생각하게되고 어떻게 살다 갈것인가를 공감하게 되네요. 강추입니다.,12,0
hwiy****,2023.03.13. 00:01,10,가슴이 찡해지는 영화네요... 잘 봤습니다..ㅠㅠ,11,0
sdh3****,2023.03.14. 23:08,10,여러 인물중 어느 한 사람도 비난할 수 없는 영화영화로 하여금 관객들에게 평생 숙제를 덤덤하게 던져주는 영화였다,10,0
kjw1****,2023.03.14. 21:42,10,보면서 많이 울었습니다 실제로 저런 상황에 놓이신 분들의 이야기를 사실적으로 영화에 담아주셨네요 많은 사람들이 그분들의 이야기에 공감하게 할 수 있는 영화였던 것 같습니다,10,0
psj0****,2023.03.13. 22:33,10,반박할 수 없는 올해 최고의 영화....,10,0
k2p2****,2023.03.13. 13:47,10,배우들의 연기가 정말 좋았습니다~!!가족들의 사랑을 느낄 수 있는 좋은 영화입니다~^^ 꼭 꼭 추천합니다 ㅎㅎ,10,0
jin5****,2023.03.13. 12:48,10,간만에 눈물나는 영화를 본 것 같아요.. ㅠㅇㅠ 가족들과 함께 보기 좋은 영화입니다~!!할머님 할아버님 모셔서 다시 한 번 보러 와야겠어요~^^ 지금 이 순간부터 가족들을 사랑해야 한다는 마음이 뿜뿜 드네요♡,10,0
prim****,2023.03.14. 14:11,10,생각보다 너무나 자연스럽게 눈물이 났다...연기가 너무 좋았다.,9,0
wu20****,2023.03.10. 07:35,7,약간의 과한 설정들이 있었으나 주연 배우들의 목소리가 너무나 좋았다,9,0
dydw****,2023.03.16. 21:03,7,"이젠 치매는 개인, 가족의 문제가 아니라 사회 전체가 고민해야 하는 문제다.",8,0
hote****,2023.03.14. 07:59,9,매력적인소재 흥미로운이야기!,8,0
sysi****,2023.03.26. 03:08,8,모든 부모들을 위해,3,1
