"writer","date","comment"
"ge**zo","2024.08.16","감사합니다 재미있었습니다,"
"sn**ekg27","2024.07.08","소설보다 임팩트가 약했어요:;;"
"원멍","2024.07.02","킬링타임용으로 괜찮은 영화"
"녹차초코쿠키","2024.06.17","내용이 어지럽고 이해가어려웠는데 연기는좋네요"
"朴正勳 !","2024.05.19","기대 이상으로 재밌었습니다.
좋았어요~"
"희지우성짱","2023.12.31","설경구 배우 연기는 정말 대단해요"
"(о´∀`о)  ☆S☆","2023.11.01","배우님 연기 완전 좋았어요."
"나롱쿠루루","2023.08.20","배우님의 연기에 놀랬던 기억이 선명해요"
"NHK74","2023.06.01","재밌게 잘 봤습니다,,"
"티켬태겸","2023.05.31","긴장하게되서 잘봤습니다"
"52521","2023.05.25","10자채우기용10자채우기용"
"db**s031226","2023.05.03","잘봤어요 잘봤어요 잘봤어요"
"돈데크만","2023.04.23","스토리도 연기도 좋았는데
뭔가 허전한..."
"홍륨이","2023.02.18","호빵맨 태주❤"
"50**sdom","2023.01.13","설현...하 발음 좀..."
"한정 아저씨","2023.01.09","설경구 살 많이 뺐네요 연기 잘해요"
"co**e96","2023.01.06","워낙 원작이 훌륭해서..! 영화도 재밌게 잘 봤습니다"
"sy**36","2022.12.30","재미나게 잘봤습니다."
"Blue 문","2022.12.30","살인자의 기억법 은 언제봐도 소름 돋네요"
"몽♡","2022.12.27","조금 햇갈렸지만 배우분들 연기에 녹아 긴장감 가지고 봤어요"
"ke**y333","2022.11.12","긴장감 있게 잘봤어요."
"고닝곤듀","2022.11.06","신기한 조합이지만 생각보다 잘 어울려서 놀람 
설경구님 연기 진짜 대박임"
"sj**276","2022.10.17","재밌어요재밌어요재밌어요"
"지콩밍","2022.09.26","존나 무서운대 처 자가지고 휸자 개무서웠음"
"cd**ljy","2022.09.25","책이 낫다 김남길 뛸때 개 무서움 내가 설현이었으면 진짜 무서워서 존나 달릴긋"
"기수♥유진","2022.09.16","역시 경구형은 연기를 잘해~~"
"강가딘791","2022.08.29","재미 있게 보았습니다."
"7h9쟁2","2022.08.22","스토리와 연기
완벽!"
"☆푸른하늘☆","2022.08.20","정말 재밌었어요 쌍엄지척척"
"넥벤틀리","2022.08.15","진실같은 연기력. .."
"crystal","2022.08.08","생각보다 별로였고 내용이 좀... 그러함"
"kh**2079","2022.06.14","이 소설의 끝을 다시 써보려 해"
"tk**ls12dudd","2022.05.04","뭔가 잔인하지만 그래도 배우가 연기를 너무 잘해요"
"cr**xnize","2022.02.10","좋았어요 ^^좋았어요 ^^"
"9280앙마","2022.02.06","설경구 대한민국 최고의명배우"
"내사랑미","2022.01.11","설경구 역시 믿고보는 배우
연기가 좋네여~~"
"비비BB","2021.10.28","살인자의 기억법 범죄 스릴러 느와르 영화"
"do**902","2021.10.28","저는 좋게 봤습니다 재밌어요"
"ys**lim","2021.10.13","어렵다 어려워... 어려워~~"
"LGV4","2021.10.05","정말 특이한 영화였어요 추천합니다"
"명탐정짱구","2021.08.04","볼만했어요 스릴러를 좋아서"
"딩글댕글","2021.07.23","무서웠고 결말 모른채로 봐서 후반부에 정말 재밌게 봤어요"
"co**001","2021.07.18","쏘쏘했다…….. 생각보다 재미는…."
"뽀롱뽀롱외계인","2021.06.22","신기하게 본지 오래됬어요"
"db**lswjd613","2021.05.23","보면서도 무섭고 보고 집가면서도 무섭고 잠자기 전에도 무서웠던 영화입니당"
"rj**np","2021.03.21","여배우가 영화 다 보고 검색하다 설현인거 알았네요 재밌게 봐서 바로 책도 구매했어요"
"영화조하!","2021.03.14","재미나게 잘 보았습니다"
"Mr.몽키","2021.03.07","너무 재미있게 잘봤습니다"
"밍듀밍듀","2020.12.31","볼만했어요 살짝 찝찝하지만"
"걸음걸이","2020.11.11","잘 만든 구성, 영화 잘 만들었다는 생각이 든 영화"
"tk**hd6301","2020.10.25","재밌게 잘봤어요~~^^ 좀 무서웠음"
"kimdobby","2020.10.02","저한테는 좀 어려운 영화였네요 그치만 설경구 배우님 연기는 말해 뭐해요"
"so**ng144","2020.08.23","진짜 재미있었고 스릴넘치네요"
"h z","2020.08.23","이때까지 본 설경구 연기 중 단연 최고"
"현지맘쑤","2020.08.15","흥미진진 역시 배우들의 신들린연기"
"쭈뽕","2020.07.25","연기는정말잘하네요딸램은좀더연기연습이필요할듯"
"물한방울","2020.07.15","역시 믿고 보는 배우 ...!!"
"거쓰","2020.06.28","역시.. 연기신 ????"
"movie ON","2020.06.23","약간 여러가지 측면에서 해석 가능한 영화라 개인적으로 좋았습니다"
"교재교구","2020.06.17","관람 잘했어요.  좋은 영화 였어요."
"su**gun9","2020.05.21","완전잔인해어떻게이럴수있지나싶어"
"ta**by83","2020.03.30","좋았어요 재밌어요 굿굿"
"mi**o97","2020.03.26","잼나요 ㅋㅋㅋㅋ  굿이네요"
"maybee","2020.03.05","생각보다 그저 그랬던 영화."
"so**ng215","2020.03.05","ㅎㅎ 잔인해요.. 내용이기억이ㅜ잘안나요"
"cl**kworld89","2020.02.29","설경구와 김남길의 연기력 최고"
"바리공주","2020.02.18","약간 아쉽지만 그래도 훌륭한?"
"so**135710","2020.02.17","좀무서웠지만ㅠ그래도 스토리는좋았어요
재밌었어요"
"u2**1320","2020.02.10","예전에는 연쇄살인범이었지만 지금은 알츠하이머에 걸린 병수. 우연히 접촉사고로 만나게 된 남자 태주에게서 자신과 같은 눈빛을 발견하고 그 역시 살인자임을 직감한다. 병수는 경찰에 그를 연쇄살인범으로 신고하지만 태주가 그 경찰이었고, 아무도 병수의 말을"
"주연박","2020.02.08","이런 영화는 또 나와야해요"
"cr**ykorn","2020.01.30","정말이지 최고였어요@@@@"
"dh**lz","2020.01.27","잼떠요 스릴잇고요 오져요"
"si**7244","2020.01.23","설현.설경구
연기력 대박이에요"
"야채피자","2020.01.17","재밌었다 설현 연기도 나쁘지 않음"
"막둥이00","2020.01.04","제가 본것이 아니라 평가하기 힘드네요"
"스마일뇽뇽","2019.12.29","연기력 정말 대박이에요!!"
"챈또리","2019.12.29","좋았어료!!!!ㅎㅎ"
"22422","2019.12.22","설현 연기가 좋았어요 근디 무서움"
"덕이ll","2019.12.19","으시시..재밌게봤습니다~^^"
"제리_","2019.12.16","설경구 연기잘하네요..."
"sk**udtls","2019.12.08","예측이 안 가서 재밌게 봤어요"
"탕근","2019.12.01","이거 보고 감독판 보고 벌벌 떨었음 ㅜㅜ 두편 볼 시간 없으시다면 감독판만 봐도 될듯"
"임금님","2019.11.26","설경구의 연기가 돋보인 영화였음"
"똘똘이!!","2019.11.16","스릴만점  다시보고싶네요"
"20**soeun","2019.11.13","개인적으로 추리 소설이나 영화를 정말 좋아하는데 원작과는 다른 매력이었습니다"
"애나만의 짜세녀","2019.11.08","배우들 연기.. 숨 참고 봣긔"
"선순환","2019.11.05","나쁘지는 않았다. 별로예요.까지는 아니고!"
"숨숨이2","2019.11.02","설경구 연기 좋았습니다."
"JJOnE","2019.10.28","그냥저냥 무난한 영화
설경구 연기는 늘 과장된 느낌"
"iv**en","2019.10.15","설경구님의 소름돋는 연기.."
"킴지_","2019.10.13","설현 ?ㅋㅋ  웃기지유 경구님 연기 소름"
"야생 너굴이","2019.10.12","연기최고 설경구 그리고 김남길"
"행보칸개구리","2019.10.12","설경구의 연기력은..깔수없다"
"ss**gmin22","2019.10.09","설현 연기 좀 안 했으면..."
"db**nqls33","2019.10.08","개노잼덩어리 ㅋㅋㅋ돈 아까움"
"mc**1ow","2019.10.07","재미있어요!!@@!!"
"아롱재롱","2019.10.05","설경구의 연기는 좋았다."
"bt**mb95","2019.10.04","잔인했어요~배우들의 연기에 푹 빠졌어요"
"설쑤","2019.09.27","설경구 연기 너무 좋아요"
"ho**enjell","2019.09.25","약간 지루한면이 있긴했으나 배우들 연기는좋았어요"
"클라스 박","2019.09.25","굿~입니다요~ 적극추천요~"
"se**phs78","2019.09.15","원작인김영하작가좋아해서보게되었는데배우들역시멋지네요"
"da**e5629","2019.09.14","완전 재밌어요! 연기가 대박이에요"
"김김기태","2019.09.13","책으로 보고 봐서 재미없었어요"
"눈빛99","2019.09.13","살인자의 기억법 정말 재미있었어요"
"혜연연","2019.09.05","이거는 스토리도 스토린데 연기가 살렸다"
"salllyy","2019.09.04","생각보다 재밌었어요 :)"
"삼동아범","2019.08.31","소설가 김영하를 알게 되었고 책도 구입했지만 여전히 포장도 뜯지 않았다. 게으름을 무엇으로 채우리..ㅋ"
"jaeda","2019.08.28","좋아요 재밌었어요 연기자들도"
"프랑스자수","2019.08.25","주인공의  연기가  대박이에요"
"하늘색물결","2019.08.22","설경구 연기대박!! 스토리도 나쁘지 않아용"
"엑션광","2019.08.18","탁월한 선택 강력 추천합니다"
"♡쑤기♡","2019.08.17","아쥬 잘봤어요 재미있게^^"
"re**ni6","2019.08.17","좋은상품입니다좋은상품입니다"
"k쪼이","2019.08.16","너무너무 감사해요 ??~~~"
"홍시","2019.08.14","연기가 자연스럽지않고  과장되어있어 몰입이 안됩니다"
"jj**619kth","2019.08.12","재미도있고 .스릴도있는데.,왠지 끝이 찜찜한건 왜지?"
"ni**tkun","2019.08.12","너무 재미있게 봤던 영화 입니다"
"ni**ksk0211","2019.08.10","이걸  혼자봤네...
재미는 있었던듯"
"속아파","2019.08.09","설경구의 연기만으로도 어느정도 먹고 드러간다잉"
"그린티","2019.08.05","역시 믿고 보는 설경구~~~ 연기 넘 잘해 시간 가는 줄 몰랐네요"
"mi**u6835","2019.08.02","재밌게 잘봤습니다 좋아요"
"pa**o96","2019.08.02","살인자의 기억법을 봤는데 그사람은 진짜로  죽여야 할사람만 죽인거라서 엄연히 보면 나쁜 사람은 아니란 생각이 들어요"
"wj**us2182","2019.08.02","다시한번 보고싶은 영화였네요"
"복숭아 최고","2019.07.31","연기 맛집 진짜 연기를 너무 잘하셔서 몰입도 최상이였어요 퓨ㅠㅠ"
"db**dals1234","2019.07.26","약간 애매모호한 이도저도아닌영화"
"다이아몬드비","2019.07.23","연기는 최고, 그냥 전 보통, 제 스퇄이 아닐뿐"
"cw**809","2019.07.20","스릴 있는영화~끝까지 긴장하며 재미있게 봤어요~~~"
"yj**469","2019.07.19","재밌게 잘 보았습니다 ^^"
"혜윰_00","2019.07.12","진짜 연기가 대박입니다 소름돋았네요"
"ch**ock22","2019.07.08","책으로 보고 영화봤어요. 잼있었어요"
"hy**949670","2019.07.07","재미있네요~~~~^_^"
"ag**n8015","2019.07.01","재밌어요~~~ㅎㅎㅎㅎ"
"리제 클로렌스","2019.07.01","오 설경구~~믿고보는 배우 역시 말이 필요없네요"
"FaLiebe","2019.06.29","9월 8일 살인자의 기억법"
"고은님","2019.06.26","굿 재밌어요 서름돋아여..."
"mam'","2019.06.26","설경구의 새로운 느낌을 받은영화"
"ho**kd44","2019.06.25","엄마아빠 다데꼬갓는데 민망할정도로노잼이엿음.."
"자유로운  영혼","2019.06.24","좋아요 참 재미있게 보았네요"
"ji**on1924","2019.06.21","좋았어용 넘기대해서 약간은 밋밋"
"di**lswl32","2019.06.16","좋아하는 배우가 나와요"
"몽이29","2019.06.16","별로 그닥 재미는 없고 지루했음"
"영화...","2019.06.13","재밋어요 이런영화좋아요"
"ho**4163","2019.06.13","분위기 잘 잡은듯 영화는 그저..그냥..그랬..."
