username,date,rating,review,likes,dislikes
hana****,2019.04.03. 16:00,9,"이런 영화 돈 안되는 거 알면서도 만든 제작자에 박수를,,,",416,15
taij****,2019.04.03. 11:47,8,남들 눈엔 노망이라도. 나에게는 로망이기를.,376,16
hkjj****,2019.04.03. 09:25,9,상영관이 생각보다 넘 없네요..볼만한 영화인거 같은데,204,19
stop****,2019.04.03. 10:19,10,억지 감동이 아닌 영화라 너무 좋았고 가족끼리 보기 딱 좋네요. 많은 생각을 하게 만드는 영화 같습니다 추천합니다.,184,5
hsh1****,2019.04.03. 09:52,10,치매가 얼마나 무서운 질병인지 알려주고 부모님의 소중함과 효도를 해야겠다라는 생각이 깊게 들게 해주는 영화인거같습니다.한번 적어도 혼자서라도 보거나 가족분들과 보러가는것도 좋을꺼같습니다.,143,5
cana****,2019.04.03. 13:41,10,이순재 정영숙님 인생드라마 명품연기 감사합니다,126,8
bsu1****,2019.04.03. 09:39,8,"가슴 아프고 부모님을 돌아볼 영화,,",99,4
mics****,2019.04.03. 11:07,10,결혼한 남자분이 보시면 배우자를 다시 생각하게 만드는 영화입니다~,104,13
gceh****,2019.04.03. 13:12,10,엉엉 소리내어 울고 싶었던 영화  아직도 가슴이 먹먹,79,3
litt****,2019.04.03. 13:39,10,보다가 너무 많이 움 ㅠ ㅠ,80,7
ciel****,2019.04.03. 11:35,9,어머니와 함께 봤습니다. 울고 웃으며 많은 생각이 들었어요. 극장에 부모님 모시고 가서 보세요. 참 좋은 영화입니다.,72,6
duso****,2019.04.05. 09:22,10,로망을 보면서 나의 앞날을 보는것 같아서 울었고~~치매로 며칠전에 돌아가신 울 엄마 생각이 나서 울었고~~마음과 코끝이 찡하네용^넘 좋았어요^^,60,5
wlsu****,2019.04.03. 13:33,10,완전 감동적이네요다시한번 삶을 돌아보게 되는 영화같아요이게 바로 명작 아니겠습니까ㅠㅠ,60,5
