Feature,Importance,Contribution Range,Contribution Change (Linear Regression),Contbituion Change (Quantile Regression),Feature,Importance,Contribution Range,Contribution Change (Linear Regression),Contbituion Change (Quantile Regression)
학습 지향 평균,0.25966990641336596,1.6450801117468,5.655905414156008,7.226810261315672,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1,0.20094353050295263,0.8829697206379089,-0.8419775099799413,-0.5600674071783289
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,-0.11362162645141982,1.546119790257619,4.7431760945935135,-0.1448777133341546,DQ3. 몇 명과 함께 지내고 있습니까?__명,0.16179053479334735,0.8355148074830023,-1.4872576306979148,-1.2252072629099364
문A3-2) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__심리적 만족 및 행복감 증대,0.26344040654695106,1.3202227773186879,1.9850093943099258,1.4445361688852691,취약계층,0.1068077243510447,0.5082960168142151,-0.0948944710541707,0.05315565449580132
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,-0.1453172223498761,1.3187492911426475,2.197319867609556,0.7007007914150105,문D1-1) 귀하께서는 평생교육 프로그램 관련 정보를 어떻게 얻으셨습니까? (중복응답)1,-0.06157903818964603,0.4570175973723267,-0.6881104078801432,0.3813027417098342
DQ6. 귀하께서는 건강에 자신 있습니까?_1,-0.26886030746912704,1.2034484256030777,1.2078178973166187,1.2078178973166187,문A1-2) 참여한 프로그램 수는 몇개입니까? (3) 직업능력향상교육,-0.034760904885820926,0.2914558048933749,-0.40263104936389804,-0.17073230204911527
DQ6. 귀하께서는 건강에 자신 있습니까?_2,-0.1656515993067418,1.1080513694466065,1.1080513694466005,1.1080513694466005,문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,0.017102814898893308,0.2551509791138431,-1.1348066417486313,-0.1460925756250248
문D1) 귀하께서는 작년에 평생교육 프로그램 관련 정보를 접한 적이 있습니까?,-0.030829815269715295,0.9999687619190251,1.0316791171481163,1.0316791171481163,문A2-1) 프로그램 유형__(3)직업능력향상교육_1,0.02898368240615741,0.22131661174017841,-0.28188296524121054,-0.4441124898467621
문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,-0.21338179568170507,0.9439497639921381,1.6579689267641218,0.0,문A2-6) 연간참여시간__(3)직업능력향상교육_1,0.038623551379320734,0.2005027420694179,-1.3940021820716975,-0.1882554512576317
직업관련 목표지향 평균,-0.0048620574208294055,0.9142922740756623,3.149517353865439,1.9417653167428484,문A1-2) 참여한 프로그램 수는 몇개입니까? (2) 성인기초 및 문자해득교육(문해교육),-0.02428872875837452,0.194526571337649,-0.20595683567233738,0.0
지역규모별,-0.22018980866185814,0.8560648200911991,0.9181867455361009,-0.027407150796742028,문A3-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,-0.03084799973636133,0.15612945232874118,-0.043681138362870485,0.2814612869093157
