"writer","date","comment"
"비냉비냉","2024.10.19","오민애 배우 연기bbb"
"ja**co","2024.10.18","재미있게 잘 봤음 ~~~"
"se**rai","2024.10.15","딸에 대하여 딸에 대하여 딸에 대하여"
"솜이홍튜브","2024.10.14","딸에 대한이야기 GV영상 솜이홍튜브"
"a3**50212","2024.10.14","많은 생각을 하게 하면서도 따뜻한 시선이 느껴지는 좋은 영화"
"무극","2024.10.13","딸이 틀림이 아니라 다르다는 사실을 어머니가 받아 들이기 까지의 현실 이야기를 잔잔하게 펼쳐내는데 이 과정에서 우리가 외면할 수도 있는 현실의 어두운 이야기도 필연적으로 마주칠 수 밖에 영화."
"노닉네임하고싶어요","2024.10.13","연기력과 스토리 너무 좋았습니다"
"중경삼림","2024.10.13","내용도 정말 좋았고 배우분들의 연기도 진짜 좋았는데 특히 오민애 배우님의 연기 진짜 좋았습니다. 정말 응원하고 싶은 작품입니다."
"영화힐링타임","2024.10.12","평범하고 소소한 이야기"
"4월의라일락","2024.10.11","소설을 재미있게 잘 읽었었는데 
 영화로 나와서 반가웠어요.
배우들 연기도 참 좋았구요
조용하게 감상하며 좋은 시간 보냈습니다"
"sl**p6932","2024.10.10","영화 보고 좋았어요"
"monsoon","2024.10.10","엄마, 딸 이 관계가  너무 피곤하다.
나는  엄마는 되지 못하더라도.. 결국 딸이란
가족 구성원에서  벗어날수 없다."
"키아썸","2024.10.10","좋아요~~좋았어요~~~"
"빽뚜루둡둡","2024.10.05","조용한 분위기의 조용한영화"
"설뺌","2024.10.04","모든 인간의 살아냄에 대하여"
"용수짱호2ㅌ","2024.10.01","너무좋아요재미있어요"
"qa**sx150","2024.09.30","배우들의 연기가 좋았다"
"lo**212","2024.09.30","괜찮아요 잘 보았습니다"
"ki**neo","2024.09.29","후반부가 좀 아쉽지만 독립영화로 굿"
"blu_ch__s_","2024.09.29","영화 너무 잘 봤습니다."
"19**korea","2024.09.29","재밌게 잘 봤습니다 ㅎㅎ"
"pr**phor","2024.09.29","21세기의 사회가 만들어낸 새로운 형태의 대가족의 등장과, 그것을 만든 사회 조차도 그런 새로운 대가족을 쉽게 받아들이지 못하는 21세기의 사회적 현실"
"00**lee","2024.09.29","재밌게 잘 봤습니다 ㅎㅎ"
"bn**458","2024.09.29","재밌게 잘 봤습니다 ㅎㅎ"
"ha**un","2024.09.28","가슴이 뭉클해지는 따뜻한 영화입니다"
"ma**1009","2024.09.28","재미있게 잘 보았습니다"
"ko**j1225","2024.09.28","배우님들 연기가 너무 좋았습니다. 동성애가 소제로 나오지만 불편한 장면도 없고 재밌습니다"
"ps**1218","2024.09.27","잘봤습니다 잘봤습니다"
"k1**0gj","2024.09.27","잘봤습니다 잘봤습니다"
"pu**a0","2024.09.26","많은 생각이 드는 영화입니다."
"모리곰","2024.09.26","엄마에게서 지나간 시간들이 자꾸 보여 힘들었다.."
"ok**m1005","2024.09.26","영화는 좋았지만 내내 불편한 마음이 남아있다."
"포동이♡","2024.09.25","배우들 연기가 너무 좋았어요 삽입된 음악도 좋았습미당"
"Jay08","2024.09.25","가족 특히 모녀에 대한 생각을 많이하게 되었네요. 가족을 사랑할수록 너그러움이 더 없어져서 마음 아팠습니다."
