username,date,rating,review,likes,dislikes
hdo0****,2024.09.05. 23:44,10,담백한 전개임에도 몰두하면서 보게될 정도로 배우들의 연기력이 뛰어났음. 전하고자하는 메시지가 분명했고 미숙한 사람들이 느낄 불편한 요소를 신랄하게 드러내는게 맘에 든다,40,4
dldd****,2024.09.07. 14:04,10,’할 수 있는 게 같이 있는 것뿐이다‘,29,0
kjmg****,2024.09.05. 21:11,7,네 배우의 훌륭한 연기. 올해 가장 만족스러운 한국영화중 하나라고 생각된다,32,3
dbwl****,2024.09.05. 22:46,10,가족의 진짜 의미에 대하여,26,2
free****,2024.09.07. 02:46,10,대한민국 약자 혐오에 대한 현주소와 시선들....올해 본  한국영화중 제일 여운이 깊었어요,25,3
nong****,2024.09.06. 17:50,8,어짜피 다함께 늙어가는 처지에 우리가 서로를 이해 해야하지 않겠어,18,1
harr****,2024.09.06. 10:43,8,딸에 대한 걱정은 본인이 일하는 요양원의 한 여성을 통해서 느낀 노후에 대한 불안함에 기인한 것이었다는 것을 뒤늦게 딸의 연인에게 말하기까지가 설득력 있게 다가왔던 영화다. 또한 감독이 이 이야기를 세심하게 바라보고 있다는 것이 스크린 너머로 느껴졌다. 오랜만에 만나는 수작 독립장편 영화.,16,1
dugk****,2024.09.10. 21:56,10,웰메이드 영화한국 영화의 미래가 밝다,10,0
shha****,2024.09.10. 11:40,10,그린이랑 레인이 행복했으면 좋겠어요나도 그랬으면 좋겠어,8,0
clou****,2024.09.05. 17:37,8,두 딸은 비슷한 삶을 살고 있다,8,1
hihe****,2024.09.06. 22:11,8,"네 주연의 연기가 모두 좋았지만 오민애 배우의 연기가 특히나 인상깊었습니다,, 올해 나온 영화들에서 각각의 삶을 정말 그 인물이 된 것처럼 표현한 모습이 감탄스럽기만 하네요.",8,2
dpsd****,2024.09.18. 18:53,10,어차피 결국 다 외롭다. 행복한 순간은 찰나이다.,4,0
hyo5****,2024.09.18. 15:08,6,딸에 대하여 말하는 엄마에 대하여가 아닐까.엄마는 자신과 다른 딸에 대해 얘기하는 것 같지만 딸은 엄마를 매우 닮아있다.,4,0
hyj0****,2024.09.10. 09:14,10,"사랑, 그 서글프고 아름다운 것에 관하여.",4,0
soru****,2024.09.11. 22:12,8,편견은 오해에서 비롯되는 것,3,0
hhk6****,2024.09.07. 06:37,8,마지막컷에서 큰 울림이...!!,4,1
wjy2****,2024.10.15. 17:25,8,좋은 영화 잘 봤습니다!,2,0
tory****,2024.10.11. 12:08,7,뭉클했다노인과 동성애 사회문제를 다룬 좋은 영화,2,0
zinj****,2024.10.05. 23:50,9,주연 조연 할것없이 영화속 사람들 모두 명연기를 펼쳤다. 개인적으로 요양병원 관리자역이었던 과장과 여성 직원분도 너무나 현실적으로 진솔하게 그러면서 적나라하게 연기를 잘하고주요인물 네분의 연기는 말할필요가 없다.여성으로써 더 가슴아팠고 딸이 혼자가될까봐 두려워하는 엄마의 절제된 연기에 나는...,2,0
grac****,2024.09.22. 00:38,10,엄마와 딸의 관계를 통해 부조리한 세상을 어떻게 바라봐야 할지 생각하게 된다.,2,0
ys42****,2024.09.13. 10:03,8,극 초반 딸이 빌런이구나 짐작하게 됐다.중반에 이르니 서로 있는 위치가 달라 서로를 이해한다는게 쉽지 않겠구나.극 후반 완전한 이해는 어렵겠지만 노력을 한다는거..인생의 후반부를 어떻게 살아야 할지에 대해 진지하게 고민하게 된다.,1,0
holl****,2024.09.10. 21:59,7,"당장 나만 해도 극 중 제희를 향한 엄마의 행동을 응원하면서도 그래도 우리 엄만 안 그러길, 굳이 힘든 길 안 가길 바라게 되더라.",1,0
snow****,2024.09.10. 20:57,10,딸에 대하여 스토리가 살짝 아쉽지만 연기는 볼만했어요,1,0
ohso****,2024.09.10. 18:34,8,정보 없음,1,0
dydw****,2024.09.10. 17:52,7,처음엔 낯설고 싫고 불편한데 겪다보면 익숙해지는것 같애. 모질거나 나쁜사람이 아니라면 같이 산다는건 쏘쏘,1,0
bang****,2024.09.08. 21:44,10,배우들의 연기도 좋았고 영화도 재미있었습니다~,1,0
cyh8****,2024.09.08. 04:43,8,엄마를 완벽하게 투영하고 있는 딸에 대하여,1,0
real****,2024.09.15. 08:34,10,어려운 상황이지만 그래도 한 발짝씩 앞으로 나아가고 있음에 작은 위로를 준다.,2,1
2mnc****,2024.09.14. 00:15,6,괜찮다는 후기를 접한 상태에서 어느 정도 기대감을 가지고 관람해서 그런가 영화가 솔직히 크게 다가오지 않았습니다. ㅠㅠ,2,1
wu20****,2024.09.12. 10:38,8,딸에 대한 이야기라기 보다는 삶 자체에 대한 이야기,2,1
goes****,2024.09.04. 21:38,7,영화 좋아요 극장에서 보세요,2,1
john****,2024.10.18. 16:59,6,살짝 지루했는데 어머니와 딸간의 이야기 나쁘지않음,0,0
rmq1****,2024.10.07. 15:01,7,엄마와 딸에 대한 것뿐만 아니라 진짜 가족이라는 집단에 대해 많은 것을 생각하게 해준다. 주조연 가리지않고 연기도 좋았고 엔딩무렵에는 울컥하게 되는 게 있음... 엄마와 딸은 사고방식이 무척이나 다른데도 살아가는 모습은 닮아있다.,0,0
coli****,2024.09.27. 21:28,10,이토록 공감된 영화는 처음이었어요하나부터 열까지 다 좋았습니다응원할게요,0,0
deso****,2024.09.26. 21:49,8,정말 멋있는 영화,0,0
roni****,2024.09.23. 15:52,10,배우들 연기 파티 무수히 많은 생각을 하게 해주는 아주 좋은 영화,0,0
tutu****,2024.09.22. 14:06,7,정말로 양로원과 어린이집은 비슷한 점이 많군요. 엄마와 딸도 비슷한 점이 많구요...,0,0
dear****,2024.09.22. 03:06,8,"배우들의 연기가 정말 좋았고 엄마와 제희, 그린과 레인 모두가 행복하길 빌게되는 영화.",0,0
wjdt****,2024.09.21. 22:19,10,같이 사는 일이 누군가에겐 처절한 생존이 되고 누군가는 누구나가 되기도 한다,0,0
