"url","username","reviewDate","year","review","rating","likes"
"https://pedia.watcha.com/ko-KR/comments/jxZQRpk4Yr2bq","재원","5년 전",2019,"진정 사랑하는 사람과 생의 끝자락을  함께할 수 있다면, 그것만으로도 이번 생은  충분히 아름다웠노라 자부할 수 있겠다. ps. 마치 정말 첫사랑에 빠진 듯이 천진난만한 이순재 옹을 보니,  잠들었던 애정의 세포가 스멀스멀 깨어나는 기분.","3.5","115"
"https://pedia.watcha.com/ko-KR/comments/6PzQ4AADqEqVk","이동진 평론가","10년 전",2014,"오차 없이 정확한 이순재.","3.0","92"
"https://pedia.watcha.com/ko-KR/comments/8kXQeKXVe2P6V","вσяα ʝυ","11년 전",2013,"영화포스터엔 폭풍웃음, 뜨거운눈물로 소개된 영화. 근데 그만큼 웃기고 감동적인 영화. 아름다운 이야기. 나중에 함께 늙어갈 사람과 꼭 함께 보고싶은 영화.","5.0","90"
"https://pedia.watcha.com/ko-KR/comments/j7kQzYN6qMl4J","오로라","11년 전",2013,"러닝타임동안 날 몇 번이나 울린 영화. 솔직히 그대를 사랑합니다.라고 대사하는게 엄청 이상할 줄 알았는데 완전히 기우였음. 순재 할아버지의 연기력은 어마무시했다.","5.0","69"
"https://pedia.watcha.com/ko-KR/comments/boY2l18lJoMWO","신상훈남","2개월 전",2024,"나의 노년에도 저런 아름다운 눈이 내렸으면 좋겠다  이 영화는 포근한 영상미와 마음을 치유해주는 음악으로 굉장히 좋은 인상을 남긴 영화지만, 내용 자체는 사실 굉장히 작위적이고 유치하기까지 했다. 장르에서부터 예상 가능한 '신파' 요소도 곳곳에 있으며 대사는 오글거릴 정도까진 아니었지만 다음에 나올 멘트가 예상 가능한 범주 안에 있어 대사전달을 통한 흥미는 부족한 편이었다. 이 영화는 스토리보다는 캐릭터 위주로 전개되는지라 대사의 비중이 굉장히 높은 편인데 그 점을 제대로 살려내지 못 한 작품인 것 같다. 이 외에도 전체적으로 식상하다는 느낌을 여실히 받았다.  ""어제 뭐 했어?""  ""나도 내가 뭘 하는지 잘 모르겠어요. 하루종일 정신이 딴 데 팔려 있어서. 꼭 눈을 뜨고 꿈꾸는 거 같아요.""  이 영화에서 가장 아쉬웠던 점은 바로 해보기도 전에 지레 겁을 먹는 송이뿐의 감정선이었다. 자신에게 처음으로 케이크를 건네주고 이름까지 만들어준 사람을 위해서 할 수 있는 일을 생각한다기보다는 자신이 처음 겪은 사랑으로 상처받기 싫어서 고향으로 떠난다는 영화적 설정이 갑작스러워서 설득이 하나도 되질 않았고 때문에 나름 수월했던 감정이입도 이 지점에서 딱 멈추고야 말았다. 물론 이런 사건이 있기에 김만석(이순재)의 마지막 상상과 미소로 아름답게 영화가 끝맺음될 수 있었던 건 맞지만, 그 빌드업이 엉성하게 느껴진 것은 사실이다.  ""이딴 거나 먹으려고 부른 거 아니야.""  ""이거 한번 드셔보세요.""  ""꼬라지는 이래도 맛은 있네""  뭘 먹는 게 그렇게 중요할까? 누구랑 먹는지에 따라 그 음식의 풍미가 변하곤 한다. 더군다나 좋아하는 사람이 한 입 먹어보라며 올려주는 반찬이 맛 없을 리는 없다. 사랑이란 그런 거다. 나이불문하고, 누구에게나 찾아올 수 있으며, 한 입 맛보게 되면 저절로 미소가 지어지는 것. 추울 땐 꼭 붙어있게 되고, 아플 땐 그 사람도 아프진 않을까 걱정하게 되며, 슬픈 일이 생기면 함께 그 슬픔을 나눌 수 있게 되고, 껴안고만 있어도 다른 건 일절 생각나지 않고 온몸에 행복 바이러스가 퍼지게 되는 것. 난 예전부터 지금까지 사랑만이 인간이 가지고 있는 가장 강력한 힘이라고 생각하고 있다. 그리고 이 작품을 봄으로써 더욱 더 확신이 되어버렸다.  [이 영화의 명장면]  1. 저렇게 늙고 싶다는 염원  늙으면 자연스레 생기는 주름살, 검버섯, 온몸의 통증, 이제는 할 수 없다는 무기력함 같은 것들. 인간은 나이를 먹어가며 이것들에 초연하게 된다. 주름살이 생겼다고 해서 좌절하거나 그러진 않는다는 말이다. 하지만 마음 한 켠엔, 그럼에도 아름답게 늙고 싶다는 사소한 욕구가 있다. 그것이 외모와 결부되는 것은 아니다. 단지 그것이 제대로 된 일상생활을 못 하는 사람을 옆에 두고 있는 것일지라도 손을 꼬옥 잡고, 사랑을 느끼고 있다면, 그것이야말로 아름다운 늙음이 아닐까. 그 모습을 보고 눈물을 흘리는 이뿐을 보며 난 많은 생각이 들었다. 그리고 이내 동화된다. 나도 저렇게 늙고 싶다고. 나도 저렇게 누군가를 업어줄 수 있었으면 좋겠다.  ""참말로 고맙습니데이.""  ""아, 그놈의 인사는 안 해도 된다니까. 얼른 가라고, 얼른 가.""  2. 생일 파티  상처가 많은 사람일수록 호의에 예민하다. 누군가에게는 당연히 주고 받던 선물이, 그 사람에게는 영원히 잊지 못 할 소중한 순간이 될 수도 있는 것이다. 물론 만석이 그걸 계산해서 잘 보이려고 그런 것은 아니다. 그저 그녀가 가장 행복했으면 좋겠는 순수한 마음. 서프라이즈로 준비한 케이크보다, 그것을 보고 흘리는 이뿐의 눈물보다, 그 순수한 마음이 그녀의 마음을 뒤흔드는 소중한 것이 아니었을까 싶다. 내가 이래서 사람들의 생일을 챙겨주는 것을 좋아한다. 생일축하를 핑계로, 그 사람을 세상에서 제일 행복하게 만들 수 있는 유일한 날이기 때문이다.  ""그대를 사랑합니다. 이제 불 꺼야지.""  미소 지으며 삶을 마무리할 수 있다는 것 단언컨대 그것이 최고의 사랑이다  “다시 볼 수 있을까?”","2.5","48"
"https://pedia.watcha.com/ko-KR/comments/8kXQeoK7zP2P6","P1","4년 전",2020,"사람의 일생은 누구든 비극으로 끝난다. 결국 흙과 한 줌의 재로 돌아갈테니까","3.5","37"
"https://pedia.watcha.com/ko-KR/comments/xplMdJkmYE4oL","박영서","11년 전",2013,"노년되서 사랑에 빠져봐야겠다.","3.5","34"
"https://pedia.watcha.com/ko-KR/comments/8n92VyP8YnEAJ","김원빈","5년 전",2019,"로맨스,감동 개싫어하는데 보고움 ㅠㅠ 이순재선생님 만수무강하세요","3.5","30"
"https://pedia.watcha.com/ko-KR/comments/lP0E8ono9Qbxg","김빛나","9년 전",2015,"이 영화 이후로 호상이라는 말 안씀","3.0","30"
"https://pedia.watcha.com/ko-KR/comments/j7kQzwzVNEl4J","엄지영","10년 전",2014,"불타오르지 않더라도 온돌같이 뜨뜻한 사랑.","4.0","27"
