,source,target,weight,Category
0,artificial,intelligence,2,medical
1,help,intelligence,1,medical
2,help,identify,2,medical
3,elder,identify,11,medical
4,abuse,elder,376,medical
5,abuse,neglect,128,medical
6,health,neglect,3,medical
7,care,health,35,medical
8,care,encounter,1,medical
9,encounter,potentially,1,medical
10,critical,potentially,1,medical
11,critical,opportunity,1,medical
12,detect,opportunity,1,medical
13,detect,elder,1,medical
14,abuse,initiate,4,medical
15,initiate,intervention,4,medical
16,intervention,unfortunately,1,medical
17,health,unfortunately,1,medical
18,care,providers,20,medical
19,currently,providers,1,medical
20,currently,seldom,1,medical
21,identify,seldom,1,medical
22,abuse,development,1,medical
23,advanced,development,1,medical
24,advanced,data,1,medical
25,analytics,data,1,medical
26,analytics,techniques,1,medical
27,machine,techniques,1,medical
28,learning,machine,4,medical
29,artificial,learning,1,medical
30,intelligence,potential,1,medical
31,dramatically,potential,1,medical
32,dramatically,improve,1,medical
33,elder,improve,1,medical
34,abuse,identification,5,medical
35,health,identification,1,medical
36,care,settings,5,medical
37,medical,understanding,1,medical
38,markers,medical,1,medical
39,elder,markers,1,medical
40,neglect,physical,7,medical
41,examination,physical,6,medical
42,examination,findings,2,medical
43,findings,specific,1,medical
44,foundation,specific,1,medical
45,foundation,knowledge,1,medical
46,important,knowledge,1,medical
47,evaluating,important,1,medical
48,evaluating,potential,1,medical
49,abuse,potential,3,medical
50,abuse,physical,48,medical
51,findings,physical,4,medical
52,findings,older,1,medical
53,adult,older,7,medical
54,adult,standard,1,medical
55,physical,standard,1,medical
56,examination,foundation,1,medical
57,detecting,foundation,1,medical
58,detecting,types,1,medical
59,abuse,types,14,medical
60,abuse,understanding,1,medical
61,traumatic,understanding,1,medical
62,injuries,traumatic,1,medical
63,including,injuries,1,medical
64,including,patterns,1,medical
65,injury,patterns,2,medical
66,important,injury,1,medical
67,health,important,3,medical
68,inclusion,providers,1,medical
69,elder,inclusion,1,medical
70,abuse,differential,1,medical
71,diagnosis,differential,1,medical
72,diagnosis,patient,1,medical
73,care,patient,1,medical
74,care,essential,1,medical
75,essential,possess,1,medical
76,possess,skills,1,medical
77,needed,skills,1,medical
78,needed,piece,1,medical
79,history,piece,1,medical
80,history,including,1,medical
81,functional,including,1,medical
82,capabilities,functional,1,medical
83,capabilities,physical,1,medical
84,armed,findings,1,medical
85,armed,skill,1,medical
86,set,skill,1,medical
87,health,set,1,medical
88,develop,providers,1,medical
89,confidence,develop,1,medical
90,confidence,needed,1,medical
91,identify,needed,3,medical
92,identify,intervene,1,medical
93,cases,intervene,2,medical
94,cases,elder,9,medical
95,neglect,older,12,medical
96,adults,older,80,medical
97,adults,brief,1,medical
98,brief,overview,1,medical
99,abuse,overview,1,medical
100,adults,pervasive,1,medical
101,global,pervasive,1,medical
102,global,social,1,medical
103,issue,social,2,medical
104,issue,resulting,1,medical
105,harm,resulting,1,medical
106,harm,vulnerable,1,medical
107,population,vulnerable,5,medical
108,population,rapid,1,medical
109,increase,rapid,1,medical
110,increase,number,1,medical
111,dependent,number,1,medical
112,adults,dependent,1,medical
113,adults,elder,2,medical
114,likely,neglect,1,medical
115,likely,pervasive,1,medical
116,pervasive,recent,1,medical
117,recent,years,1,medical
118,shown,years,1,medical
119,improved,shown,1,medical
120,improved,research,1,medical
121,methodology,research,3,medical
122,healthcare,methodology,1,medical
123,healthcare,legislative,1,medical
124,legislative,responses,1,medical
125,improved,responses,1,medical
126,improved,understanding,3,medical
127,narrowed,understanding,1,medical
128,definitions,narrowed,1,medical
129,appreciation,definitions,1,medical
130,appreciation,nuances,1,medical
131,complexities,nuances,1,medical
132,complexities,varied,1,medical
133,settings,varied,1,medical
134,older,settings,2,medical
135,adult,mistreatment,3,medical
136,mistreatment,occurs,1,medical
137,occurs,resulted,1,medical
138,improved,resulted,1,medical
139,identification,improved,1,medical
140,identification,intervention,4,medical
141,intervention,prevention,4,medical
142,abuse,prevention,3,medical
143,older,people,22,medical
144,health,people,1,medical
145,facilities,health,2,medical
146,facilities,perspective,1,medical
147,nursing,perspective,1,medical
148,nursing,professionals,7,medical
149,crosssectional,professionals,1,medical
150,crosssectional,study,14,medical
151,croatia,study,1,medical
152,abuse,croatia,1,medical
153,people,represent,1,medical
154,represent,salient,1,medical
155,public,salient,1,medical
156,health,public,15,medical
157,health,issue,4,medical
158,issue,remains,1,medical
159,remains,understudied,1,medical
160,current,understudied,1,medical
161,current,literature,2,medical
162,literature,studies,1,medical
163,focused,studies,1,medical
164,estimating,focused,1,medical
165,estimating,prevalence,2,medical
166,mistreatment,prevalence,1,medical
167,mistreatment,older,3,medical
168,litter,people,1,medical
169,litter,priority,1,medical
170,healthcare,priority,1,medical
171,healthcare,professionals,12,medical
172,professionals,role,1,medical
173,addressing,role,1,medical
174,addressing,problem,1,medical
175,aim,problem,1,medical
176,aim,paper,1,medical
177,determine,paper,1,medical
178,determine,nurses,1,medical
179,nurses,perceptions,1,medical
180,neglect,perceptions,1,medical
181,abuse,older,14,medical
182,older,persons,7,medical
183,health,persons,1,medical
184,croatia,facilities,1,medical
185,croatia,crosssectional,1,medical
186,crosssectional,survey,2,medical
187,convenience,survey,1,medical
188,convenience,sampling,1,medical
189,approach,sampling,1,medical
190,approach,conducted,1,medical
191,632,conducted,1,medical
192,632,nursing,1,medical
193,26,professionals,1,medical
194,26,march,2,medical
195,26,april,1,medical
196,2020,april,1,medical
197,2020,participation,1,medical
198,participation,voluntary,1,medical
199,anonymous,voluntary,1,medical
200,anonymous,questionnaire,1,medical
201,drennan,questionnaire,1,medical
202,drennan,et,1,medical
203,al,et,2,medical
204,al,ncpop,1,medical
205,ncpop,university,1,medical
206,college,university,1,medical
207,college,dublin,1,medical
208,dublin,dublin,1,medical
209,2012,dublin,1,medical
210,2012,previously,1,medical
211,adapted,previously,1,medical
212,adapted,neuberg,1,medical
213,et,neuberg,1,medical
214,al,arch,1,medical
215,arch,ind,1,medical
216,hyg,ind,1,medical
217,hyg,toxicol,1,medical
218,68,toxicol,1,medical
219,2017,68,1,medical
220,190,2017,1,medical
221,190,survey,1,medical
222,instrument,survey,1,medical
223,descriptive,instrument,1,medical
224,descriptive,inferential,1,medical
225,inferential,statistics,1,medical
226,multivariable,statistics,1,medical
227,methods,multivariable,1,medical
228,methods,reliability,1,medical
229,analysis,reliability,2,medical
230,analysis,significance,1,medical
231,set,significance,1,medical
232,p05,set,1,medical
233,p05,twotailed,1,medical
234,abuseneglect,twotailed,1,medical
235,abuseneglect,older,1,medical
236,observed,people,1,medical
237,138,observed,1,medical
238,138,574,1,medical
239,574,nursing,1,medical
240,depending,professionals,1,medical
241,depending,incident,1,medical
242,incident,type,1,medical
243,prevalent,type,1,medical
244,incidents,prevalent,2,medical
245,incidents,observed,2,medical
246,ignoring,observed,1,medical
247,ignoring,older,1,medical
248,older,person,8,medical
249,574,person,1,medical
250,574,shouting,1,medical
251,older,shouting,2,medical
252,anger,person,1,medical
253,411,anger,1,medical
254,411,forcefeeding,1,medical
255,forcefeeding,older,1,medical
256,345,person,1,medical
