,source,target,weight
0,artificial,intelligence,2
1,help,intelligence,1
2,help,identify,5
3,elder,identify,16
4,abuse,elder,1172
5,abuse,neglect,386
6,health,neglect,3
7,care,health,82
8,care,encounter,1
9,encounter,potentially,1
10,critical,potentially,1
11,critical,opportunity,1
12,detect,opportunity,1
13,detect,elder,1
14,abuse,initiate,4
15,initiate,intervention,4
16,intervention,unfortunately,1
17,health,unfortunately,1
18,care,providers,27
19,currently,providers,1
20,currently,seldom,1
21,identify,seldom,1
22,abuse,development,1
23,advanced,development,1
24,advanced,data,1
25,analytics,data,1
26,analytics,techniques,1
27,machine,techniques,1
28,learning,machine,4
29,artificial,learning,1
30,intelligence,potential,1
31,dramatically,potential,1
32,dramatically,improve,1
33,elder,improve,1
34,abuse,identification,6
35,health,identification,1
36,care,settings,16
37,theory,trauma,2
38,abuse,theory,1
39,neglect,violence,9
40,life,violence,5
41,course,life,20
42,course,literature,1
43,literature,review,23
44,recent,review,3
45,prevalence,recent,1
46,prevalence,prospective,1
47,prospective,studies,2
48,interpersonal,studies,1
49,interpersonal,violence,7
50,ipv,violence,12
51,identifies,ipv,1
52,identifies,link,1
53,child,link,1
54,abuse,child,26
55,abuse,intimate,4
56,intimate,partner,41
57,partner,violence,34
58,elder,violence,8
59,abuse,emerged,2
60,emerged,lifestagespecific,1
61,lifestagespecific,studies,1
62,abuse,studies,3
63,older,violence,19
64,older,persons,49
65,line,persons,1
66,developmental,line,1
67,developmental,understanding,1
68,ipv,understanding,1
69,ipv,life,2
70,course,perspective,2
71,early,perspective,1
72,early,life,6
73,life,trauma,1
74,emerging,trauma,1
75,emerging,explanatory,1
76,explanatory,theory,1
77,ipv,theory,1
78,course,paradigm,1
79,paradigm,shift,1
80,field,shift,1
81,elder,field,6
82,abuse,challenges,1
83,challenges,traditional,1
84,explanations,traditional,1
85,explanations,ipv,1
86,ipv,old,2
87,age,old,36
88,age,ageism,1
89,ageism,opens,1
90,new,opens,1
91,new,opportunities,1
92,interventions,opportunities,1
93,interventions,leading,1
94,leading,prevention,1
95,prevention,treatment,3
96,abuse,treatment,2
97,adults,older,461
98,adults,prevalence,3
99,prevalence,studies,6
100,include,studies,1
101,include,older,2
102,older,subjects,1
103,questions,subjects,1
104,questions,violence,1
105,experienced,violence,1
106,children,experienced,1
