word(SoyNLP),score(SoyNLP),word(TF-IDF),score(TF-IDF),word(KeyBERT),score(KeyBERT)
,,abuse,8,study elder abuse,2.0
,,elder,5,elder abuse global,1.0
,,elder abuse,4,elder abuse neglect,1.0
,,neglect,4,elder abuse screening,1.0
,,care,4,elder abuse study,1.0
,,older,3,elder abuse nursing,1.0
,,nursing,2,neglect nursing homes,1.0
,,elderly,2,abuse neglect nursing,1.0
,,abuse neglect,2,nursing homes study,1.0
,,homes,2,elder abuse cases,1.0
,,study,2,elder abuse,0.0
,,factors,1,study australian coroners,0.0
,,adults,1,elder abuse ideas,0.0
,,nursing homes,1,caregivers hospitalized seniors,0.0
,,older adults,1,model attributes abuse,0.0
,,caregivers,1,abuse study australian,0.0
,,social,1,bullying employed nursing,0.0
,,cases,1,abuse ideas generated,0.0
,,elder abuse neglect,1,dependence elder abuse,0.0
,,workers,1,elder abuseneglect perception,0.0
,,risk,1,elder abuse synergistic,0.0
,,home,1,australian coroners court,0.0
,,data,1,study policies elderly,0.0
,,prevalence,1,study classifies abusers,0.0
,,residents,1,risk elder abuse,0.0
,,facilities,1,analyzes influence employees,0.0
,,em,1,women ukraines conflict,0.0
,,health,1,trauma elder abuse,0.0
,,research,1,elder mistreatment caregivers,0.0
,,mistreatment,1,elder abuse lessons,0.0
,,physical,1,caseworker reports abusers,0.0
,,elder neglect,1,dementia covid19 pandemic,0.0
,,people,1,treatment elder abuse,0.0
,,older people,1,family caregivers hospitalized,0.0
,,analysis,1,countermeasures elder abuse,0.0
,,studies,1,profiles elder abuse,0.0
,,family,1,screening elder abuse,0.0
,,rra,1,australian coroners,0.0
,,findings,1,caregivers registered nurses,0.0
,,elders,1,determine abuser profiles,0.0
,,maltreatment,1,care elder abuse,0.0
,,experiences,1,perception elder abuse,0.0
,,screening,1,family caregivers older,0.0
,,chinese,1,neglect patients treated,0.0
,,persons,1,traumainformed care elder,0.0
,,problem,1,elder mistreatment elderly,0.0
,,identify,1,screening elder neglect,0.0
,,care workers,1,rns family caregivers,0.0
,,caregiver,1,patient neglect nursing,0.0
,,life,1,tools neglect patients,0.0
,,staff,1,abuse committed nurses,0.0
,,prevention,1,physicians geriatric nurses,0.0
,,training,1,abuse perpetrators research,0.0
,,associated,1,ombudsmen ltco 2006,0.0
,,quality,1,workers reflections therapeutic,0.0
,,women,1,caregivers interviewed nursing,0.0
,,review,1,elderly abuse nursing,0.0
,,older persons,1,database search australian,0.0
,,financial,1,nurses immigrants dementia,0.0
,,victims,0,screening tools neglect,0.0
,,age,0,learned child abuse,0.0
,,ethical,0,subsample 150 women,0.0
,,old,0,communitybased chinese older,0.0
,,95,0,lebanon elder abuse,0.0
,,violence,0,training elder abuse,0.0
,,abusive,0,analysis genderbased violence,0.0
,,different,0,reviewed policies elderly,0.0
,,behaviors,0,geriatric nurses medical,0.0
,,scale,0,genderbased violence screening,0.0
,,settings,0,elder mistreatment study,0.0
,,elderly abuse,0,living dementia pandemic,0.0
,,medical,0,30 registered nurses,0.0
,,burnout,0,policies elderly abuse,0.0
,,characteristics,0,appraisals elder mistreatment,0.0
,,conducted,0,elder abuse beirut,0.0
,,related,0,dermatologist detecting elder,0.0
,,ci,0,elder abuse guarantee,0.0
,,reporting,0,abuse screening diagnosis,0.0
,,elder mistreatment,0,thousands elders abused,0.0
,,interventions,0,improvementmeasures prevention elder,0.0
,,reported,0,welfare facilities mediating,0.0
,,patients,0,2006 2013 complaints,0.0
,,potential,0,workers case japanese,0.0
,,emotional,0,chinese american elders,0.0
,,adult,0,manage dementia elderly,0.0
,,ethics,0,465 elderly women,0.0
,,types,0,elder abuse prevention,0.0
,,experienced,0,prevention elder abuse,0.0
,,education,0,reflection gender issues,0.0
,,lack,0,interviewed nursing homes,0.0
,,care facilities,0,technicians emts qualitative,0.0
,,aged,0,reportable elder abuse,0.0
,,living,0,whistleblowing elder abuse,0.0
,,ageism,0,maltreatment chinese americans,0.0
,,perception,0,explaining elder abuse,0.0
