,Features_2022,Features_2021,Features_2020,Features_2019,Features_2018
0,ID,ID,ID,ID,ID
1,총 가구원 수,총 가구원 수,0,0,0
2,문A1-1) 작년(21.01.01~21.12.31) (1) 학위(졸업장) 취득을 위한 교육 참여 경험 여부,문A1-1) 작년(21.01.01~21.12.31) (1) 학위(졸업장) 취득을 위한 교육 참여 경험 여부,문A1-1) 작년(21.01.01~21.12.31) (1) 학위(졸업장) 취득을 위한 교육 참여 경험 여부,문A1-1) 작년(21.01.01~21.12.31) (1) 학위(졸업장) 취득을 위한 교육 참여 경험 여부,문A1-1) 작년(21.01.01~21.12.31) (1) 학위(졸업장) 취득을 위한 교육 참여 경험 여부
3,조사대상 가구원 수,조사대상 가구원 수,0,0,0
4,0,0,0,문A1-2.귀하께서 위 교육과정(A1-1)에 참여할 당시 사회적 신분은 무엇이었습니까?,문A1-2.귀하께서 위 교육과정(A1-1)에 참여할 당시 사회적 신분은 무엇이었습니까?
5,문A2-1) 프로그램 유형__(1)학위취득을 위한 교육_1,문A2-1) 프로그램 유형__(1)학위취득을 위한 교육_1,문A2-1) 프로그램 유형__(1)학위취득을 위한 교육_1,문A2-1) 프로그램 유형__(1)학위취득을 위한 교육_1,문A2-1) 프로그램 유형__(1)학위취득을 위한 교육_1
6,조사완료 가구원 수,조사완료 가구원 수,0,0,0
7,0,0,0,0,문A3(개월).귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 참여한 총 교육시간 (방학 기간 제외)은 얼마나 되십니까?
8,0,0,0,0,문A3(일(일주일평균)).귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 참여한 총 교육시간 (방학 기간 제외)은 얼마나 되십니까?
9,0,0,0,문A3선택,문A3선택
10,0,0,문A1-2.귀하께서 위 교육과정(A1-1)에 참여할 당시 경제활동상태는 어떠하셨습니까?,0,0
11,0,0,0,0,문A3(시간(하루평균)).귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 참여한 총 교육시간 (방학 기간 제외)은 얼마나 되십니까?
12,0,0,0,문A3(개월).귀하께서 지난 1년 간(2018년 7월 - 2019년 6월) 위 교육과정(A1-1)에 참여한 총 교육시간 (방학 기간 제외)은 얼마나 되십니까?,0
13,0,0,0,0,문A3(주).귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 참여한 총 교육시간 (방학 기간 제외)은 얼마나 되십니까?
14,문A1-1) 작년(21.01.01~21.12.31) (2) 성인기초 및 문자해득교육(문해교육) 참여 경험 여부,문A1-1) 작년(21.01.01~21.12.31) (2) 성인기초 및 문자해득교육(문해교육) 참여 경험 여부,0,0,0
15,0,0,0,0,문A3(일(일주일평균).귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 참여한 총 교육시간 (방학 기간 제외)은 얼마나 되십니까?
16,0,0,0,문A3(일(일주일평균)).귀하께서 지난 1년 간(2018년 7월 - 2019년 6월) 위 교육과정(A1-1)에 참여한 총 교육시간 (방학 기간 제외)은 얼마나 되십니까?,0
17,0,0,0,0,문A3(시간(하루평균).귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 참여한 총 교육시간 (방학 기간 제외)은 얼마나 되십니까?
18,0,0,문A3.선택,0,0
19,0,0,0,0,문A4-1)자기부담.귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?
20,0,0,0,문A3(시간(하루평균)).귀하께서 지난 1년 간(2018년 7월 - 2019년 6월) 위 교육과정(A1-1)에 참여한 총 교육시간 (방학 기간 제외)은 얼마나 되십니까?,0
21,0,0,0,0,문A4-2)외부지원.귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?_1
22,문A1-1) 작년(21.01.01~21.12.31) (3) 직업능력향상교육 참여 경험 여부,문A1-1) 작년(21.01.01~21.12.31) (3) 직업능력향상교육 참여 경험 여부,0,0,0
23,0,0,0,0,문A4-2)외부지원.귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?_2
24,0,0,0,문A3(주).귀하께서 지난 1년 간(2018년 7월 - 2019년 6월) 위 교육과정(A1-1)에 참여한 총 교육시간 (방학 기간 제외)은 얼마나 되십니까?,0
25,0,0,0,0,문A4-2)외부지원.귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?_3
26,0,0,문A3.[개월]귀하께서 지난 1년간 위 교육과정(A1-1)에 참여한 총 교육시간(방학 기간 제외)은 얼마나 되십니까?,0,0
27,0,0,0,0,문A4-2)외부지원.귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?_4
