"writer","date","comment"
"가짜채원","2024.03.16","집중 또 집중해야한다.."
"여의주","2024.03.09","치매환자가된  배우자에대한 아름다운 보살핌  담담히 그려낸 다큐
남같지않은상황"
"movielover","2024.03.05","알츠하이머를 앓고 계신 어머니를 돌보는 입장이라 너무나 공감되어 눈물이 주르륵... 저명한 지식인도 피해갈 수 없는 알츠하이머로 인해 고통받는 아우구스토와 옆에서 헌신하는 파울리나의 사랑스런 말투와 여유로운 태도에 많은 것을 느끼고 이해할 수 있었다. 풍경과 대화가 참 아름답다..."
"마영달","2024.03.04","그냥저냥 무난합니다..."
"좀비지니","2024.03.03","기억의 소멸에서 오는 안타까움과 인생의 회한이 피노체트라는 아픈 역사와 같이 교차되어 느낄 수 있다면!! 좋은 영화."
"movietour","2024.03.02","치매되는과정을 캠코더로 찍었다니
마지막 이별의 어루만짐은 약하디약한 인간의 진실된 표현이다."
"밐정","2024.03.02","다시 보고 싶은 봐야할 영호ㅏ"
"DY정","2024.02.29","불멸의 사랑이란 바로 이런 것..."
"맘마미아","2024.02.29","함께했던 오랜 추억들을 잃어가더라도, 남긴 기록을 통해 그들의 영원한 사랑을 유지하다! 감동의 눈물.."
"모르는댕산책","2024.02.29","2월 28일 명동 씨네라이브러리"
"네오룸펜","2024.02.28","어떻게 서로를 저다지도 사랑스럽게 바라볼수 있는건지 ㅠㅠ"
"ja**oxharoo","2024.02.28","치매라는 비극 안에 여전한 사랑이."
"90e","2024.02.28","기억에서 비롯되는 우정, 역사, 사랑."
"푸르른날","2024.02.28","고마워 모두에게 
우리삶의 마지막이 이렇게 끝맺음되길
참아름다운사람들"
"걷는곰","2024.02.27","잔잔하게 스며들다 거칠게 새겨진 사랑"
"SihnMia","2024.02.27","흑ㅠ 예매를 잊어버리고 보질 못했네요ㅠ"
"yc**m001","2024.02.26","이터널 메모리 좋아요 굿굿입니당 당다아당 앙"
"ppt시러","2024.02.25","너무너무 감동적이였습니다"
"smp","2024.02.24","가슴 아프지만 따듯한 영화"
"에펠♡","2024.02.24","정말 무섭지만 대비해야하는 병 그리고 이야기"
"yeetang","2024.02.23","따뜻한 마음이 잘 느껴지는 다큐였다."
"cindy","2024.02.22","재상영 덕분에 봐서 넘 좋아요.  작품 멋져요."
