username,date,rating,review,likes,dislikes
ssem****,2015.04.09. 00:30,10,나이는 살아 온 세월이 아니라  살아 온 기억들 이다.,"1,369",79
chm5****,2015.04.09. 02:01,10,처음엔 달달해서 흐믓하게 보다가 나중엔 나도 모르게... ㅠㅠ,809,52
jihy****,2015.04.09. 10:32,10,잔잔한 동화같은 영화. 오늘 개봉해서 조조보고왔어요. 나이들어감이 아름답지만 슬픈... 배우 모두 연기력은 검증. 강추합니다,687,45
lmy1****,2015.04.09. 11:49,8,뻔한 스토리인줄 알고 시계만 보다가... 반전요소 때문에 스토리 앞뒤가 맞아 떨어지며 눈물을 훔치게 만든 영화...,667,41
rkdx****,2015.04.09. 09:46,10,"박근형&윤여정의 호흡이 참 좋았다. 봄에 잘 어울릴만한 따뜻한 영화 ㅎ 부모님이랑 다시 한번 봐야지 ~,~!",565,49
love****,2015.04.09. 01:00,10,"영화 톤이 밝고 사랑스러워서 동화같았음 :) 박근형,윤여정,조진웅 물론 최고고 엑소 찬열도 잘 몰랐는데 귀엽더라구요.ㅎㅎ",506,64
rool****,2015.04.09. 12:06,10,오랜만에 할아버지한테 전화를 드렸어요잊고 있었거든요 딱2분걸리더라고요 안부전화하는데.... 그 2분을 제가 잊고 살았더라고요 감사합니다...정말 감사합니다제가 잊고 살아갈 수 있었던 소중한 분들을 다시 떠올릴 수 있게 해주셔서 감사합니다...,378,16
piel****,2015.04.09. 00:55,10,"시사회보고왔는데 오랜만에 너무 따뜻하고 재미있는 영화본듯.. 코미디,감동 다 있음!!",276,29
yull****,2015.04.09. 02:00,10,오늘 왕십리에서 보면서 펑펑 울었어요. 초반에 웃다가 갑자기 눈물바다. 완전 강추합니다!!!,171,16
nnn3****,2015.04.09. 11:24,9,마지막에 펑펑 울다왔어요 ㅠㅠㅠ,128,8
tomo****,2015.04.09. 00:31,10,두 배우 연기가 쩝니다!! 그걸로도 아깝지 않은 영화. 재미와 감동은 덤. 아! 조진웅도 짱. 눈물터짐.,120,12
seu_****,2015.04.09. 00:57,10,"따뜻한 가족영화, 언젠가 나에게 닥칠 수도 있는 상황에 미리 연습할 수 있게 해준 거 같아 고맙네요.",104,14
love****,2015.04.09. 22:29,10,남자 2명이서 봤는데 질질짜면서 영화관 급하게 나옴 너무 슬퍼요 ㅠㅠ,90,3
zbxl****,2015.04.10. 11:40,10,자신의 아내에게 다시한번 반한다는거에 너무 감동...,87,6
godm****,2015.04.11. 13:31,10,한지민 존예 진심 개이쁘게나옴,85,9
moon****,2015.04.09. 09:46,10,조진웅 아저씨 멋져요.,77,8
pink****,2015.04.09. 11:48,10,분노의질주도 보고 장수상회도 봤는데... 하나만 고르라면 장수상회,73,17
wooj****,2015.04.09. 00:41,10,현재 누군가들은 겪고있을지도 모를 이야기.영화 속 이야기일것만 같으면서도 묘하게 현실적인 이야기.슬픔...ㅠㅠ,63,8
daju****,2015.04.11. 13:26,8,내용이좀뚝뚝끊기고 연결이안되는 느낌이였는데 그게 뒷부분에 반전을 위한거였네요 가슴찡하게하는영화네요 너무 슬프고 아름다운영화엿어요,53,2
thom****,2015.04.09. 10:06,10,운좋게 시사에 갔었는데요~ 너무 재밌었어요 ㅎㅎㅎ 울다 웃다가 시간가는줄 몰랐던...,57,6
chla****,2015.04.09. 11:24,10,강제규감독이라 멜로는 별로일거라 생각했는데 완전 감동 ㅠㅠ,43,6
hjsr****,2015.04.09. 09:13,10,"처음엔 그냥 황혼 로맨스인줄 알고 웃고 즐겼는데,다른 스토리가 전개되면서,가슴레 작은 울림을 주는 가족이 모두 볼 수 있는 영화였습니다.",37,1
jt48****,2015.04.09. 01:59,10,넘넘 슬프고 감동적임 ㅠㅠ 진짜 엄마랑 같이 보고싶은 영화,43,11
nove****,2015.04.09. 23:55,9,효도해야지 머리속으로는 생각하면서 실천으로는 못하고있는 제 삶을 반성하게 만드는 영화였습니다. 자식은 부모 가슴 한구석에 돌처럼 박혀있다..라는 대사가 가슴 먹먹하게만드네요...,28,0
jjyy****,2015.04.09. 11:55,10,대박  ㅠㅠ 진짜 끝까지 몰랐음 으 너무 감동적. ㅜㅜ,27,3
buzz****,2015.04.09. 10:35,9,오랜만에 따뜻한 영화... 연기는 말할것도 없고 ㅠㅠ 오랜만에 펑펑울었어요 ㅠㅠ,25,2
zzon****,2015.04.09. 02:07,10,너무 사랑스럽고 또 내 주변 사람들을 더더 많이 사랑하고 싶어지는 영화~굿굿!,25,2
chlg****,2015.04.13. 22:15,10,박근형님 최고입니다,22,0
nana****,2015.04.09. 02:02,10,어제 성대 시사서 끝나고  박수터짐. 초반 웃기다 눈물 펑펑.  재밌엉~~~,26,4
rlae****,2015.04.09. 09:56,9,우어~~~ 부모님들꼭 보여드리구싶어요,21,1
alwa****,2015.04.09. 10:31,9,"시사회로 먼저 봤는데, 따뜻한 마음 안고 나올 수 있는 영화였습니다. 점점 날씨도 좋아지는데 영화 보고 꽃구경하고 그럼 더 좋을거 같아요!",19,0
qopo****,2015.04.09. 22:45,9,노년의 사랑이 이렇게 감동적일 수 있다니.. 따스한 봄날에 보기 좋은 아름다운  러브스토리. 억지스런 감동이 아닌 사랑의 아름다움을 느낄 수 있는 영화. 연인들과 함께 보면 더 좋을 듯 합니다!! *^^*,19,2
jhjy****,2015.04.09. 14:24,10,아름다운 영화가 처음..,19,2
jiho****,2015.04.09. 11:33,10,미소짓게 하다가 어느새 눈물바다,19,4
sund****,2015.04.09. 22:43,10,정~~~말. 오랜만에 여운이 깊게 남았던 영화. 끝나고도 쉽사리 자리를 뜨지 못하고 이런저런 생각이 나서 울컥울컥...영화 보실분들 마지막 ost까지 느껴보고 오시길 추천. <봄 과 어울리는 영상미와 봄과 어울리는 따뜻함. 개봉이 시기적절하도다!>,14,0
equi****,2015.04.09. 16:45,10,"오래도록 나를 기억해주고 사랑해줄 그 이름, 가족.",15,1
gota****,2015.04.09. 07:21,10,따뜻한 영화~재미도 감동도 있는 영화에요^^,17,3
naya****,2015.04.09. 02:02,10,두번봐도 감동이 배가 되는 영화에요! 진짜 너무 좋음 ㅠㅠ,17,3
