username,date,rating,review,likes,dislikes
jsa1****,2024.09.04. 21:18,7,이해와 포용으로 우리를 이루는 세상까지 나아가기를,7,3
skth****,2024.09.05. 10:23,10,"노인이 되는 것과, 노인이 되며 남지 않는 주변의 사람들, 그 안에서 옆에 있어주는 동반자에 대해 고민해 볼 수 있었던 영화였습니다. 장면 전환 구성에 감독님이 힘 쓰신게 느껴져요. 정말 몰입해서 봤습니다. 큰 배경 음악 없이도 배우 분들의 시선을 따라가다 보면 어느덧 영화가 끝나 있고 여운이 참 오래 가네요. 오랜만에 여운이 많이 가는 영화였습니다. 이미랑 감독님 첫 장편 영화인데, 앞으로의 활동도 너무너무 기대가 됩니다. 좋은 영화 나중에도 꺼내어볼 소중한 영화 만들어 주셔서 감사합니다.",8,4
tree****,2024.09.05. 16:05,9,꼭 보세요 추천합니다 수작,5,2
elys****,2024.09.15. 13:21,10,"몰입해서 보다보니 어느새 계속 눈물을 흘리고 있었다. 다른 사람이 힘들고 내 몸 하나 건사하기도 힘든 사회, 하지만 언제나 사랑은 존재하고 연대는 필요하다. 오민애 배우를 비롯한 배우들의 생활 연기가 후덜덜하다. (특히 요양원 과장님^^) 작지만힐링의 힘이 있는 강한 영화입니다.",2,0
3456****,2024.09.06. 10:18,8,"당연하다고 여겨지는 일들을 당연하지 않게 바라보는 이들에게 전하고픈 메세지. 당신이 맞다고 생각하는 것이 정말 맞다. 우리의 마음은 외친다. ‘누군가는 해야 하잖아.’ 그것은 당장 나여야 하고, 나아가 우리여야 한다. 적어도 그것이 부당하다는 것을 스스로가 아는 순간, 타협은 없다. 영화는 우리를 막아서는 누군가는 이런 마음일 수도 있다는 걸 말해준다. ‘당신은 나처럼 아프지 않길 바란다’ 라고. 그게 얼마나 당신을 아프게 할지 아니까. 적어도 내 곁에 있는 사람은 아프지 않길 바라니까. 그리고 끝내 그 사람은 당신과 함께 싸워줄 것이다. 영화는 지금 우리에게 필요한 것을 말한다. 그것은 다름 아닌 연대이다. 우리 서로를 부둥켜안고 살자고 말이다. 어쩌면 우리가 싸움에서 이길 수 있는 가장 강력한 방법은 부조리 속의 사람들을 잊지 않는 것일지도 모른다. 그리고 나는 이 사람들을 잊지 않는 당신을 기억하고 싶다.",2,0
zoem****,2024.09.06. 19:11,10,엄마랑 딸이 닮았네요. 서로 맞닿은 순간을 너무 잘그렸어요. 외로운 순간들은 계속 밀려오겠지만 그래도 옳다고 생각하는 대로 살길.. 배우분들 연기가 너무 좋아서 한동안 계속 생각날것 같아요.,3,1
shrn****,2024.09.06. 01:37,10,"단순 동성애,소수자들의 이야기라고 할 수 있을까나의 이야기가 될 수 있고 우리들의 이야기가 될 수 있는..대사 한 줄 한 줄.. 장면 하나 하나가 너무나 와 닿았다.. !! 진심",3,1
mont****,2024.09.04. 22:24,9,환갑이 넘어도 요양병원 침대에 누워 죽기 전까지는 세상에 대해 배울게 있다는…,4,2
dbsg****,2024.09.06. 02:56,10,"루즈할 수 있으나 메세지를 읽는 재미가 있다. 퀴어 자녀를 둔 부모님의 현실적 걱정에 공감하기도 하며, 그런 딸의 진취적 모습에도 이해가 된다. 이 둘의 대립을 보며 무엇 하나 옳지 않은 점이 없는 것 같다. 성소수자의 혼인신고가 아직 합법화되지 않은 대한민국에서 이러한 이상을 실현하고자 사회에 맞서는 딸의 입장에서는, 어머니의 걱정이 이 길을 방해하는 것이라 보인다. 동성애자인 딸이 가족도 자녀도 없이 말년을 보내야 한다고 가정한 채, 앞서 걱정과 불안을 느끼는 어머니. 요양보호사로 일하며, 연고 없는 삶의 결말이 얼마나 고독한지 어머니는 아주 잘 알았다. 딸에게 지금이라도 좋은 남자를 만나 결혼하라지만 결국 그 요구에는 딸이 원하는 이상적 사회를 회피하는 것밖에 되지 않는다. 동성애는 배제된 채, 이성애만을 존중하는 사회가 어머니에게는 당연한 것이고, 딸에게는 편견으로 다가온다. 딸은 걱정으로 포장한 어머니의 편견을 두고 이렇게 얘기했다. “엄마 같은 사람들이 (동성결혼)못하게 막고 있다고 생각은 안 해?“ 나는 예고편에도 나온 이 대사 한 줄이, 영화가 전달하고자 하는 메세지를 함축한다고 생각한다.",5,3
free****,2024.09.05. 14:37,10,인간미가 느껴지는 영화에요,5,3
