"writer","date","comment"
"ma**aximuss","2024.06.23","기억의 소중함과 줄리앤 무어의 명연기"
"시네마천국","2024.04.14","줄리안 무어의 연기가 좋았습니다~^^"
"dl**xkfm0408","2023.08.20","유일하게 보면서 잠이 왔던 영화... 공감은 가지만 지루했던 전개, 허무한 엔딩"
"덴젤워싱턴","2022.06.22","내 겉모습은 달라졌어도
난 아직도
앨리스"
"기쁨의 바다","2021.06.30","요즘 다시보고싶은 영화"
"God of movie","2021.05.15","개봉한지 몇 년이 흐른 뒤에 관람해도 좋게 다가왔던 영화"
"아슈레이1122","2021.05.12","현실적이면서도 묘하게 이상적인 가족의 모습이 눈물나게  한다."
"김치없인못살아","2021.05.12","뛰어난 배우들의 뛰어난 연기"
"슈리","2021.05.12","배우연기도 멋지고 좋았어요"
"gu**83","2021.05.12","우선, 영화 속 주인공의 알츠하이머연기와 진행되는 속도 그리고 그에 맞춰진 주변상황설정이 너무 현실적이고 적절하게 표현되어 병의 무서움을 체감할 수 있었던 것 같아요~; 그리고 주인공의 삶의 일대기를 사진을 통해 영화 중간중간에 삽입하며 유한한 삶의 가치와 의미를 되돌아 보게 되는 작품~"
"현지둥둥","2021.05.12","진짜 눈물... 내가 좋아하는 사운드트랙의 제목의 의미를 깨달았을 때의 쾌감"
"ah**917","2021.05.11","같은 나이에게서 보는 실감나는 위험"
"푸우74","2021.05.11","너무 재미있었어요 ~~^^"
"my**bong","2021.05.10","너무 생생한 연기에 내일인양 빠져드는..."
"땀뽕이","2021.05.10","앨리스가 알츠하이머 심각한병에 무섭고 슬프네요 잘봤습니다"
"cloud9si","2021.05.10","좋았습니다 ★★★♥♥♥
$7000"
"동동","2021.05.10","급 알츠하이머에 꽂혀서 본 영화. 스스로의 삶의 가치를 어떻게 두는가를 생각하게 되는 .. 어디까지가 나의 삶인가"
"zz**ngzz","2021.05.09","퇴행성 뇌질환으로 투병하는 사람 뿐만 아니라 주위 가족들의 감정까지 잘 어우만진 것 같다."
"wl**als1","2021.05.08","내게도 있을수있는 일이기에..무서웠다"
"wi**aehyeon","2021.05.08","그렇게 특별한 점은 없었지만 그래도 괜찮게 봤어요"
"is**ella20","2021.05.08","연기가 좋았어요..."
"po**22","2021.05.08","잔잔하게 울리는 영화로서 꼭 봐야될 영화입니다"
"CKJ.","2021.05.08","더 파더를 보고 봤더니 너무 연기 같았다."
"ea**long","2021.05.07","abcdefghijklmn"
"임키노","2021.05.07","만약 암이나 알츠하이머와 같은 불치병에 걸려 이를 피해갈 수 없다면, ..."
"줄스","2021.05.06","차분하면서도 담담하게 그리고 품위를 지키면서 잃어가는 자신을 마주한다.."
"si**1077","2021.05.06","줄리안 무어 연기 좋았습니다."
"미르엄마","2021.05.06","아름답고 감동적인 영화이다."
"hirusia","2021.05.06","치매의 진전을 리얼하게 그려냈다. 가족, 일, 변화에 대한 적응 모두 현실적이다."
"jiyeah_p","2021.05.06","내가 나로 살아있는 순간들"
"sixpack_h2","2021.05.05","모든 것을 잃어도 여전히 자신이고 싶은 사람의 모습에 눈물이 저절로 흐른다."
