date,positive,negative,neutral,sentiment score,summary
2020-01-01,1,0,1,0.5,"올해 원/달러 환율은 롤러코스터를 타는 듯했다. 30일 오전 원/달러 환율이 하락한 채로 출발한 원/달러 환율은 오전 9시 5분 현재 전 거래일보다 2.3원 내린 1,159.2원을 나타냈다."
2020-01-02,0,1,0,-1.0,"서울 외환시장에서 원/달러 환율은 전 거래일보다 1.7원 오른 달러당 1,158.1원에 거래를 끝냈다."
2020-01-03,0,3,0,-1.0,"미국과 이란 이란의 갈등이 고조되면서 3일 코스피가 1%대의 상승분을 반납하고 원/달러 환율이 오르는 등 국내 금융시장이 출렁거렸다. 원/달러 환율은 전일 종가보다 9.0원 오른 달러당 1,167.1원에 거래를 마쳤다. 미국과 이란의 갈등이 고조되면서 3일 코스피가 1%대의 상승분을 모두 반납하고 원/달러 환율이 오르는 등 국내 금융시장이 출렁거렸다."
2020-01-06,0,3,0,-1.0,"6일 원/달러 환율이 5원 오른 1,171원대에 마감했다. 미국과 이란의 갈등 고조로 6일 장 초반 국내 주가가 하락하고 원/달러 환율과 유가가 상승하는 등 금융시장의 불안감이 지속되고 있다. 원/달러 환율은 오전 9시 15분 현재 전 거래일 종가보다 0.4원 오른 달러당 1,167.5원을 나타냈다."
2020-01-07,2,0,0,1.0,"7일 원/달러 환율이 전날 상승분을 되돌리며 1,166원대에서 마감했다. 7일 원/달러 환율이 전날 상승분을 되돌리며 하락 출발했다."
2020-01-08,0,2,0,-1.0,"원/달러 환율이 원/달러 환율 시장이 출렁거렸다. 8일 원 외환시장에서 원/달러 환율은 오전 9시 22분 현재 전일 종가보다 11.7원 오른 달러당 1,178.1원을 나타냈다."
2020-01-09,1,0,0,1.0,원/달러 환율이 9일 11원 이상 급락 마감했다.
2020-01-10,0,1,1,-0.5,전날 10원 넘게 떨어진 원/달러 환율이 10일 조금 오른 채 마감했다. 10일 오전 원/달러 환율이 강보합권에서 움직이고 있다.
2020-01-13,0,1,0,-1.0,"13일 원/달러 환율이 2거래일 만에 다시 1,150원대로 내려앉았다."
2020-01-17,1,0,0,1.0,17일 원/달러 환율이 4거래일 만에 소폭 하락 마감했다.
2020-01-20,1,0,0,1.0,"서울 외환시장에서 원/달러 환율은 전 거래일보다 1.3원 내린 달러당 1,158.1원에 거래를 마쳤다."
2020-01-21,0,1,0,-1.0,"21일 원/달러 환율이 강보합권에서 움직이고 있다.서울서울서울 외환시장에서 원/달러 환율은 오전 9시 10분 현재 전일 종가보다 0.7원 오른 달러당 1,158.8원을 나타냈다."
2020-01-22,0,1,0,-1.0,"22일 원/달러 환율이 오름세로 출발했다.서울 외환시장에서 원/달러 환율은 오전 9시 3분 현재 전일 종가보다 1.8원 오른 달러당 1,168.8원이다."
2020-01-23,0,1,0,-1.0,"서울 외환시장에서 원/달러 환율은 전일 종가보다 4.1원 오른 달러당 1,168.7원에 거래를 마쳤다."
2020-01-28,0,1,0,-1.0,"28일 서울 코로나바이러스 감염증인 '우한 폐렴'에 대한 공포로 28일 서울 외환시장에서 원/달러 환율이 전일 종가보다 9.8원 오른 달러당 1,178.5원으로 개장했다."
2020-02-05,1,0,0,1.0,"5일 오전/달러 환율이 소폭 하락 흐름을 보이고 있다.서울 외환시장에서 원/달러 환율은 이날 오전 9시 32분 현재 전날 종가보다 1.0원 내린 1,186.4원에 거래됐다."
