"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 12- 31","42,544.22","42,636.70","42,779.69","42,421.29","359.22M","-0.07%"
"2024- 12- 30","42,573.73","42,863.86","42,863.86","42,263.51","383.30M","-0.97%"
"2024- 12- 27","42,992.21","43,142.37","43,238.85","42,761.56","376.96M","-0.77%"
"2024- 12- 26","43,325.80","43,201.85","43,373.98","43,115.09","270.36M","0.07%"
"2024- 12- 25","43,297.03","42,916.48","43,297.65","42,871.76","","0.00%"
"2024- 12- 24","43,297.03","42,916.48","43,297.65","42,871.76","230.41M","0.91%"
"2024- 12- 23","42,906.95","42,800.49","42,957.79","42,516.87","449.40M","0.16%"
"2024- 12- 20","42,840.26","42,296.26","43,216.03","42,146.33","1.12B","1.18%"
"2024- 12- 19","42,342.24","42,464.13","42,787.85","42,334.13","560.21M","0.04%"
"2024- 12- 18","42,326.87","43,459.72","43,688.97","42,300.04","627.57M","-2.58%"
"2024- 12- 17","43,449.90","43,656.47","43,656.47","43,336.22","593.67M","-0.61%"
"2024- 12- 16","43,717.48","43,825.76","43,951.58","43,686.85","579.36M","-0.25%"
"2024- 12- 13","43,828.06","43,929.15","44,054.23","43,790.48","455.38M","-0.20%"
"2024- 12- 12","43,914.12","44,168.66","44,208.60","43,903.27","396.06M","-0.53%"
"2024- 12- 11","44,148.56","44,300.41","44,376.18","44,135.74","512.66M","-0.22%"
"2024- 12- 10","44,247.83","44,291.57","44,470.84","44,186.66","482.66M","-0.35%"
"2024- 12- 09","44,401.93","44,637.97","44,728.51","44,382.83","503.92M","-0.54%"
"2024- 12- 06","44,642.52","44,824.29","44,923.74","44,596.46","466.92M","-0.28%"
"2024- 12- 05","44,765.71","45,038.44","45,059.94","44,747.14","457.34M","-0.55%"
"2024- 12- 04","45,014.04","44,941.05","45,073.63","44,799.74","554.43M","0.69%"
"2024- 12- 03","44,705.53","44,769.58","44,914.68","44,574.78","429.14M","-0.17%"
"2024- 12- 02","44,782.00","44,925.86","45,001.66","44,710.16","444.99M","-0.29%"
"2024- 11- 29","44,910.65","44,760.05","45,071.29","44,760.05","319.22M","0.42%"
"2024- 11- 27","44,722.06","44,837.75","45,003.06","44,690.23","451.36M","-0.31%"
"2024- 11- 26","44,860.31","44,614.89","44,903.01","44,426.66","476.17M","0.28%"
"2024- 11- 25","44,736.57","44,385.49","44,815.67","44,385.49","826.66M","0.99%"
"2024- 11- 22","44,296.51","43,871.63","44,323.95","43,871.63","533.02M","0.97%"
"2024- 11- 21","43,870.35","43,538.70","44,020.31","43,345.58","712.12M","1.06%"
"2024- 11- 20","43,408.47","43,296.05","43,465.77","43,074.86","559.01M","0.32%"
"2024- 11- 19","43,268.94","43,243.27","43,380.97","42,938.87","497.97M","-0.28%"
"2024- 11- 18","43,389.60","43,431.89","43,505.66","43,297.57","527.18M","-0.13%"
"2024- 11- 15","43,444.99","43,587.93","43,647.53","43,350.43","664.32M","-0.70%"
"2024- 11- 14","43,750.86","44,032.38","44,080.78","43,704.82","545.09M","-0.47%"
"2024- 11- 13","43,958.19","43,880.46","44,141.33","43,829.98","518.84M","0.11%"
"2024- 11- 12","43,910.98","44,359.21","44,405.73","43,887.27","482.72M","-0.86%"
"2024- 11- 11","44,293.13","44,057.65","44,486.70","44,057.65","451.95M","0.69%"
"2024- 11- 08","43,988.99","43,768.53","44,157.29","43,733.86","454.58M","0.59%"
"2024- 11- 07","43,729.34","43,718.92","43,823.10","43,641.92","437.52M","0.00%"
"2024- 11- 06","43,729.93","42,850.40","43,778.78","42,850.40","555.81M","3.57%"
"2024- 11- 05","42,221.88","41,835.49","42,258.84","41,766.96","284.00M","1.02%"
"2024- 11- 04","41,794.60","42,004.66","42,035.87","41,647.30","341.51M","-0.61%"
"2024- 11- 01","42,052.19","41,869.82","42,326.31","41,869.82","531.36M","0.69%"
"2024- 10- 31","41,763.46","41,956.34","41,991.91","41,704.63","523.87M","-0.90%"
"2024- 10- 30","42,141.54","42,249.81","42,457.92","42,141.54","377.43M","-0.22%"
"2024- 10- 29","42,233.05","42,323.48","42,491.86","42,171.65","373.55M","-0.36%"
"2024- 10- 28","42,387.57","42,264.54","42,476.46","42,264.54","284.78M","0.65%"
"2024- 10- 25","42,114.40","42,477.51","42,594.64","42,051.39","314.00M","-0.61%"
"2024- 10- 24","42,374.36","42,522.55","42,522.55","42,191.83","282.68M","-0.33%"
"2024- 10- 23","42,514.95","42,834.40","42,834.40","42,293.17","356.62M","-0.96%"
"2024- 10- 22","42,924.89","42,876.84","43,041.05","42,718.26","335.20M","-0.02%"
"2024- 10- 21","42,931.60","43,222.21","43,310.87","42,877.57","273.60M","-0.80%"
"2024- 10- 18","43,275.91","43,187.12","43,325.09","43,036.35","295.51M","0.09%"
"2024- 10- 17","43,239.05","43,119.81","43,289.76","43,119.81","276.01M","0.37%"
"2024- 10- 16","43,077.70","42,706.49","43,100.84","42,692.37","297.51M","0.79%"
"2024- 10- 15","42,740.42","43,240.17","43,277.78","42,703.17","360.88M","-0.75%"
"2024- 10- 14","43,065.22","42,800.89","43,139.00","42,707.14","240.06M","0.47%"
"2024- 10- 11","42,863.86","42,507.53","42,899.75","42,507.53","265.34M","0.97%"
"2024- 10- 10","42,454.12","42,511.37","42,511.37","42,308.04","245.58M","-0.14%"
