"writer","date","comment"
"st**edm","2023.12.21","이 영화의 기억이..."
"sp**ekim4804","2023.08.15","다시보는 명작 한번더 보고싶다"
"귀여운 오리","2023.07.13","정말 재미있었어요~~~!!"
"ㅎ-ㅎ♡","2023.05.04","놀란시대의 시작을 열었다"
"엠제이","2023.01.24","놀란감독의 최고의 영화"
"hi**264","2022.08.04","재밌어요. 듀 번 보세요."
"메갈박스","2022.07.16","재밌다 플롯/연출을 빠릿빠릿하게 꼬아만든 작품보다 대사처리 희한하게 하고 샷 더럽게 길게 뽑아서 인내심 떨어지게 하는 영화가 훨씬 더 어렵다"
"놀란영화에놀람","2022.07.06","9/10 역전을 깨달았을때의 느낌"
"파랑나비","2022.04.05","순간이 쌓이면 역사가 됩니다?"
"유갱","2022.01.25","너무 지루했어요…ㅠㅠ 중간에 지루해서 잠들었어요 그래서 후반 스토리는 아예 몰라요"
"Katyperryy","2022.01.03","처음봤을때의 감동 만큼은 아니었으나, 놀란도 갈수록 발전했으니, 크리스토퍼 영화는 당연히 봐야 하므로"
"독잇벰","2021.12.14","감히 놀란의 전성기는 이때라고 생각한다."
"샤하랑","2021.12.06","PERFECT! INTERESTING"
"소리없는 정우성","2021.11.06","보다 잘뻔했지만... 버티면 마지막엔 잼씀"
"dl**di54","2021.11.03","놀란 영화 중 가장 놀라운 작품. 여러번 볼 수록 새롭다. 대단한 작품."
"영화매냐a","2021.11.01","굿입니다
역시 명작이었어오."
"무겁냐","2021.10.10","재미있었습니다!역시"
"(.__.)","2021.09.14","확실히 조금 어렵긴하지만 집중해서 보면 이해 잘돼요~"
"llcooljason","2021.09.02","그냥 저냥 봐줄만..."
"오묘하냥","2021.08.18","좋았어요. 즐겁게 보았습니다."
"wi**ie7","2021.08.11","넘 좋았어요
보고싶던 유명한영화를 극장에서 볼 기회가 되어 기뻤네요"
"p9**2o","2021.08.03","처음과 끝이 인상적인 영화"
"영빈mom","2021.07.26","정말 기억이나지 않는다."
"나의연인","2021.07.23","오랜만에 다시보는
크리스토퍼 놀란 
명불허전"
"하늘콩콩","2021.07.20","지루해서 보다가 나간 영화 처음.."
"go**elpusall","2021.07.19","리마스터편이에요 빠져드는 스토리"
"이핑구","2021.06.14","왜 최고의 반전 영화인지 알았습니다"
"쿠이나","2021.06.05","반전 영화 중 탑 쓰리에 들 정도로 최고였어요!"
"su**rpaladin","2021.04.17","재미있게 잘 봤습니다."
"st**wars1977","2021.03.19","막판 반전 보려고 기다림"
"SceneJY","2021.03.17","결말의 반전은 너무 충격적이었다"
"고석환","2021.03.07","기억 상실이지만 기억에 맞추어 알아내도록 메모를 쭈욱 ~~ 현실감 넘치게 봤어요"
"이히","2021.03.03","너무 어려웠지만 보다보니 빠져드는"
"위시노트","2021.03.02","역시 명불허전! 한 3번 더 봐야겠다!"
"lp**515","2021.03.01","데뷔작이라고 생각되지않을 만큼의 유려한 편집이 인상적."
"현서dad","2021.02.24","재미있었습니다 좋았어요"
"푸딩캣","2021.02.22","말해뭐해...최고지"
"so**oa1230","2021.02.22","메멘토 참신한 연출 참 재밌었습니다"
"ju**ee10830","2021.02.21","관객놀리기 수준 집중안됨"
"au**hr987","2021.02.18","메멘트 재밌게 잘 봤어요"
"Asteria","2021.02.15","진실이 진실이 아니라는 공포..
놀란감독의 상상력과 세계관은 늘 충격적."
"하늘빛쏭","2021.02.14","제 최애영화에요 거의 이십년만에 다시봤네요
또 봐도 최고에요"
"와이미","2021.02.13","재밌어요 / 별점 4.0"
"he**100","2021.02.13","오래된 영화다 보니 반전 내용을 알고봐서 재미가 떨어지네요 그래도 영화 연출이 신선하고 배우들 연기도 좋습니다. 아무것도 모르는 상태로 이영화를 봤으면 엄청난 충격이었을듯 별점3.8점"
"le**00","2021.02.11","세번째 관람  알고 보면 더 재밌는 영화"
"달콤0691","2021.02.09","명감독의 비상한 시초를 알리는 영화"
"우주돌고래","2021.02.07","두통이 인다.
이걸 어떻게 만들 생각을 했을까."
"빠리꾸숑","2021.02.05","예전에 보지못한영화라서 재개봉하니까 좋았어요~재밌게 봤어요"
"da**60","2021.02.05","두번봐도 명작.
역시 메멘토"
"사과바나나","2021.02.03","놀란만의 스타일이 잘 담긴 영화"
"dahhhh","2021.02.02","놀란의 타임라인 갖고 놀기..."
"ba**980125","2021.02.02","내가 주인공처럼 단기기억 상실증에 걸린 것 같은 영화"
"새콤달콤쌉싸름","2021.02.02","방구석프로서 리뷰하는거보고 관람했더니, 이해  잘 되네요. 요즘 cgv 넘 추워요, 코로나때문에 난방안하는지, 관람인원 적어서 더 추워요,,"
"아이넷시스","2021.02.02","기억을 거슬러 가는 스릴러...  놀란 작품중에 기억에 남는 영화."
"linlee","2021.02.02","놀란의 영화는, 세월을 넘어 끊임없이 회자되는 이유가 분명 있다."
"세븐럭","2021.02.01","별관 영화는 믿고 봅니다!!메멘토 ~ 이름만 들어도ㆍ믿고보는"
"on**albore","2021.02.01","기대를 너무 많이 했었던가봐요"
"podongi","2021.01.31","다시 보니 더 놀라운 영화..당신이 진실이라 믿는 기억이 당신을 농락한다"
"물들다","2021.01.31","너무 재미있었습니다. 나로 시작해서 나로 끝나는 영화. 구성이 매우 특이한 영화."
"stellantis","2021.01.31","놀란 감독의 영화를 영화관에서 보고 싶었는데, 역시"
"gu**83","2021.01.31","영화가 주로 내세우고 있는 주제는 주인공의 단기기억상실증이라는 병이지만 내용을 찬찬히 보고 조금만 생각해보면 시간이라는 개념을 오묘하고 창의적으로 비틀어 만든 놀란감독만의 색깔을 잘 나타낸 초기작~! 인셉션과 테넷의 영감과 시작이 어떻게 시작되었는지 알려주는 작품~!"
"jk**25asd","2021.01.30","영화잘보았습니다~~~"
"hy**jin33333","2021.01.30","역시 명작ㅎㅎ 다시봐도 재밌음"
"섹쒸한앙마","2021.01.30","집중해서봐도 이해가 안가는영화  ㅎ
끝났는데도 뭔가 마무리안된듯 해서
찜찜한영화..."
"딱이야","2021.01.30","예전에 본 영화지만 다시봐도 좋은 영화네요."
"paulhan99","2021.01.30","의도적인 체험을 목적으로 설계된 독창적인 걸작."
"샤랄라라랄","2021.01.29","명작을 이제야 보다니 ㄷㄷㄷ이런 작품성에 이런 재미라니 역시 놀란이에요"
"정법사","2021.01.29","영화 잘 좋은보았습니다!"
"영화가좋다","2021.01.29","언제봐도 좋은 영화입니다"
"se**un0020","2021.01.28","놀란 감독 작품 좋아합니다"
"진go","2021.01.28","결과를 알기 위해 원인으로 달려가는 기억의 시간들이 장면을 따라가는 것만으로 몰입감을 선물해주었다"
"칠칠한","2021.01.28","드디어 보게된 메멘토. 어쩔~"
"ki**ing0070","2021.01.28","몰입해서 봤어요~ 신선하네요"
"튀김크림빵","2021.01.28","신선한 전개에 반전까지. 시작과 끝이 완벽한 영화예요"
"leerbals","2021.01.28","영원히 풀리지 않을 로맨틱한 퍼즐"
"치즈팝콘조아","2021.01.28","크리스토퍼 놀란이 천재라는 증거..."
"lalavita","2021.01.27","좀 지루했지만 역시 놀란 감독의 창의성에 감탄했습니다ㅎㅎ"
"yj**367","2021.01.27","쫄깃쫄깃 핵반전ㅋㅋ와우"
"뽀니","2021.01.27","어느순간 정신줄을 놓쳤다"
"mudhopp","2021.01.27","편집이 완성하는 서스펜스"
"gr**tlife123","2021.01.27","볼만은 했는데 내가 기억상실증 걸릴것 같아요^^"
"워니워니야","2021.01.27","재밌었어요 이해하긴 조금 힘들었지만"
"ch**les","2021.01.27","한번쯤 봐야하는 영화 강추"
"언제나곁에","2021.01.27","머리가 뒤죽박죽 신선합니다"
"fredag21","2021.01.27","놀란 감독에게 또 감탄을 하게 되는 영화"
"엘리의영화","2021.01.27","다시 봤는데도 새롭네요"
"구팔공삼","2021.01.27","완전 재밌었습니다! 영화가 길게 안느껴졌어요"
"kg**800","2021.01.27","집중은 했지만 어려운 스토리"
"SearchBoA","2021.01.27","무한의 굴레에 갇혀 버린 남자구만"
"순례엠프","2021.01.27","다시봐도 멍한 고전작이쥬"
"태상","2021.01.27","영화관에서 다시 보니 더 좋았어요"
"베푸는 천사","2021.01.26","우와    
오랜만에  좋은 영화네요  
굿 굿 굿"
"불타는 청춘","2021.01.26","기대이상으로 만족합니다    
강추~~~"
"ho","2021.01.26","벌써 19년 전 영화의 각본과 연출,배우들의 연기가 놀랍네요.단기기억상실증이라는 조건과 한계 속에 반전을 통해 더 몰입할 수 있었어요."
"경모아빠","2021.01.26","완전 집중해서 볼수있었습니다."
"102","2021.01.26","머리가 복잡하게 하는 측면이 생각게 하는 영화!"
"깡쌍낑","2021.01.26","역시 명작은 다시 봐도 명작이지!"
"마스터 하비","2021.01.26","지금 다시봐도 천재 감독이란 평이 아깝지 않아요~

저런 각본,연출은 어떡게 하는지 놀라울 따름입니다."
"우차니1","2021.01.26","무엇을 표현하는지 혼란스럽다"
"꽃길만 걷자^^~☆","2021.01.26","재미있게 관람했습니다."
