"writer","date","comment"
"로버트드니로","2022.12.14","엄마가 생각납니다..."
"j6**518","2019.11.03","돌아가신엄마가무척생각나는영화입니다??"
"검색챤스","2019.07.24","반찬 가게를 해온 엄마의 뭉클한 사연"
"영화에 미치다","2018.08.30","완전 좋았던 영화. 한국영화의 기본. 한국영화라면 이렇게 만들어야 한다. 잘 만들 자신 없으면 최소 이런 정도만 챙겨도 팔린다"
"이뿐이모","2018.07.21","내게도 이런 공책 하나 있어야겠다.
엄마를 기억해줄 공책.."
"쫌늙은 올리브","2018.05.31","60대 중반에 들어 선 나에겐 너무 가슴에 와 닿는 내용~
몰입하게 만든 영화~"
"cu**iqi0807","2018.05.26","오랜만에 이종혁배우님을 영화배우로 만나게 됬네요- 너무 반가웠고 좋은작품을 또 뵈었으면 좋겠습니다!"
"팅ol후리터","2018.05.01","생각보다 안정함은 가까이에 있다."
"사랑줌마렐라","2018.04.30","엄마의 공책 영화 좋았어요~^^"
"서군","2018.04.24","엄마의 이야기는 언제나 눈물이...ㅠㅠ"
"me**eur","2018.04.23","선한 줄거리가 좋은 영화를 보장하지 않는다"
"물코팅크림","2018.04.18",",30년간 반찬가게를 한 엄마의 진실이  주먹밥으로 밝혀지다,"
"m2**42000","2018.04.18","엄마의 손길이 그립습니다."
"인교사랑","2018.04.16","다시 한번 생각해보게 되는 영화."
"blueside0513","2018.04.16","모두가 공감할수 있는 영화라서 좋아요!!"
"hm**704","2018.04.16","엄마의 사랑은 언제나 무한하죠~
하지만  엄마도 엄마이기전에 사람인걸 잊어선 안됩니다~
계실때 잘해야죠~"
"키티","2018.04.16","엄마의마음  짠했읍니다..."
"얼음공","2018.04.14","영화인가요...
남의 얘기던가요...
우리 얘기인가요..
내 얘기라 말하면 무서워지는.."
"왜이러쎄염","2018.04.13","잔잔하게 짠해요.. 
엄마보고싶어지네요"
"ye**n007","2018.04.13","엄마의 사랑이 영화에 꽉 차있어서 좋았습니다.  소율이 주먹밥 해먹어 봐야겠어요."
"도주공","2018.04.13","자식들 몸에 좋은 음식 재료를 맛있게 먹이고 싶은 마음에서 시작된 엄마의 기록은 자식에 대한 사랑으로 가득 채워진 공책이 되었네요."
"sebongs","2018.04.13","기대를 많이해서 그런지 별로. 억지로 연출한것 같은 느낌이 강했다. 그렇다고 연기가 훌륭한것도 아니라 몰입이 전혀 안됬음."
"moviequeen","2018.04.12","엄마가 보고싶네요
좀 급히 끝낸감은 있지만
재밌게봤어요"
"라세라1004","2018.04.12","좋았어요 근데 영화속 엄마가 우리 부모님 같아서 더 공감이 갔어요 지루한 부분도 있었지만 감동적이었어요"
"jay~~","2018.04.11","엄마생각에 눈시울을 적셨답니다 ㅠㅠ"
"덴젤워싱턴","2018.04.11","엄마가 아프다고 짜증내지 말자, 귀찮아 하지 말고"
"멍공","2018.04.05","눈물 흘리며 감동깊게 봤습니다.."
"on**heep79","2018.03.29","엄마에게는 그 어떤것보다 자녀가 특별하다"
"시니컬","2018.03.26","나쁘진않은데 드라마스페셜에서 볼법한"
"hi**0415","2018.03.26","조금 부족하지만 그게 또 가족의 모습과 닮아있다"
"za**i78","2018.03.25","좋아요..볼만합니다"
"miyeouni","2018.03.25","엄마랑 같이 봤는데 잔잔하고 좋았어요 :) 엄마와 아들의 엇갈린 관계를 잘 풀어낸 것 같아요"
"가기가기","2018.03.24","엄마와 가족을 생각나게 하는영화. 드라마처럼 일상적인 이야기들을 풀어나가며 또따른 즐거움을 주고 잔잔한 감동을 주는 영화"
"hy**8283","2018.03.24","엄마한테 좀더 잘해야겠다는 생각했네요. 잔잔하니 좋았어요."
"cy**832","2018.03.23","감동이 있는 영화입니다"
"mi**am0826","2018.03.22","좋은영화 :-) 많은 것들을 생각하게 한 영화였습니다."
"sm**589","2018.03.22","엄마..  라는 단어는 언제나  마음의 울림을 주네요. 누구나 공감할 수 밖에 없는 현실을 담은 영화네요.  많은 생각을 하며 영화를 관람했고 더 늦기전에 엄마에게 잘해 드려야지..  맘 먹게 되네요."
"Chris^^","2018.03.22","오래 전, 음반을 발매할 경우 꼭 거쳐야 하는 ''심의''라는게 있었다. 그 때는 반드시 건전가요가 삽입되었어야 했는데, 이 영화 보는 내내 왜 건전가요라는 단어가 생각났을까?"
"대성천사","2018.03.21","그냥 지루한 작품..."
"유나쏭","2018.03.21","잔잔하고 마음을 조금씩 움직이게 하는"
"하늘끝까지","2018.03.21","엄마가 보고프게 만드는 영화네요. 
나도 정리하고싶었던 엄마의 레시피. 
넘 맘에 와닿네요."
"Big frame","2018.03.21","이영화는 꼭 오리 CGV에서 봐야 할 영화임...   책도 잘 만들고 요리도 잘 만들고, 효자로서도 잘하지만 영화는 참 쉽게 만든 것 같음."
"나나나나난난","2018.03.21","엄마를 생각하면서 봤네요 마음이 먹먹해지는 영화입니다"
"하니1004","2018.03.20","가족영화
엄마와 자식간의 사랑이 물씬 풍기네요
눈물도 나고 한번쯤 보고 가족을 돌아보는 계기가 되길 바랍니다"
"wi**pooh19","2018.03.20","마음이 먹먹해지는 영화였어요..
곧 저에게도 일어날 일 같아 생각이 많아지네요.."
"2이니","2018.03.20","훈훈하지만, 약간 뻔하다
리틀 포레스트처럼 음식에 더 공을 썼다면 좋았을 듯"
"mimi26","2018.03.20","뻔한 스토리긴  하지만  괜찮았어요"
"Stellas","2018.03.20","음.. 잔잔합니다^^"
"바람의 안에 살다...","2018.03.20","사람들이 잘 보지 않는 영화라 그런지, 어머니 모시고 단 둘이서 봤는데...
자극적이지 않고, 감성적이라서 더좋은...
따뜻하고 보드라운 고양이 발을 만지는것처럼 좋았어요..."
"나루♡","2018.03.20","따뜻한 영화입니다. 스크린 수가 부족하다는 게 아쉬울 정도예요."
"di**ldms84","2018.03.20","어머니의 삶을 이해하게 되는 자식의 마음이 좋다."
"Porolls","2018.03.20","스크린이 더 많아졌으면...
잔잔하고 따뜻한 영화"
"익시더즈","2018.03.20","완성도는 별로지만 감동은 나쁘지 않았다"
"겐시로","2018.03.20","치매라는 주제를 심각하게 다루지않고 음식과 추억으로 다룸"
"구름라떼","2018.03.20","잔잔하게 슬프다가 마지막 장면에서 눈물이 주르륵.. 절제된 슬픔에 저도 모르게 감격했네요."
"ILMM","2018.03.20","작지만 가슴을 울리는 영화
5점 만점에 4.77점"
"베리타스sjh","2018.03.20","착한영화 많이들 봤어면한다"
"뭉게구름112","2018.03.20","잔잔한 감동 
어머니의 사랑"
"샘","2018.03.20","스토리는 좋은데 완성도가 떨어지네요"
"ppujijik","2018.03.20","네 감명깊게 잔잔한 감동으로 잘봤어요^^"
"on**232","2018.03.20","너무나도  가슴 아프다. . 그렇지만  삶은 평화롭다. . 눈물을  하염없이  흘렸지만  따스한  영화였기에  행복했다."
"현미씨의 사랑님","2018.03.20","아들들은 왜 엄마에게 그럴까요? 엄마도 아내와 같은 여자인데"
"ch**kax6","2018.03.20","너무 좋았어요....."
"석성산산신령","2018.03.20","감동이 있는 엔딩. 그러나 그 끝은 고통스러울 것이다. 치매는... 국가가 책임져야 하지 않을까?"
"SPAS-302","2018.03.19","그 공책에는 단순히 요리법만 적힌게 아니다"
"부처님","2018.03.19","잔잔한 감동이 전해지네요. 세상 모든 어머니들은 훌륭하다란 진리를 되새길 수 있었네요. 극장문을 나서며 시골에 계신 어머님께 전화드렸네요."
