"영화제목","작성자","작성일","평점","리뷰","공감수","비공감수"
"금발의 초원","sjsg****","2010.12.05. 20:47","10","어떤 슬픈 영화보다도 많이 울었다 정말 좋다 이 영화","12","0"
"금발의 초원","jull****","2012.06.22. 02:42","9","음악도 화면도 배우도 다 좋았다. 끝까지 늙은 모습을 보여주지 않은 건 좋은 선택","7","0"
"금발의 초원","ehdr****","2014.01.26. 20:03","9","황금빛 해바라기.금발의 초원은 단어 그대로 환상적이다! 이상과 현실. 정신적인 것과 외면적인 것. 생각할 수 있는 영화, 게다가 영상미, 독특한 분위기까지 더해서 여운이 남는다.","6","0"
"금발의 초원","fnsk****","2010.09.30. 09:38","7","시나리오가 정말 독특했다 ~~~~~~~","6","0"
"금발의 초원","topf****","2018.09.15. 03:20","10","정말이지 우리는 왜 이런 영화를 만들지 못하는건가?  ㅠㅠ","5","0"
"금발의 초원","byul****","2011.02.25. 19:19","7","지독한현실과 꿈같은사랑. 습기찬듯 뿌옇고 왠지모르게 슬픈영화","3","0"
"금발의 초원","hoho****","2023.06.05. 22:58","10","가끔.생각날때.보는 영화","2","0"
"금발의 초원","cali****","2011.12.21. 10:40","10","지붕위에 올라선 닛포리의 말에서 카타르시스를 느낀다. 마지막까지 이 영화 최고다!","2","0"
"금발의 초원","leei****","2010.09.22. 03:12","8","시점이 돋보이네 ㅋ","2","0"
"금발의 초원","yks_****","2010.04.22. 17:53","7","치즈루때문에보긴봤는데..","2","0"
"금발의 초원","godl****","2007.04.27. 19:58","10","영화를 보고 그 감동을 표현한단 것 자체가 우습다. 감동은 감동일 뿐","2","0"
"금발의 초원","hj78****","2010.09.08. 23:06","8","큰 기대보다는 귀여운 치즈루를 볼 수 있었다는 점에서.. ㅎㅎ","3","1"
"금발의 초원","rsy8****","2007.07.06. 21:03","10","영상 속 햇살이 참 좋아요~","3","1"
"금발의 초원","rude****","2007.02.19. 16:14","10","치즈루의 귀여움을 최대한으로 활용한...역시 이누도 잇신.","3","1"
"금발의 초원","elop****","2021.04.12. 00:19","9","옆에 두고 가끔씩 꺼내보는 영화","1","0"
"금발의 초원","chas****","2016.09.18. 11:54","8","둘 만이 공유했던 환상이 현실을 초월한 순간, 꿈속의 세계에 살아가는 다른 연인들의 사랑과 다를바 없었다.","1","0"
"금발의 초원","amug****","2014.08.03. 18:08","10","영화가 끝나고 심장이 멈춰버렸다.","1","0"
"금발의 초원","tsba****","2010.08.19. 01:26","10","노을이 질 때 용기있게 기적처럼 사랑을 고백하고 싶다. 꿈을 꾸는 것 보단,,","1","0"
"금발의 초원","duwn****","2010.07.22. 12:22","8","치즈루때문에 보는거지만 역시 뭔가 일본인다운발상","1","0"
"금발의 초원","ypal****","2010.01.28. 15:15","9","청혼하는 장면에서 치즈루의 표정이 기억에 남는다","1","0"
"금발의 초원","kkk2****","2009.11.29. 01:05","10","너무 좋았던 영화~~~","1","0"
"금발의 초원","iepa****","2009.07.07. 15:11","10","다양한 해석과 공감이 가능한...","1","0"
"금발의 초원","0107****","2008.08.01. 05:15","10","여운.. 이누도잇신","1","0"
"금발의 초원","yimx****","2008.07.14. 03:42","10","처음에 이감독의영화는 뭔가 지루할듯 무거울듯 하지만보는순간 어느새빠져버린다","1","0"
"금발의 초원","kakd****","2008.03.03. 13:16","10","역시 이누도 잇신!","1","0"
"금발의 초원","loft****","2008.02.09. 13:01","6","이누도 잇신의 생각만큼은 명료하다.","1","0"
"금발의 초원","juny****","2008.02.07. 17:48","10","때론 힘들다고 생각되는 현실이지만 ""지금 내가 살고있는 현실의 모든것은 아름답다.""","1","0"
"금발의 초원","ydj1****","2008.01.19. 23:56","10","이누도잇신 님 존경합니다","1","0"
"금발의 초원","none****","2007.12.28. 21:29","10","산뜻하면서도 가슴에 남는 영화. 아름다웠어.","1","0"
"금발의 초원","sona****","2007.12.13. 23:25","10","너무 좋다. 조제보다 더 재밌게 본 영화다","1","0"
"금발의 초원","shjj****","2007.11.06. 04:37","10","역시 이누도 잇신 감독 영화는 좋다,,치즈루도,,ㅋㅋㅋ","1","0"
"금발의 초원","tttt****","2007.10.26. 09:23","10","필요에 의한 공존관계., 닛포리씨 나라도 당신을 떠나진 못해.,","1","0"
"금발의 초원","cles****","2007.10.22. 17:47","7","good","1","0"
"금발의 초원","kism****","2007.10.13. 00:20","9","남주인공 심정 지대공감! 돈벌자 치즈루 같은 가정부가 필요해!","1","0"
"금발의 초원","pack****","2007.06.17. 05:00","10","이영화에 메종드나 조제보다 훨씬 더 좋은 점수를 주고 싶다","1","0"
"금발의 초원","yomi****","2007.06.17. 02:08","10","이누도잇신감독의 '이해'와'사랑'의 표현력은 아름답고도아름답다","1","0"
"금발의 초원","kyun****","2007.03.05. 01:45","8","현실을 꿈처럼 사는 사람, 그리고 그와 함께 꿈에서 살고 싶은 사람","1","0"
"금발의 초원","zeed****","2007.02.09. 01:17","10","완소 치즈루","1","0"
"금발의 초원","rena****","2006.10.05. 13:56","9","발랄한 상상력과 상큼한 치즈루.","1","0"
"금발의 초원","warb****","2006.10.05. 02:00","9","너~~~~~무 귀여운 치즈루!!","1","0"
"금발의 초원","sunx****","2006.10.03. 21:20","10","치즈루 그녀의 매력","1","0"
"금발의 초원","dshb****","2006.10.02. 23:14","10","이누도잇신 감독과 이케와키 치즈루의 팬이 되었다.","1","0"
"금발의 초원","gm01****","2006.09.30. 01:32","9","현실이어서 살짝 아쉬운..어린 조제의 모습이 흥미롭다.","1","0"
"금발의 초원","qj46****","2023.11.24. 07:29","10","평생 잊을수 없는 영화.","0","0"
"금발의 초원","es29****","2023.10.23. 22:19","10","치매 때문에 과거속에서 살고 있는 모습 만으로도 가슴 아픈데, 간병인을 젊은시절 자신의 사랑으로 착각 하기까지ㅠ 주인공이 순수하게 묘사되서 더 슬펐어요","0","0"
"금발의 초원","glts****","2023.05.12. 12:55","6","꿈과 현실이 헷갈릴때 누구라도 확인할듯","0","0"
"금발의 초원","psh1****","2022.07.25. 23:53","10","이 영화 잔잔하면서 애잔하다.두 번 봤었는데 또 보고 싶다.이세야 유스케 이 영화로 팬이 되버렸다.","0","0"
"금발의 초원","star****","2021.09.02. 00:28","8","이케와키 치즈루를 보는 재미 외에도 뭔가 알수 없는 난해한 심오함이","0","0"
"금발의 초원","usot****","2018.02.22. 23:34","10","나의 인생영화 톳테모 이이 텡키닷타","0","0"
"금발의 초원","zzan****","2018.01.26. 02:36","10","나에게 너무 잔잔하고 아름다운 감동을 줬던 영화 13년전부터 알았는데 이제서야 생각난 수작","0","0"
"금발의 초원","zard****","2017.10.16. 20:07","10","따스하고, 눈부시고, 은은하고 청량하고 허무하고 자유롭다","0","0"
"금발의 초원","lkth****","2017.05.13. 21:12","10","잔잔하고 조용하며 아름답고도 슬픈 여운이 남는 영화,특유의 개성있는 시나리오와 치즈루, 유스케의 담백한 연기도 어우러져 다시 봐도 감동받을 것 같다,놀라운 건 이게 곧 20년이 다되가는 영화라는 것ㅎ","0","0"
"금발의 초원","dene****","2016.03.11. 18:52","8","조제,호랑이 그리고 물고기들을 보고 이케와키 치즈루에 대해서 더 알고싶어서 고른 영화... 일본영화 특유의 감수성이 충만한 볼만한 영화이다.","0","0"
"금발의 초원","mool****","2016.02.18. 21:13","9","마음은 언제나..,,.","0","0"
"금발의 초원","sksi****","2015.03.22. 03:11","10","그가 뛰어내리지 않았다면 어떻게 되었을까","0","0"
"금발의 초원","rkdg****","2014.05.25. 10:53","10","ㅇㅁ c c c x c c cx  c c","0","0"
"금발의 초원","ha_e****","2013.05.08. 09:32","9","꿈과 현실의 경계가 그렇게 중요한가? 꿈, 현실 이딴 차이는 단어의 차이 그 이상 그 이하도 아닐 뿐. 그저 그 속에서 자신의 삶을 사랑하고, 이 모든 것이 멋지다라고 외칠 수 있으면 그만인 것 아닌가?","0","0"
"금발의 초원","bett****","2012.12.08. 15:30","10","혼자만의 꿈속에서 살아간다는 것이 남에게 피해를 주는건 아니다 닛뽀리가 돌아가신 우리 할아버지랑 너무 닮아서 많이 울었네","0","0"
"금발의 초원","marn****","2012.06.29. 10:59","10","가슴이 뭉클..힐링영화","0","0"
"금발의 초원","qkdr****","2012.06.12. 05:28","7","잔잔하고 괜찮은데 결말이 너무 예상 가능해서 그냥 그랬어요. 소설로읽는게 나을듯","0","0"
"금발의 초원","crys****","2011.08.25. 16:27","7","경계에 선 사람들의 이누도 잇신감독이 만들어낸 또 다른 영화지만 엔딩이 미흡하다.","0","0"
"금발의 초원","seef****","2011.07.21. 13:49","8","순정만화를 보고 난 것만 같은 느낌.","0","0"
"금발의 초원","zany****","2011.05.05. 00:14","6","꿈은거대 현실은 시망...","0","0"
"금발의 초원","aram****","2011.03.25. 18:17","9","로맨스가 초점이라기 보다는 삶에 대한 태도를 멘토링해주는 영화~!","0","0"
"금발의 초원","hyej****","2011.01.28. 23:56","6","꿈이라면 날것이고 현실이라면 떨어질테죠","0","0"
"금발의 초원","jung****","2010.09.02. 22:27","10","할아버지 멋진데!!","0","0"
"금발의 초원","dela****","2010.07.06. 13:23","8","좋았더라.","0","0"
"금발의 초원","meca****","2010.04.25. 04:03","9","코믹하면서도 감성적이고 재미있는 영화","0","0"
"금발의 초원","happ****","2009.12.29. 17:24","10","이 행복감","0","0"
"금발의 초원","jaia****","2009.12.20. 17:06","5","어려워어려워어려워 하고싶은 얘기가 뭐임","0","0"
"금발의 초원","modo****","2009.11.03. 03:25","10","많은게 생각나게 하는 영화 각자의 입장에따라서....다만 내게는 먼가 찌릿한 감성을","0","0"
"금발의 초원","tjsd****","2009.11.02. 00:26","5","나는 왜 이렇게 별로 였을까","0","0"
"금발의 초원","hong****","2009.09.20. 02:14","10","이누도 잇신의 마스터피스, 이 감독의 모든 작품중 최고였음","0","0"
"금발의 초원","syy2****","2009.08.17. 13:04","6","공감이 안 갑니다 ㅈㅅ ㅠ","0","0"
"금발의 초원","rlar****","2009.06.17. 00:06","8","재미있네요^","0","0"
"금발의 초원","njel****","2009.05.17. 16:42","6","솔직히 별 재미없음 뭘 말하는지도 몰겠고 다만 남주, 여주 다 멋짐","0","0"
"금발의 초원","thun****","2009.04.08. 13:17","10","현실꿈현실","0","0"
"금발의 초원","mkin****","2009.02.11. 12:14","8","진짜 스무살의 청년과 소녀의 만남.","0","0"
"금발의 초원","cnrr****","2008.11.05. 09:48","10","무한상상 상상력 만으로도 의미있는영화","0","0"
"금발의 초원","void****","2008.11.03. 04:54","9","카프카의 '변신' 아이돌 영화로 성공적으로 재조립.","0","0"
"금발의 초원","port****","2008.10.18. 23:25","10","정말 인상깊게 봤지만, 밑분 말씀도 일리있는듯..좋은 소재로 애정에 올인한듯 ㅎㅎ","0","0"
"금발의 초원","heod****","2008.09.30. 08:43","8","더 깊은 사유를 끌어 낼 수 있는 소재로 '애정'만에 올인하다~","0","0"
"금발의 초원","blin****","2008.08.29. 03:40","8","더할나위 없지만 엔딩크레딧에서의 분위기 망침은 이해불가...","0","0"
"금발의 초원","goti****","2008.08.28. 15:52","5","이누도 잇신이기에 5점. 이누도 잇신이 아니었다면 1점","0","0"
"금발의 초원","yaya****","2008.08.12. 17:57","10","치즈루 때문에 봤지만 소제도 괜찮았고 결말도 산뜻하였다..","0","0"
"금발의 초원","zhwp****","2008.08.01. 19:34","10","진짜 너무 재밌었다..","0","0"
"금발의 초원","wind****","2008.05.12. 14:13","4","전혀 이해못함... 다시보긴 싫고 ㅠㅠ 알려주실분?","0","0"
"금발의 초원","qnfr****","2008.02.18. 04:15","7","잔잔하다","0","0"
"금발의 초원","lllm****","2008.02.10. 16:12","8","괜찮은 영화","0","0"
"금발의 초원","win_****","2008.01.25. 23:07","8","볼만 ㅎ","0","0"
"금발의 초원","fon9****","2008.01.16. 18:56","8","나의 기억은 과연 몇살에서 멈추어있는 걸까...","0","0"
"금발의 초원","whit****","2008.01.12. 18:49","1","ㅡㅡ 아 이게뭐야 너무느려 일본영화는 이래서 싫어 아... 진짜","0","0"
"금발의 초원","elma****","2008.01.12. 13:25","1","마지막에 남자자살 네이버애들이 왜이리 점수를 후하게 줬냐 뜬금없이 재미없다","0","0"
"금발의 초원","djos****","2008.01.12. 13:24","1","일본영화는 이래서 싫다 ㅡㅡ 너무 단순해 허무해 감동이 오질않아 조제도","0","0"
"금발의 초원","djos****","2008.01.12. 13:22","2","솔직히 ㅡㅡ 이건아니다 정말 허무 그자체 재미도 없고 아오 나진짜","0","0"
"금발의 초원","pqow****","2007.11.28. 16:41","6","음,,그냥 그랬다... 일본영화 좋아하지만 이건 그다지..","0","0"
"금발의 초원","yesj****","2007.11.01. 09:13","6","처음부터 끝까지 이해 불가! 지루하진않다","0","0"
"금발의 초원","seaw****","2007.09.26. 23:01","3","연기나 촬영, 스토리 모두가 엉성하게만 느껴지는건 나뿐일까..","0","0"
"금발의 초원","evil****","2007.09.22. 01:25","7","판타스틱!!! 이란 수식어가 아깝지 않았다..","0","0"
"금발의 초원","mjw9****","2007.09.19. 22:16","8","영계를 너무 사랑한 노망든 한 할배의 이야기 재미있었다.","0","0"
"금발의 초원","tlsg****","2007.08.31. 21:53","10","완전감동","0","0"
"금발의 초원","wiza****","2007.08.19. 03:34","8","보이는 것이 전부가 아닌 순수함으로 그들을 바라봐야..","0","0"
"금발의 초원","yuns****","2007.08.17. 22:32","10","너무 아름답다~","0","0"
"금발의 초원","opol****","2007.08.11. 15:18","8","꿈에서 깨어나고도 아픈 마음....","0","0"
"금발의 초원","crab****","2007.08.11. 06:52","10","아껴두고 보고 싶은 즐거움","0","0"
"금발의 초원","bana****","2007.08.04. 17:19","10","내용뿐만아니라. 캐스팅도 역시..마돈나, 이케와키 치즈루","0","0"
"금발의 초원","hyun****","2007.07.31. 14:16","10","쨍쨍한 햇살이 치즈루를 비치는 이곳은 유스케만의 꿈?","0","0"
"금발의 초원","7bx2****","2007.07.21. 03:16","7","어머, 학생들이 이영활 보러왔네... 어때서?","0","0"
"금발의 초원","bebo****","2007.07.15. 00:37","8","될듯하면서도 절대안될듯한 관계..너무노골적이야!!","0","0"
"금발의 초원","uesh****","2007.07.14. 20:58","10","소년이여, 영원하라. 그리고 비상하라.","0","0"
"금발의 초원","dong****","2007.06.27. 18:29","8","그는 여전히 소년이다","0","0"
"금발의 초원","peli****","2007.06.17. 22:33","6","일본문화가 나한텐 안맞나보다. 영화를 이해할수가 없었다 졸리다","0","0"
"금발의 초원","pzsz****","2007.06.08. 23:59","8","먼가 허술한듯하지만 엔딩으로 갈수록 가슴이 짠해 오는..","0","0"
"금발의 초원","bonb****","2007.06.05. 16:22","10","현실을 받아들이는 것이 얼마나 힘이 들었을까.. 가슴이 너무 아팠다.","0","0"
"금발의 초원","lsh1****","2007.06.03. 03:49","6","조제,메종드히미코의 감성을 기대했지만..영화는 이질적인 곳으로 향했다.","0","0"
"금발의 초원","shin****","2007.05.27. 20:49","10","서글픈 현실속에서도 과연 행복은 찾을 수 있게 될까요..","0","0"
"금발의 초원","cool****","2007.05.17. 12:30","10","이제 알겠다..행복하게 현실을 받아들이는법..","0","0"
"금발의 초원","dkfd****","2007.05.16. 21:43","10","현실과 꿈","0","0"
"금발의 초원","pwl1****","2007.05.11. 23:23","10","꿈속에선결코심장이멈출수없다","0","0"
"금발의 초원","seju****","2007.05.10. 18:31","10","다운받아서보고 바로 dvd구매했습니다...ㅜ.ㅜ","0","0"
"금발의 초원","nana****","2007.05.07. 20:15","8","마치 내가 꿈을 꾸고있는듯한 ... 그러나 한순간에 깨져버리는..","0","0"
"금발의 초원","sisu****","2007.05.07. 19:19","5","강요된 감동은 추잡하다....억지스런 상황설정과 뻔한 결말....","0","0"
"금발의 초원","tops****","2007.05.07. 02:32","7","심장이 멈추지 않게하기 위해서만 살아온 삶","0","0"
"금발의 초원","pjhl****","2007.05.06. 12:47","7","좀 씁쓸한 작품이였다...재밌다고도 재미없다고도 말하기 난해한...","0","0"
"금발의 초원","kana****","2007.05.01. 16:24","10","음 영화보고난뒤 깊은 생각에 빠져들게된다. 좋은영화다","0","0"
"금발의 초원","ssun****","2007.04.30. 13:38","10","꿈이라고 믿고싶은 순간.. 안타깝다..","0","0"
"금발의 초원","ksym****","2007.04.28. 21:12","10","잔잔하고 가슴찡한...인생에 관한 이야기. '치매'의 새로운 접근..","0","0"
"금발의 초원","ruli****","2007.04.28. 02:03","7","대체로 좋았지만 남동생과의 로맨스는 진부했음..","0","0"
"금발의 초원","zeze****","2007.04.26. 14:25","10","아직도 이 영화 생각만하면 찌릿찌릿하다.","0","0"
"금발의 초원","dhkd****","2007.04.25. 04:59","10","새벽5시.. 이 영화를 보고 태어나서 처음 진한 감동을 느꼇어요.멋지네요","0","0"
"금발의 초원","salm****","2007.04.25. 04:28","8","잔인한 현실. 그러나 고요한.. 아 오래간만에 좋은 영화를 본거 같다.","0","0"
"금발의 초원","kera****","2007.04.24. 01:35","9","아 너무좋아","0","0"
"금발의 초원","wonb****","2007.04.23. 00:58","9","꿈이 현실이 될 수 있다면","0","0"
"금발의 초원","ljy2****","2007.04.18. 00:11","10","순순한 노인의 스무살의 꿈","0","0"
"금발의 초원","cjon****","2007.04.14. 01:08","10","재밌다","0","0"
