category(SoyNLP),word(SoyNLP),score(SoyNLP),category(TF-IDF),word(TF-IDF),score(TF-IDF),category(KeyBERT),word(KeyBERT),score(KeyBERT)
1991,기적_짧은,3.0,1991,로버트_드,17,1991,감동적인_따뜻하고,1.0
1991,기적_순간의,2.0,1991,로버트_드니로의,11,1991,감동적인_연기에,1.0
1991,기적_짧았던,1.0,1991,로버트_드니로,7,1991,감동적인_실화이기에,1.0
1991,기적_긴,1.0,1991,로버트_윌리엄스와,3,1991,감동적인_강의,1.0
1991,기적_이여만,1.0,1991,로버트_드니로를,2,1991,감동적인_정도다너무도,1.0
1991,기적_들인지,1.0,1991,로버트_드니로가,2,1991,감동적인_잔잔하면서,1.0
1991,기적_보여준,1.0,1991,로버트_드니로란,1,1991,감동적인_바탕의,1.0
1991,기적_많은,1.0,1991,로버트_역의,1,1991,감동적인_명연기와,1.0
1991,기적_누군가에게는,1.0,1991,로버트_드니로로빈,1,1991,감동적인_봤는데,1.0
1991,기적_매일,1.0,1991,로버트_드네로의,1,1991,감동적인_영화네요,1.0
1991,기적_가장,1.0,1991,로버트_그렇듯,1,1991,감동적인_스토리에,1.0
1991,기적_나타난,1.0,1991,로버트_짜낸다,1,1991,감동적인_아무리,1.0
1991,기적_행복했던,1.0,1991,로버트_있었다,1,1991,감동적인_영화라도,1.0
1991,기적_이에게는,1.0,1991,로버트_있지만,1,1991,감동적인_실화,1.0
1991,기적_있다는,1.0,1991,로버트_보여준,1,1991,감동적인_그냥,1.0
1991,기적_겪는,1.0,1991,로버트_드니로와,1,1991,감동적인_윌리엄스의,1.0
1991,기적_윌리엄스의,1.0,1991,로버트_간만에,1,1991,감동적인_뜨겁게,1.0
1991,기적_안에서,1.0,1991,로버트_드니로이기에,1,1991,감동적인_영화라고,1.0
1991,기적_을,1.0,1991,로버트_새롭다,1,1991,기적_짧은,3.0
1991,기적_마지막,1.0,1991,로버트_연기력,1,1991,기적_순간의,2.0
1991,기적_기간동안,1.0,1991,로버트_387,1,1991,기적_짧았던,1.0
1991,기적_감사한,1.0,1991,로버트_밥,1,1991,기적_긴,1.0
1991,기적_누군가를,1.0,1991,로버트_외치는,1,1991,기적_이여만,1.0
1991,기적_찰나의,1.0,1991,로버트_살아난,1,1991,기적_들인지,1.0
1991,기적_속에서,1.0,1991,로버트_점이다,1,1991,기적_보여준,1.0
1991,기적_사랑의,1.0,1991,로버트_없는,1,1991,기적_많은,1.0
1991,기적_삶이라는,1.0,1991,로버트_윌리암스,1,1991,기적_누군가에게는,1.0
1991,기적_있는,1.0,1991,로버트_로빈윌리엄스,1,1991,기적_매일,1.0
1991,사랑_진정한,1.0,1991,로버트_인상적이다,1,1991,기적_가장,1.0
1991,사랑_이다,1.0,1991,로버트_보인다,1,1991,기적_나타난,1.0
1991,사랑_할,1.0,1991,로버트_누군가는,1,1991,기적_행복했던,1.0
1991,사랑_그것은,1.0,1991,로버트_영화였다,1,1991,기적_이에게는,1.0
1991,사랑_을,1.0,1991,로버트_드니로는,1,1991,기적_있다는,1.0
1991,사랑_하고,1.0,1991,로버트_영화에서,1,1991,기적_겪는,1.0
1991,사랑_단순하면서도,1.0,1991,로버트_감동적입니다,1,1991,기적_윌리엄스의,1.0
1991,사랑_모두가,1.0,1991,로버트_캬,1,1991,기적_안에서,1.0
1991,사랑_엄마의,1.0,1991,로버트_소화하는,1,1991,기적_을,1.0
1991,사랑_아니었을까,1.0,1991,로버트_드니로로빈윌리엄스를,1,1991,기적_마지막,1.0
1991,사랑_산책,1.0,1991,로버트_봤을,1,1991,기적_기간동안,1.0
1991,사랑_성찰,1.0,1991,로버트_셈이다,1,1991,기적_감사한,1.0
1991,사랑_것은,1.0,1991,사랑의_기적을,3,1991,기적_누군가를,1.0
1991,사랑_우정,1.0,1991,사랑의_기적이,2,1991,기적_찰나의,1.0
1991,사랑_누군가를,1.0,1991,사랑의_기적으로,2,1991,기적_속에서,1.0
1991,사랑_입니다,1.0,1991,사랑의_힘,2,1991,기적_사랑의,1.0
1991,사랑_자체보다는,1.0,1991,사랑의_계절이,1,1991,기적_삶이라는,1.0
1991,사랑_필요한,1.0,1991,사랑의_기적보다,1,1991,기적_있는,1.0
1991,로버트_드,17.0,1991,사랑의_여러,1,1991,감사합니다_오늘이,1.0
1991,로버트_드니로의,11.0,1991,사랑의_기적,1,1991,감사합니다_살아있음에,1.0
1991,로버트_드니로,7.0,1991,사랑의_실패했지만,1,1991,감사합니다_당연하게,1.0
1991,로버트_윌리엄스와,3.0,1991,사랑의_소중함을,1,1991,감사합니다_좋은영화,1.0
1991,로버트_드니로를,2.0,1991,사랑의_힘을,1,1991,감사합니다_오래도록,1.0
1991,로버트_드니로가,2.0,1991,사랑의_결실이었습니다,1,1991,보시길_꼭,1.0
1991,로버트_드니로란,1.0,1991,사랑의_환희와,1,1991,보시길_그냥최고꼭,1.0
1991,로버트_역의,1.0,1991,사랑의_모를,1,1991,사랑의_기적을,3.0
1991,로버트_드니로로빈,1.0,1991,사랑의_정말로,1,1991,사랑의_기적이,2.0
1991,로버트_드네로의,1.0,1991,사랑의_없는,1,1991,사랑의_기적으로,2.0
1991,로버트_그렇듯,1.0,1991,사랑의_일으키는,1,1991,사랑의_힘,2.0
1991,로버트_짜낸다,1.0,1991,사랑의_최고의,1,1991,사랑의_계절이,1.0
1991,로버트_있었다,1.0,1991,사랑의_위대함에,1,1991,사랑의_기적보다,1.0
1991,로버트_있지만,1.0,1991,사랑의_향한,1,1991,사랑의_여러,1.0
1991,로버트_보여준,1.0,1991,사랑의_기적이란,1,1991,사랑의_기적,1.0
1991,로버트_드니로와,1.0,1991,사랑의_이유,1,1991,사랑의_실패했지만,1.0
1991,로버트_간만에,1.0,1991,사랑의_기적인가,1,1991,사랑의_소중함을,1.0
1991,로버트_드니로이기에,1.0,1991,사랑의_잠시나마,1,1991,사랑의_힘을,1.0
1991,로버트_새롭다,1.0,1991,사랑의_위대한,1,1991,사랑의_결실이었습니다,1.0
1991,로버트_연기력,1.0,1991,사랑의_아픔에,1,1991,사랑의_환희와,1.0
1991,로버트_387,1.0,1991,사랑의_기적이다,1,1991,사랑의_모를,1.0
1991,로버트_밥,1.0,1991,사랑의_이게,1,1991,사랑의_정말로,1.0
1991,로버트_외치는,1.0,1991,사랑의_awakenings가,1,1991,사랑의_없는,1.0
1991,로버트_살아난,1.0,1991,로빈_윌리엄스의,9,1991,사랑의_일으키는,1.0
1991,로버트_점이다,1.0,1991,로빈_윌리엄스,7,1991,사랑의_최고의,1.0
